OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2102	531138	1	1	903	1	Jarmila	Pánková	F	Mgr.		55	ředitelka školy	Cerhovice	99	80	0
2102	531138	1	1	903	2	Štěpánka	Humlová	F	Ing.		35	hlavní zootechnik	Cerhovice	99	80	0
2102	531138	1	1	903	3	Jan	Lepeška	M	PhDr.		45	manažer	Cerhovice	99	80	0
2102	531138	1	1	903	4	Vladimír	Julák	M			66	důchodce	Cerhovice	99	80	0
2102	531138	1	1	903	5	Jitka	Hatinová	F			30	vychovatelka	Cerhovice	99	80	0
2102	531138	1	1	903	6	František	Kašpar	M			57	podnikatel	Cerhovice	99	80	0
2102	531138	1	1	903	7	Jana	Ledvinková	F	Ing.		53	daňový poradce	Cerhovice	99	80	0
2102	531138	1	1	903	8	Renata	Ptáková	F			27	student	Třenice	99	80	0
2102	531138	1	1	903	9	Marie	Horáčková	F			66	důchodkyně	Cerhovice	99	80	0
2102	531138	1	1	903	10	Pavel	Suttr	M			39	podnikatel	Cerhovice	99	80	0
2102	531138	1	1	903	11	Miloslav	Beneš	M			19	student	Třenice	99	80	0
2102	531138	1	1	903	12	Ladislav	Čurnek	M			54	dělník	Cerhovice	99	80	0
2102	531138	1	1	903	13	Marie	Hatinová	F			63	důchodkyně	Cerhovice	99	80	0
2102	531138	1	1	903	14	Václav	Anýž	M			42	dělník	Třenice	99	80	0
2102	531138	1	1	903	15	Jana	Žourová	F			31	prodavačka	Cerhovice	99	80	0
2102	531138	1	2	901	1	Petr	Frei	M			40	konstruktér	Třenice	99	80	0
2102	531138	1	2	901	2	Milan	Kára	M			34	obchodní zástupce	Cerhovice	99	80	0
2102	531138	1	2	901	3	Václav	Čepelák	M			47	seřizovač	Cerhovice	99	80	0
2102	531138	1	2	901	4	Renata	Šlechtová	F			40	invalidní důchodce	Třenice	99	80	0
2102	531138	1	2	901	5	Pavla	Hlavsová	F			39	podnikatelka	Cerhovice	99	80	0
2102	531138	1	2	901	6	Dagmar	Holečková	F			53	vedoucí pracovnice	Třenice	99	80	0
2102	531138	1	2	901	7	Rudolf	Altman	M	Mgr.		46	podnikatel	Cerhovice	99	80	0
2102	531138	1	2	901	8	Jiří	Hochman	M			49	živnostník	Cerhovice	99	80	0
2102	531138	1	2	901	9	Marcela	Štichová	F			45	vychovatelka	Cerhovice	99	80	0
2102	531138	1	2	901	10	Alena	Palková	F			53	podnikatelka	Cerhovice	99	80	0
2102	531138	1	2	901	11	Jiří	Wimmer	M			33	obchodní zástupce	Cerhovice	99	80	0
2102	531138	1	2	901	12	Václav	Boček	M			69	důchodce	Třenice	99	80	0
2102	531138	1	2	901	13	Aleš	Procházka	M	Bc.		25	check-in agent	Cerhovice	99	80	0
2102	531138	1	2	901	14	Vladislav	Cibulka	M			40	vedoucí pracovník	Cerhovice	99	80	0
2102	531138	1	2	901	15	Ivo	Kulmon	M			39	podnikatel	Cerhovice	99	80	0
2102	531138	1	3	53	1	František	Hochman	M			72	důchodce	Cerhovice	53	53	0
2102	531138	1	3	53	2	Albert	Hendrich	M			42	programátor	Cerhovice	53	53	0
2102	531138	1	3	53	3	Michal	Vrňata	M	Ing.		32	konstruktér	Cerhovice	99	53	0
2102	531138	1	3	53	4	Jan	Zapach	M	Mgr.		56	inspektor	Cerhovice	99	53	0
2102	531138	1	3	53	5	Miloš	Abraham	M			54	důchodce	Cerhovice	99	53	0
2102	531138	1	3	53	6	Miloslav	Štrumf	M			60	vedoucí tech.úseku	Cerhovice	99	53	0
2102	531138	1	3	53	7	Jindřiška	Červenková	F			41	učitelka	Cerhovice	99	53	0
2102	531138	1	3	53	8	Martin	Hochman	M			43	podnikatel	Cerhovice	53	53	0
2102	531138	1	3	53	9	Jana	Štefáková	F			49	důchodce	Cerhovice	99	53	0
2102	531138	1	3	53	10	Roman	Eisenhammer	M			40	vedoucí údržby	Cerhovice	99	53	0
2102	531138	1	3	53	11	Jaroslav	Černík	M			34	podnikatel	Cerhovice	99	53	0
2102	531138	1	3	53	12	Vilém	Švejda	M			25	technik	Cerhovice	99	53	0
2102	531138	1	3	53	13	Jana	Hanzlíková	F			49	obchodně tech. poradce	Cerhovice	99	53	0
2102	531138	1	3	53	14	Petra	Suttrová	F			32	podnikatelka	Cerhovice	99	53	0
2102	531138	1	3	53	15	Jan	Stupka	M			72	důchodce	Třenice	99	53	0
2102	531138	1	4	902	1	Jiří	Pergl	M			44	strojvedoucí	Cerhovice	99	80	0
2102	531138	1	4	902	2	Daniela	Vrňatová	F	Mgr.		30	učitelka ZŠ	Cerhovice	99	80	0
2102	531138	1	4	902	3	Václav	Tauš	M			46	strojvedoucí	Cerhovice	99	80	0
2102	531138	1	4	902	4	Jana	Vondráčková	F			28	odborný technický pracovník	Cerhovice	99	80	0
2102	531138	1	4	902	5	František	Mašek	M			65	důchodce	Cerhovice	99	80	0
2102	531138	1	4	902	6	Miroslav	Kára	M			47	zástupce ředitele stav.firmy	Cerhovice	99	80	0
2102	531138	1	4	902	7	Radka	Hubingerová	F			23	učitelka MŠ	Třenice	99	80	0
2102	531138	1	4	902	8	Jana	Šmídová	F			39	poštovní úřednice	Cerhovice	99	80	0
2102	531138	1	4	902	9	Luboš	Jedlička	M			35	technolog	Cerhovice	99	80	0
2102	531138	1	4	902	10	Daniel	Choc	M			27	logistik	Třenice	99	80	0
2102	531138	1	4	902	11	Josef	Křížek	M			42	elektromechanik	Třenice	99	80	0
2102	531138	1	4	902	12	Zdeňka	Řechtáčková	F			67	důchodce	Cerhovice	99	80	0
2102	531138	1	4	902	13	Jaroslav	Kunc	M			37	stavbyvedoucí	Cerhovice	99	80	0
2102	531138	1	4	902	14	Alois	Záhrobský	M			64	důchodce	Cerhovice	99	80	0
2102	531138	1	4	902	15	Věra	Štochlová	F			47	podnikatelka	Cerhovice	99	80	0
