OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6202	551228	1	1	53	1	Jindřich	Svoboda	Mgr.		33	středoškolský učitel	Brno-Komín	53	53	0	M
6202	551228	1	2	172	1	Rudolf	Labus			58	podnikatel	Brno-Komín	99	172	0	M
6202	551228	1	3	1	1	Rostislav	Nekuda	PhDr.		52	archeolog(prac.MZM,ex.uč. MU)	Brno-Komín	1	1	0	M
6202	551228	1	4	901	1	Eva	Joklová			58	starostka	Brno-Komín	99	80	0	F
6202	551228	1	5	129	1	Božena	Havelková	PaedDr.		60	logoped	Brno-Komín	129	129	0	F
6202	551228	1	6	5	1	Milada	Blatná	Bc.		44	personalistka	Brno-Komín	5	5	0	F
6202	551228	1	7	47	1	Ladislav	Kobza			62	učitel	Brno-Komín	47	47	0	M
6202	551228	1	8	7	1	Lubomír	Hakl	doc. MUDr.	CSc.	63	lékař	Brno-Komín	7	7	0	M
6202	551228	1	1	53	2	Karel	Hledík			64	člen Rady města Brna	Brno-Komín	53	53	0	M
6202	551228	1	2	172	2	Saša	Sedláček			63	podnikatel	Brno-Komín	99	172	0	M
6202	551228	1	3	1	2	Jan	Ševčík	Ing.		27	ekonom (podnikatel)	Brno-Komín	1	1	0	M
6202	551228	1	4	901	2	Radek	Černý			32	podnikatel	Brno-Komín	99	80	0	M
6202	551228	1	5	129	2	Hana	Šívarová			57	ekonomicko-provozní pracovník	Brno-Komín	99	129	0	F
6202	551228	1	6	5	2	Martin	Procházka			22	obchodní zástupce	Brno-Komín	5	5	0	M
6202	551228	1	7	47	2	Ladislav	Havel			63	důchodce	Brno-Komín	47	47	0	M
6202	551228	1	8	7	2	Jiří	Sedláček			62	strážný	Brno-Komín	7	7	0	M
6202	551228	1	1	53	3	Vladimír	Škára	Ing.	CSc.	65	místostarosta	Brno-Komín	53	53	0	M
6202	551228	1	2	172	3	Jiří	Raus			56	prac. vnitřní bezpeč. služby	Brno-Komín	99	172	0	M
6202	551228	1	3	1	3	Zdena	Rašková	Ing.		40	referent na MU	Brno-Komín	1	1	0	F
6202	551228	1	4	901	3	František	Kopřivík	Ing. arch.		48	architekt	Brno-Komín	99	80	0	M
6202	551228	1	5	129	3	Bohuslav	Chalupa	Ing.		46	projektový manažer	Brno-Komín	99	129	0	M
6202	551228	1	6	5	3	Eugen	Točík	Ing. arch.		48	architekt	Brno-Komín	99	5	0	M
6202	551228	1	7	47	3	Adéla	Galleová	Mgr.		53	učitelka	Brno-Komín	99	47	0	F
6202	551228	1	8	7	3	Michal	Mekleš			34	podnikatel	Brno-Komín	7	7	0	M
6202	551228	1	1	53	4	Pavel	Pekár	Ing. arch.		37	autorizovaný architekt	Brno-Komín	53	53	0	M
6202	551228	1	2	172	4	Jaroslav	Havlík			53	umělec	Brno-Komín	99	172	0	M
6202	551228	1	3	1	4	Jiří	Petráček	doc. RNDr. Dr.		42	vysokoškolský učitel	Brno-Komín	1	1	0	M
6202	551228	1	4	901	4	Marie	Beránková			56	podnikatelka	Brno-Komín	99	80	0	F
6202	551228	1	5	129	4	Lukáš	Bajer			25	student	Brno-Komín	99	129	0	M
6202	551228	1	6	5	4	Aleš	Homolka			48	technik	Brno-Komín	99	5	0	M
6202	551228	1	7	47	4	Petr	Pavlíček			58	invalidní důchodce	Brno-Komín	47	47	0	M
6202	551228	1	8	7	4	Tomáš	Buček			21	student	Brno-Komín	7	7	0	M
6202	551228	1	1	53	5	Jan	Halíček			60	zam.Městské policie m.Brna	Brno-Komín	53	53	0	M
6202	551228	1	2	172	5	Bedřich	Holzman			37	malíř	Brno-Komín	99	172	0	M
6202	551228	1	3	1	5	Roman	Kotowski			27	automechanik	Brno-Komín	1	1	0	M
6202	551228	1	4	901	5	Robert	Bitto			38	podnikatel	Brno-Komín	99	80	0	M
6202	551228	1	5	129	5	Lenka	Baňouchová			29	administrativní pracovník	Brno-Komín	99	129	0	F
6202	551228	1	6	5	5	Silvie	Siblíková	Ing.		35	zootechnička	Brno-Komín	99	5	0	F
