OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6203	582808	1	1	901	1	Libor	Zelinka	M			34	řidič z povolání	Babice u Rosic	99	80	0
6203	582808	1	1	901	2	Ladislav	Brabec	M			35	operátor skladu	Babice u Rosic	99	80	0
6203	582808	1	1	901	3	Bohumil	Foral	M	Ing.		38	strojní inženýr	Babice u Rosic	99	80	0
6203	582808	1	1	901	4	Jan	Zelinka	M			34	řidič z povolání	Babice u Rosic	99	80	0
6203	582808	1	1	901	5	Martina	Křížová	F			33	prodavačka	Babice u Rosic	99	80	0
6203	582808	1	1	901	6	František	Brim	M			38	manažer	Babice u Rosic	99	80	0
6203	582808	1	2	449	1	Vladimír	Blažejovský	M			37	starosta obce	Babice u Rosic	99	80	0
6203	582808	1	2	449	2	Renata	Vytopilová	F	Ing.		35	manažer pobočky	Babice u Rosic	99	80	0
6203	582808	1	2	449	3	Oldřich	Kolář	M			54	dělník	Babice u Rosic	99	80	0
6203	582808	1	2	449	4	Ivana	Machová	F	Mgr.		41	učitelka	Babice u Rosic	99	80	0
6203	582808	1	2	449	5	Alois	Švihálek	M			68	důchodce	Babice u Rosic	99	80	0
6203	582808	1	2	449	6	Hana	Pazderová	F			30	ošetřovatelka	Babice u Rosic	99	80	0
6203	582808	1	2	449	7	Petr	Procházka	M			52	soukromý podnikatel	Babice u Rosic	99	80	0
6203	582808	1	2	449	8	Emilie	Krásenská	F			60	důchodce	Babice u Rosic	99	80	0
6203	582808	1	3	53	1	Jan	Kotas	M	Ing.		44	vedoucí pracovník - THP	Babice u Rosic	53	53	0
6203	582808	1	3	53	2	Pavel	Neuman	M			47	OSVČ	Babice u Rosic	99	53	0
6203	582808	1	3	53	3	Aleš	Jurda	M			33	řidič	Babice u Rosic	99	53	0
6203	582808	1	3	53	4	Václav	Badura	M	Ing.		58	technik	Babice u Rosic	99	53	0
6203	582808	1	3	53	5	Jan	Vlček	M			29	OSVČ	Babice u Rosic	99	53	0
6203	582808	1	3	53	6	Kateřina	Boleslavová	F			30	obchodní zástupce	Babice u Rosic	99	53	0
6203	582808	1	3	53	7	Miroslav	Kocian	M			45	OSVČ	Babice u Rosic	99	53	0
