OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3201	554073	1	1	902	1	Josef	Chval	M	Ing.		57	bankovní úředník	Osvračín	99	80	0
3201	554073	1	1	902	2	Marie	Rynešová	F			55	podnikatelka	Mimov	99	80	0
3201	554073	1	1	902	3	Jiří	Škarda	M			53	řidič	Osvračín	99	80	0
3201	554073	1	1	902	4	Pavel	Hanakam	M			42	expedient	Osvračín	99	80	0
3201	554073	1	1	902	5	Zdeňka	Šnajdaufová	F	Ing.		51	technik kvality odp.vod	Osvračín	99	80	0
3201	554073	1	1	902	6	Jana	Vránová	F			32	na mateřské dovolené	Mimov	99	80	0
3201	554073	1	1	902	7	Martin	Vrba	M			24	agronom	Osvračín	99	80	0
3201	554073	1	2	801	1	František	Šuller	M			45	zámečník	Osvračín	99	80	0
3201	554073	1	3	802	1	Miroslav	Sejpka	M			49	řidič	Osvračín	99	80	0
3201	554073	1	4	901	1	Jan	Mařík	M			57	zedník	Osvračín	99	80	0
3201	554073	1	4	901	2	Jana	Müllerová	F			44	OSVČ	Osvračín	99	80	0
3201	554073	1	4	901	3	Lenka	Borníková	F			27	dámská krejčová	Osvračín	99	80	0
3201	554073	1	4	901	4	Milan	Strakoš	M			61	opravář strojů	Osvračín	99	80	0
3201	554073	1	4	901	5	Michal	Abraham	M			28	zámečník	Osvračín	99	80	0
3201	554073	1	4	901	6	František	Wegschmied	M			50	zedník	Osvračín	99	80	0
3201	554073	1	4	901	7	Jindřich	Mařík	M			57	malíř pokojů	Osvračín	99	80	0
