OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
8102	598143	1	1	901	1	Tomáš	Blahuta			45	geodet	Frýdlant	99	80	0	M
8102	598143	1	2	53	1	Jiří	Mořkovský	Ing.		58	místostarosta města	Frýdlant	53	53	0	M
8102	598143	1	3	7	1	Jaromír	Pajtl			60	technik	Frýdlant	7	7	0	M
8102	598143	1	4	47	1	Jaromír	Drabina	Ing.		55	technik	Frýdlant	47	47	0	M
8102	598143	1	5	1	1	Bohumil	Dolanský	Ing.		45	starosta	Frýdlant	1	1	0	M
8102	598143	1	1	901	2	Marie	Hrachová			42	trenérka	Frýdlant	99	80	0	F
8102	598143	1	2	53	2	Miroslav	Goluch	Ing.		47	hygienik	Frýdlant	53	53	0	M
8102	598143	1	3	7	2	David	Mareček	Mgr.		28	učitel	Frýdlant	99	7	0	M
8102	598143	1	4	47	2	Jaroslav	Velička			54	strojní zámečník	Frýdlant	47	47	0	M
8102	598143	1	5	1	2	Vlastibor	Konečný			49	soukromý podnikatel	Nová Ves	99	1	0	M
8102	598143	1	1	901	3	Vladimír	Kundrát			47	vedoucí provozu vodovodů	Frýdlant	99	80	0	M
8102	598143	1	2	53	3	Jaroslav	Jeřábek	Ing.		60	zaměst.a jednatel spol.s.r.o.	Frýdlant	53	53	0	M
8102	598143	1	3	7	3	Břetislav	Kowalik			62	tajemník OVV ČSSD	Frýdlant	7	7	0	M
8102	598143	1	4	47	3	Svatopluk	Masopust			60	pracovník v zemědělství	Nová Ves	47	47	0	M
8102	598143	1	5	1	3	Radim	Petr	Mgr.		33	metodik	Frýdlant	1	1	0	M
8102	598143	1	1	901	4	Petr	Majíček			33	elektrikář	Frýdlant	99	80	0	M
8102	598143	1	2	53	4	Blažena	Braunsteinová	MUDr.		52	epidemioložka	Frýdlant	99	53	0	F
8102	598143	1	3	7	4	Miroslav	Milata	Mgr.		53	učitel	Frýdlant	99	7	0	M
8102	598143	1	4	47	4	Zdenek	Dolba			59	OSVČ	Frýdlant	47	47	0	M
8102	598143	1	5	1	4	Monika	Kabutová	MUDr.		41	lékařka	Frýdlant	99	1	0	F
8102	598143	1	1	901	5	Jaroslav	Klečka			63	technik správy bytů	Frýdlant	99	80	0	M
8102	598143	1	2	53	5	Blanka	Juchelková	PharmDr.		45	majitelka lékárny	Frýdlant	99	53	0	F
8102	598143	1	3	7	5	Jaroslav	Hovjacký			56	tajemník TJ Ferrum	Frýdlant	99	7	0	M
8102	598143	1	4	47	5	Jana	Klimundová	Ing.		38	vedoucí recepce	Frýdlant	99	47	0	F
