OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5202	572659	1	1	7	1	Blanka	Moravcová	F	Bc.		57	důchodce	Holínské Předměstí	7	7	0
5202	572659	1	1	7	2	Lubomír	Svatý	M	Ing.	CSc.	61	podnikatel	Nové Město	7	7	0
5202	572659	1	1	7	3	Zdeněk	Jonáš	M	Mgr.		26	disponent zahranič. oddělení	Nové Město	7	7	0
5202	572659	1	1	7	4	Jan K.	Čeliš	M	Mgr.		57	učitel	Valdické Předměstí	99	7	0
5202	572659	1	1	7	5	Miroslav	Matějka	M	Bc.		36	hudebník	Valdické Předměstí	7	7	0
5202	572659	1	1	7	6	Jan	Vaníček	M	Ing.		49	pracovník veřejné správy	Valdické Předměstí	7	7	0
5202	572659	1	1	7	7	Stanislav	Kroutil	M			27	podnikatel	Nové Město	7	7	0
5202	572659	1	1	7	8	Jiří	Jílek	M	Bc.		46	předseda o.s.SR a PMP	Soudná	7	7	0
5202	572659	1	1	7	9	Luděk	Moravec	M	Ing.		33	referent kvality	Nové Město	7	7	0
5202	572659	1	1	7	10	Josef	Dvořák	M			50	prov. zástupce	Holínské Předměstí	7	7	0
5202	572659	1	1	7	11	Bedřich	Doležal	M			59	důchodce	Valdické Předměstí	99	7	0
5202	572659	1	1	7	12	Tomáš	Popek	M			24	student VŠ UHK	Valdické Předměstí	7	7	0
5202	572659	1	1	7	13	Olga	Nedělová	F			58	důchodce	Nové Město	7	7	0
5202	572659	1	1	7	14	Iveta	Jílková	F			24	sociální pracovnice	Valdické Předměstí	7	7	0
5202	572659	1	1	7	15	Jiří	Synek	M			52	technik	Valdické Předměstí	7	7	0
5202	572659	1	1	7	16	Josef	Moravec	M			59	státní zaměstnanec	Holínské Předměstí	99	7	0
5202	572659	1	1	7	17	Romana	Jonášová	F			25	mateřská dovolená	Nové Město	99	7	0
5202	572659	1	1	7	18	Svatopluk	Tryzubský	M			28	podnikatel	Nové Město	7	7	0
5202	572659	1	1	7	19	Jana	Vávrová	F			65	důchodkyně	Nové Město	99	7	0
5202	572659	1	1	7	20	Eva	Pokorná	F			51	sanitárka	Valdické Předměstí	7	7	0
5202	572659	1	1	7	21	Hana	Myšíková	F			58	důchodce	Pražské Předměstí	7	7	0
5202	572659	1	2	53	1	Martin	Puš	M	Ing.		43	starosta	Valdické Předměstí	53	53	0
5202	572659	1	2	53	2	Ladislav	Brykner	M	Ing.		42	vedoucí obec. živnost. úřadu	Holínské Předměstí	53	53	0
5202	572659	1	2	53	3	Richard	Koníř	M	Mgr.		43	místostarosta	Holínské Předměstí	53	53	0
5202	572659	1	2	53	4	Miroslav	Jiran	M			62	podnikatel	Valdické Předměstí	53	53	0
5202	572659	1	2	53	5	Jiří	Liška	M	MVDr.		57	senátor	Valdické Předměstí	53	53	0
5202	572659	1	2	53	6	Eva	Jandurová	F			55	živnostník	Valdické Předměstí	53	53	0
5202	572659	1	2	53	7	Miroslav	Petržilka	M			42	živnostník	Nové Město	53	53	0
5202	572659	1	2	53	8	Petr	Lisý	M	MUDr.		38	lékař	Valdické Předměstí	99	53	0
5202	572659	1	2	53	9	Aleš	Babák	M	Mgr.		31	sekretář HBC Jičín	Valdické Předměstí	99	53	0
5202	572659	1	2	53	10	Miloš	Starý	M			51	manažer mazinárodní firmy	Valdické Předměstí	99	53	0
5202	572659	1	2	53	11	Miloslav	Kůta	M	Mgr.		48	učitel ZŠ	Valdické Předměstí	99	53	0
5202	572659	1	2	53	12	Vladimír	Carda	M			65	důchodce	Popovice	53	53	0
5202	572659	1	2	53	13	Hana	Rejhová	F			70	důchodce	Sedličky	99	53	0
5202	572659	1	2	53	14	Zlatuše	Kynčlová	F			38	zást. ředitele I. ZŠ pro MŠ	Nové Město	99	53	0
5202	572659	1	2	53	15	Petr	Šindelář	M	Mgr.		51	zást. ředitele IV.ZŠ	Valdické Předměstí	99	53	0
5202	572659	1	2	53	16	Vladislava	Petrtýlová	F			42	cvičitelka aerobiku	Sedličky	99	53	0
5202	572659	1	2	53	17	Petr	Krykorka	M	MUDr.		36	lékař	Nové Město	99	53	0
5202	572659	1	2	53	18	Maryša	Riegerová	F			46	učitelka MŠ	Valdické Předměstí	99	53	0
5202	572659	1	2	53	19	Karel	Lenc	M	MUDr.		52	zubní lékař	Holínské Předměstí	99	53	0
5202	572659	1	2	53	20	Milan	Fejfar	M			45	podnikatel	Nové Město	99	53	0
5202	572659	1	2	53	21	Josef	Letošník	M			67	důchodce	Valdické Předměstí	99	53	0
5202	572659	1	3	129	1	Josef	Kužel	M			57	ředitel ZŠ	Valdické Předměstí	99	129	0
5202	572659	1	3	129	2	Petr	Volf	M			66	kameraman a podnikatel	Valdické Předměstí	99	129	0
5202	572659	1	3	129	3	Jiří	Hvězda	M	MUDr.		54	zubní lékař	Valdické Předměstí	99	129	0
5202	572659	1	3	129	4	Josef	Přikryl	M			67	konstruktér	Valdické Předměstí	99	129	0
5202	572659	1	3	129	5	Blanka	Pivcová	F	MUDr.		59	oční lékařka	Nové Město	99	129	0
5202	572659	1	3	129	6	Přemysl	Suchánek	M			45	správce tenisových kurtů	Valdické Předměstí	99	129	0
5202	572659	1	3	129	7	Pavel	Hejl	M	Ing.		50	logistik	Valdické Předměstí	99	129	0
5202	572659	1	3	129	8	Jiří	Lingr	M	Ing.		51	menažer	Valdické Předměstí	99	129	0
5202	572659	1	3	129	9	Radomír	Řehák	M	Ing.		39	podnikatel	Soudná	99	129	0
