OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6102	587648	1	1	802	1	Jan	Vilímek			33	nástrojář	Otín	99	80	0	M
6102	587648	1	2	901	1	Josef	Hrůza			55	elktromontér	Otín	99	80	0	M
6102	587648	1	3	801	1	Zdeněk	Martinů			58	technik	Otín	99	80	0	M
6102	587648	1	2	901	2	Jaroslav	Šimánek			42	elektromontér	Otín	99	80	0	M
6102	587648	1	2	901	3	Antonín	Hovorka			38	seřizovač strojů CNC	Otín	99	80	0	M
6102	587648	1	2	901	4	Marcela	Novotná			61	důchodkyně	Otín	99	80	0	F
6102	587648	1	2	901	5	Jan	Berka			60	opravář zemědělských strojů	Otín	99	80	0	M
6102	587648	1	2	901	6	Jaroslav	Slavík			59	důchodce	Otín	99	80	0	M
6102	587648	1	2	901	7	Daniel	Brychta			32	skladník	Otín	99	80	0	M
6102	587648	1	2	901	8	Miloš	Svoboda			29	automechanik	Otín	99	80	0	M
6102	587648	1	2	901	9	Martin	Hos			33	obráběč kovů	Otín	99	80	0	M
