OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2103	512991	1	1	803	1	Luboš	VRTILKA	M	Ing.		43	samostatně hospodařící rolník	Drnek	99	80	0
2103	512991	1	2	808	1	Michal	ČERNÝ	M			30	soukromý podnikatel	Drnek	99	80	0
2103	512991	1	3	811	1	Václav	KOPECKÝ	M			39	státní zaměstnanec	Drnek	99	80	0
2103	512991	1	4	805	1	Květuše	VÁVROVÁ	F			46	v domácnosti	Drnek	99	80	0
2103	512991	1	5	807	1	Jiří	POLÁK	M			60	podnikatel	Drnek	99	80	0
2103	512991	1	6	809	1	Miloš	ŠTULÍK	M			42	hasič ČSL-Praha	Drnek	99	80	0
2103	512991	1	7	47	1	Zdeněk	LEVÝ	M			55	asistent	Drnek	47	47	0
2103	512991	1	7	47	2	Stanislav	ŠVENKRT	M			45	lesní dělník	Drnek	47	47	0
2103	512991	1	7	47	3	Božena	PEŠULOVÁ	F			66	důchodce	Drnek	99	47	0
2103	512991	1	8	802	1	Lukáš	POCHMAN	M			21	plavčík	Drnek	99	80	0
2103	512991	1	9	801	1	Otakar	SCHWAMBERGER	M			54	soukromý podnikatel	Drnek	99	80	0
2103	512991	1	10	810	1	Jiří	VINKL	M			42	brusič	Drnek	99	80	0
2103	512991	1	11	804	1	Leopold	POSPÍŠIL	M			66	důchodce	Drnek	99	80	0
2103	512991	1	12	806	1	Milena	FRANKOVÁ	F			33	obchodní referentka	Drnek	99	80	0
2103	513032	1	1	801	1	Antonín	KUNERT	M			49	vozmistr	Kamenný Most	99	80	0
2103	513032	1	2	1	1	Vladimír	VOREL	M			72	v důchodu	Kamenný Most	1	1	0
2103	513032	1	2	1	2	Ladislav	CÍLEK	M			46	podnikatel	Kamenný Most	99	1	0
2103	513032	1	2	1	3	Květa	GALBAVÁ	F			45	uklizečka	Kamenný Most	99	1	0
2103	513032	1	2	1	4	Václav	HEROUT	M			52	zedník	Kamenný Most	99	1	0
2103	513032	1	2	1	5	Anna	HOLUBOVÁ	F			60	v důchodu	Kamenný Most	99	1	0
2103	513032	1	2	1	6	Václav	NOVÁK	M			64	v důchodu	Kamenný Most	99	1	0
2103	513032	1	2	1	7	Eva	ORTOVÁ	F			64	v důchodu	Kamenný Most	99	1	0
2103	513032	1	2	1	8	Věra	PATÓCSOVÁ	F			47	úřednice	Kamenný Most	99	1	0
2103	513032	1	2	1	9	Ladislav	ROJEK	M			54	technik	Kamenný Most	99	1	0
2103	513041	1	1	47	1	Zdeněk	CHOCHOLA	M			56	důchodce	Lhota	99	47	0
2103	513041	1	1	47	2	Zdeněk	KUNA	M			61	důchodce	Lhota	99	47	0
2103	513041	1	1	47	3	Jana	MACHULKOVÁ	F			63	důchodce	Lhota	99	47	0
2103	513041	1	1	47	4	Růžena	LÁPKOVÁ	F			60	důchodce	Lhota	99	47	0
2103	513041	1	1	47	5	Vlastimil	FRÝDL	M			63	důchodce	Lhota	47	47	0
2103	513041	1	1	47	6	Zdeněk	ŠNOBL	M			73	důchodce	Lhota	47	47	0
