OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
2103	533157	1	1	53	1	Petr	KOTEN			30	podnikatel	Vítov	53	53	0	M
2103	533157	1	2	901	1	Vratislav	RUBEŠ			40	úředník	Žižice	99	80	0	M
2103	533157	1	1	53	2	Josef	SAVINEC			32	podnikatel	Žižice	53	53	0	M
2103	533157	1	2	901	2	Jiří	BERNÁŠEK			51	řidič	Drnov	99	80	0	M
2103	533157	1	1	53	3	Naděžda	SUCHÁNKOVÁ			34	mateřská dovolená	Žižice	53	53	0	F
2103	533157	1	2	901	3	Jana	HOŘEJŠÍ			31	podnikatelka	Luníkov	99	80	0	F
2103	533157	1	1	53	4	Šárka	KOLAŘÍKOVÁ			29	zaměstnanec	Drnov	99	53	0	F
2103	533157	1	2	901	4	Rostislav	LINDA			35	podnikatel	Žižice	99	80	0	M
2103	533157	1	1	53	5	Josef	HROMÁDKA			32	podnikatel	Žižice	99	53	0	M
2103	533157	1	2	901	5	Pavel	PODRAZKÝ			51	podnikatel	Osluchov	99	80	0	M
2103	533157	1	1	53	6	David	HEJDUK	MUDr.		37	lékař	Luníkov	99	53	0	M
2103	533157	1	2	901	6	Milan	NOVÁK			36	manažer	Drnov	99	80	0	M
2103	533157	1	1	53	7	Milan	PROCHÁZKA	Ing.		41	soukromý zemědělec	Žižice	53	53	0	M
2103	533157	1	2	901	7	Pavel	HÁJEK			35	zámečník	Vítov	99	80	0	M
2103	533157	1	2	901	8	Miloslav	GRÜNWALD			46	podnikatel	Žižice	99	80	0	M
