OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5103	564303	1	1	7	1	Jan	Brožek			58	starosta	Pěnčín	7	7	0	M
5103	564303	1	2	901	1	Radka	Kolínská			33	VŠ pedagog	Pěnčín	99	80	0	F
5103	564303	1	3	902	1	Josef	Kvapil			41	konstruktér	Vitanovice	99	80	0	M
5103	564303	1	4	801	1	Vlastimír	Langer			39	řidič, údržbář	Pěnčín	99	80	0	M
5103	564303	1	1	7	2	Petr	Krejcar			57	podnikatel	Pěnčín	99	7	0	M
5103	564303	1	2	901	2	Lenka	Hobelantová			41	učitelka MŠ	Pěnčín	99	80	0	F
5103	564303	1	3	902	2	Karel	Bičík	Ing.		48	policejní komisař	Pěnčín	99	80	0	M
5103	564303	1	1	7	3	Josef	Beran			67	důchodce	Pěnčín	99	7	0	M
5103	564303	1	2	901	3	Čestmír	Kapras			52	dělník	Pěnčín	99	80	0	M
5103	564303	1	3	902	3	Josef	Mohelský	Ing.		54	jednatel společnosti	Střížovice	99	80	0	M
5103	564303	1	1	7	4	Václav	Šulc	Ing.		47	technolog	Pěnčín	99	7	0	M
5103	564303	1	2	901	4	Pavel	Král			37	úředník	Pěnčín	99	80	0	M
5103	564303	1	3	902	4	Jaroslav	Šáral	Ing.		54	jednatel společnosti	Zásada	99	80	0	M
5103	564303	1	1	7	5	Jiří	Žďárský			58	invalidní důchodce	Pěnčín	99	7	0	M
5103	564303	1	2	901	5	Marcela	Kurfirstová			45	osobní asistent	Pěnčín	99	80	0	F
5103	564303	1	3	902	5	Jiří	Plíva			33	ředitel reklamní agentury	Pěnčín	99	80	0	M
5103	564303	1	1	7	6	Danuše	Brožková			63	důchodkyně	Pěnčín	99	7	0	F
5103	564303	1	2	901	6	Luděk	Paldus			27	programátor	Pěnčín	99	80	0	M
5103	564303	1	3	902	6	Vladimír	Houda			47	zlatník	Pěnčín	99	80	0	M
5103	564303	1	2	901	7	Josef	Tomáš			56	jednatel společnosti	Pěnčín	99	80	0	M
5103	564303	1	3	902	7	Drahomír	Ťukal			71	v důchodu	Pěnčín	99	80	0	M
5103	564303	1	2	901	8	Miroslav	Tomášek			44	seřizovač	Pěnčín	99	80	0	M
5103	564303	1	3	902	8	Marcela	Brechlerová			51	skladová pracovnice	Pěnčín	99	80	0	F
5103	564303	1	2	901	9	Jan	Hobelant			76	důchodce	Zásada	99	80	0	M
5103	564303	1	3	902	9	Marcela	Beranová			33	na mateřské dovolené	Pěnčín	99	80	0	F
