OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
2106	535320	1	1	901	1	Marie	Fidlerová			54	bankovní poradce	Všetaty	99	80	0	F
2106	535320	1	2	77	1	Miroslav	Baloun			52	starosta	Všetaty	77	77	0	M
2106	535320	1	1	901	2	Petr	Pokorný	RNDr.		46	učitel	Všetaty	99	80	0	M
2106	535320	1	2	77	2	Václav	Zámorský	Ing.		64	důchodce	Přívory	99	77	0	M
2106	535320	1	1	901	3	Jan	Hadrbolec			32	komisař PO-velitel čety HZS	Všetaty	99	80	0	M
2106	535320	1	2	77	3	Josef	Burka			56	konstruktér	Všetaty	99	77	0	M
2106	535320	1	1	901	4	Petr	Oršulík	Mgr.		54	soukromý podnikatel	Všetaty	99	80	0	M
2106	535320	1	2	77	4	Jan	Hladký			51	zámečník	Všetaty	99	77	0	M
2106	535320	1	1	901	5	Ondřej	Fabian			31	soukromý podnikatel	Všetaty	53	80	0	M
2106	535320	1	2	77	5	František	Plaček			57	podnikatel	Přívory	99	77	0	M
2106	535320	1	1	901	6	Martin	Novák			29	inspektor PO-řidič-stroj. HZS	Všetaty	99	80	0	M
2106	535320	1	2	77	6	Pavel	Lauda			43	technik	Všetaty	99	77	0	M
2106	535320	1	1	901	7	Petr	Potužník			30	plánovač výroby	Všetaty	99	80	0	M
2106	535320	1	2	77	7	Vlasta	Pokorná			61	důchodce	Všetaty	99	77	0	F
2106	535320	1	1	901	8	Alena	Škvareniaková			48	úřednice	Přívory	99	80	0	F
2106	535320	1	2	77	8	Petr	Rambousek			43	vedoucí údržby	Všetaty	99	77	0	M
2106	535320	1	1	901	9	Václav	Müller			21	student VOŠ	Všetaty	99	80	0	M
2106	535320	1	2	77	9	Robert	Sokol			34	podnikatel	Přívory	99	77	0	M
2106	535320	1	1	901	10	Luboš	Klobása			26	inspektor PO-velitel druž.HZS	Všetaty	99	80	0	M
2106	535320	1	2	77	10	Radovan	Kostka			34	technik prodeje	Přívory	99	77	0	M
2106	535320	1	1	901	11	Martin	Hošek			32	soukromý podnikatel	Všetaty	99	80	0	M
2106	535320	1	2	77	11	Jiří	Hošek	Ing.		34	technik	Přívory	99	77	0	M
2106	535320	1	1	901	12	Pavel	Šimůnek			21	technik IT	Všetaty	99	80	0	M
2106	535320	1	2	77	12	Lenka	Jandová			31	učitelka MŠ	Všetaty	99	77	0	F
2106	535320	1	1	901	13	Vladimír	Simon			36	bankovní úředník	Všetaty	99	80	0	M
2106	535320	1	2	77	13	Jiří	Kovář			31	samost. hosp. zemědělec	Přívory	99	77	0	M
2106	535320	1	1	901	14	Roman	Školák			28	řidič mezinár. kamion.dopravy	Všetaty	99	80	0	M
2106	535320	1	2	77	14	Jaroslav	Kubánek			36	podnikatel	Přívory	99	77	0	M
2106	535320	1	1	901	15	Miloslav	Černý			31	hasič-technik	Všetaty	99	80	0	M
2106	535320	1	2	77	15	Václav	Fabián			57	invalidní důchodce	Všetaty	99	77	0	M
