OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
2107	535869	1	1	53	1	Petr	Hejl			43	technický pracovník f.ŠKODA	Hrdlořezy	53	53	0	M
2107	535869	1	2	901	1	Eva	Novotná	MUDr.		55	praktická lékařka	Hrdlořezy	99	80	0	F
2107	535869	1	3	47	1	Jaroslav	Folprecht			60	specialista ŠKODA	Hrdlořezy	47	47	0	M
2107	535869	1	1	53	2	Tomáš	Prášek			41	soukromý podnikatel	Hrdlořezy	53	53	0	M
2107	535869	1	2	901	2	Josef	Černý			66	soukr.zemědělec	Hrdlořezy	99	80	0	M
2107	535869	1	3	47	2	Karel	Ulman			59	oprav.zem.strojů	Hrdlořezy	99	47	0	M
2107	535869	1	1	53	3	Jiří	Hladík			39	soukromý podnikatel	Hrdlořezy	53	53	0	M
2107	535869	1	2	901	3	Helena	Novotná			48	podnikatelka	Hrdlořezy	99	80	0	F
2107	535869	1	3	47	3	Zlatěna	Pokorná			52	inval.důchodce	Hrdlořezy	47	47	0	F
2107	535869	1	1	53	4	Tomáš	Krb	Ing.		33	manažer prodeje	Hrdlořezy	53	53	0	M
2107	535869	1	2	901	4	Jaroslav	Čermák			40	elektromechanik	Hrdlořezy	99	80	0	M
2107	535869	1	3	47	4	Lenka	Lebedová			57	důchodce	Hrdlořezy	47	47	0	F
2107	535869	1	1	53	5	Jan	Martásek			54	soukromý podnikatel	Hrdlořezy	99	53	0	M
2107	535869	1	2	901	5	Josef	Ďurfina			45	invalidní důchodce	Hrdlořezy	99	80	0	M
2107	535869	1	3	47	5	Josef	Ulman			56	inval.důchodce	Hrdlořezy	99	47	0	M
2107	535869	1	1	53	6	Jiří	Bezděk			43	soukromý podnikatel	Hrdlořezy	99	53	0	M
2107	535869	1	2	901	6	Petr	Jenka			38	autoklempíř	Hrdlořezy	99	80	0	M
2107	535869	1	3	47	6	Jaroslav	Nevyjel			46	podnikatel	Hrdlořezy	47	47	0	M
2107	535869	1	1	53	7	Ilona	Žďánská			33	operátorka AKUMA	Hrdlořezy	99	53	0	F
2107	535869	1	2	901	7	Oldřich	Horsák	Ing.		46	specialista zkuš.exhalací	Hrdlořezy	99	80	0	M
2107	535869	1	3	47	7	Alena	Drnovská			59	důchodce	Hrdlořezy	99	47	0	F
2107	535869	1	1	53	8	Roman	Hanus	Ing.		30	specialista plánování montáže	Hrdlořezy	99	53	0	M
2107	535869	1	2	901	8	Ivan	Kolář	MUDr.		44	lékař fakultní nemocnice	Hrdlořezy	99	80	0	M
2107	535869	1	3	47	8	Michal	Pokorný			29	dělník	Hrdlořezy	47	47	0	M
2107	535869	1	1	53	9	Jan	Hradiský	Ing.		26	vývojový pracovník ŠKODA	Hrdlořezy	99	53	0	M
2107	535869	1	2	901	9	Jan	Mulač			41	podnikatel	Hrdlořezy	99	80	0	M
2107	535869	1	3	47	9	Květuše	Nečesaná			71	důchodce	Hrdlořezy	47	47	0	F
