OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2107	536580	1	1	53	1	Oto	Jakubec	M			52	vývojový pracovník	Řepov	53	53	0
2107	536580	1	1	53	2	Dana	Wimerová	F			44	úřednice MÚ Ml.Boleslav	Řepov	99	53	0
2107	536580	1	1	53	3	Jan	Videcký	M			41	výrobní ředitel	Řepov	99	53	0
2107	536580	1	1	53	4	Jiří	Reichelt	M			61	dělník	Řepov	99	53	0
2107	536580	1	1	53	5	Marta	Vítková	F			57	referentka sociálních služeb	Řepov	99	53	0
2107	536580	1	1	53	6	Václav	Lochman	M			23	prodavač	Řepov	99	53	0
2107	536580	1	1	53	7	Robert	Krubl	M	Ing.		33	vývojový pracovník	Řepov	99	53	0
2107	536580	1	1	53	8	Emil	Fiala	M			70	důchodce	Řepov	53	53	0
2107	536580	1	1	53	9	Jaroslav	Vejr	M	Ing.		70	důchodce	Řepov	53	53	0
2107	536580	1	1	53	10	Jaroslav	Blážka	M	Ing.		45	technický ředitel	Řepov	99	53	0
2107	536580	1	2	901	1	Marie	Pelechová	F			61	invalidní důchodce	Řepov	99	80	0
2107	536580	1	2	901	2	Josef	Rychlý	M			51	podnikatel	Řepov	99	80	0
2107	536580	1	2	901	3	Milan	Zachař	M			39	podnikatel	Řepov	99	80	0
2107	536580	1	2	901	4	Zdeněk	Dragoun	M			34	dělník	Řepov	99	80	0
2107	536580	1	2	901	5	Marie	Zapletalová	F			60	důchodce	Řepov	99	80	0
2107	536580	1	2	901	6	Eva	Kramářová	F			59	důchodce	Řepov	99	80	0
2107	536580	1	2	901	7	Jana	Kučerová	F			53	učitelka	Řepov	99	80	0
2107	536580	1	2	901	8	Dominik	Benko	M	Ing.		54	technik	Řepov	99	80	0
2107	536580	1	2	901	9	Lubomír	Vávra	M			39	řidič	Řepov	99	80	0
2107	536580	1	2	901	10	Michal	Šuma	M			36	údržbář	Řepov	99	80	0
2107	536580	1	2	901	11	Antonín	Hyka	M			37	podnikatel	Řepov	99	80	0
2107	536580	1	2	901	12	Zbyšek	Fidrmuc	M			55	dělník	Řepov	99	80	0
2107	536580	1	2	901	13	Žaneta	Podzimková	F			30	zdravotní sestra	Řepov	99	80	0
2107	536580	1	2	901	14	Petr	Křivský	M	Ing.		28	technik	Řepov	99	80	0
2107	536580	1	2	901	15	Miroslava	Galovská	F			48	administrat.pracovnice	Řepov	99	80	0
