OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
8104	554936	1	1	901	1	Jarmila	Košařová			59	důchodkyně	Bítov	99	80	0	F
8104	554936	1	2	902	1	Tomáš	Richter			44	technicko-hospodář.prac.	Bítov	99	80	0	M
8104	554936	1	3	7	1	Stanislav	Sochorek			55	zámečník	Bítov	7	7	0	M
8104	554936	1	1	901	2	Marie	Švidrnochová			42	účetní	Bítov	99	80	0	F
8104	554936	1	2	902	2	Pavel	Nikel			59	živnostník	Bítov	47	80	0	M
8104	554936	1	3	7	2	Ladislav	Sochorek			39	technik	Bítov	99	7	0	M
8104	554936	1	1	901	3	Iveta	Kuboňová	Ing.		44	osob.samostatněvydělečně činná	Bítov	99	80	0	F
8104	554936	1	2	902	3	Zdeněk	Kupka	Ing.		56	programátor	Bítov	99	80	0	M
8104	554936	1	3	7	3	Ladislav	Tyllich			63	důchodce	Bítov	7	7	0	M
8104	554936	1	1	901	4	Jana	Bilíková			36	účetní	Bítov	99	80	0	F
8104	554936	1	2	902	4	Lumír	Krauzovič			39	dělník	Bítov	99	80	0	M
8104	554936	1	3	7	4	Jiří	Sochorek			62	důchodce	Bítov	7	7	0	M
8104	554936	1	1	901	5	Jana	Tyllichová			30	zdravotní sestra	Bítov	99	80	0	F
8104	554936	1	2	902	5	Lubomír	Bilík			40	dělník	Bítov	99	80	0	M
8104	554936	1	3	7	5	Rostislav	Sochorek			44	technik	Bítov	99	7	0	M
8104	554936	1	1	901	6	Pavla	Sochorková			36	kuchařka	Bítov	99	80	0	F
8104	554936	1	2	902	6	David	Hoš	Ing.		27	technik	Bítov	99	80	0	M
8104	554936	1	3	7	6	Milan	Richter			58	živnostník	Bítov	7	7	0	M
8104	554936	1	1	901	7	Gabriela	Seidlerová			33	účetní	Bítov	99	80	0	F
8104	554936	1	2	902	7	Petr	Fojtík			47	modelář	Bítov	99	80	0	M
8104	554936	1	3	7	7	Bohuslava	Sochorková			57	učitelka	Bítov	7	7	0	F
8104	554936	1	1	901	8	Eva	Jedličková			30	prodavačka	Bítov	99	80	0	F
8104	554936	1	1	901	9	Olga	Marková			49	prodavačka	Bítov	99	80	0	F
