OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
8105	555355	1	1	7	1	Jiří	Paleta			51	podnikatel	Komárov	7	7	0	M
8105	555355	1	2	901	1	Daniel	Žídek			42	starosta městské části	Komárov	99	80	0	M
8105	555355	1	3	53	1	Kamil	Běrský	MUDr.		48	lékař	Komárov	53	53	0	M
8105	555355	1	4	1	1	Václav	Adamec			61	živnostník	Komárov	1	1	0	M
8105	555355	1	1	7	2	Josef	Vincze			46	elektrikář	Komárov	99	7	0	M
8105	555355	1	2	901	2	Dalibor	Laidolf			53	podnikatel	Komárov	99	80	0	M
8105	555355	1	3	53	2	Jan	Fleischer			32	stavební technik	Komárov	53	53	0	M
8105	555355	1	4	1	2	Milan	Pchálek			58	člen ostrahy	Komárov	1	1	0	M
8105	555355	1	1	7	3	Jiří	Gebauer			27	živnostník	Komárov	99	7	0	M
8105	555355	1	2	901	3	Drahomíra	Kozárková	Ing.		47	ekonomka	Komárov	99	80	0	F
8105	555355	1	3	53	3	Josef	Wedlich			42	živnostník-pohostinství	Komárov	99	53	0	M
8105	555355	1	1	7	4	Věra	Carbolová			51	podnikatelka	Komárov	99	7	0	F
8105	555355	1	2	901	4	Jiří	Pospěch			42	živnostník	Komárov	99	80	0	M
8105	555355	1	3	53	4	Michal	Carbol			36	živnostník-elektro	Komárov	99	53	0	M
8105	555355	1	1	7	5	Eva	Stuchlíková			37	manažerka prodeje	Komárov	99	7	0	F
8105	555355	1	2	901	5	Bohuslav	Stoniš			34	technický ředitel	Komárov	99	80	0	M
8105	555355	1	3	53	5	Jaroslav	Neuwirth			61	st. zaměstnanec	Komárov	99	53	0	M
8105	555355	1	1	7	6	Zuzana	Cibulcová			40	rodičovská dovolená	Komárov	99	7	0	F
8105	555355	1	2	901	6	Ludmila	Říčná			42	prodavačka	Komárov	99	80	0	F
8105	555355	1	3	53	6	Jiří	Hořínek			19	student	Komárov	99	53	0	M
8105	555355	1	1	7	7	Jana	Hořínková			40	provozní chemik	Komárov	99	7	0	F
8105	555355	1	2	901	7	Eva	Murová			43	zástupkyně ředitele	Komárov	99	80	0	F
8105	555355	1	3	53	7	Sylva	Kubíková			34	mateřská dovolená	Komárov	99	53	0	F
8105	555355	1	1	7	8	Anna	Mytychová			51	skladová operátorka	Komárov	99	7	0	F
8105	555355	1	2	901	8	František	Teichmann			60	spojový technik	Komárov	99	80	0	M
8105	555355	1	3	53	8	Přemysl	Kulík	Ing.		26	student	Komárov	99	53	0	M
8105	555355	1	1	7	9	Jana	Pavlíková			57	invalidní důchodkyně	Komárov	99	7	0	F
8105	555355	1	2	901	9	Lumír	Měch	Ing.		39	ekonom	Komárov	99	80	0	M
8105	555355	1	3	53	9	Přemysl	Plaček			29	bankovní úředník	Komárov	99	53	0	M
8105	555355	1	1	7	10	Anna	Kuchařová			60	důchodkyně	Komárov	99	7	0	F
8105	555355	1	2	901	10	Kamil	Sosna			49	státní zaměstnanec	Komárov	99	80	0	M
8105	555355	1	3	53	10	Břetislav	Novák			42	živnostník-pohostinství	Komárov	99	53	0	M
8105	555355	1	1	7	11	Květoslav	Baier			72	důchodce	Komárov	99	7	0	M
8105	555355	1	2	901	11	Vladislav	Rasch			57	zámečník	Komárov	99	80	0	M
8105	555355	1	3	53	11	Radmila	Fleischerová			32	mateřská dovolená	Komárov	99	53	0	F
