OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3105	550451	1	1	901	1	Věra	Lavičková	F			35	poštovní doručovatelka	Nové Chalupy	99	80	0
3105	550451	1	1	901	2	Jitka	Nekolová	F			39	lesní technik	Jelení	99	80	0
3105	550451	1	1	901	3	Martin	Judl	M			33	řidič	Nové Chalupy	99	80	0
3105	550451	1	1	901	4	Jana	Nespalová	F			37	podnikatelka	Bělá	99	80	0
3105	550451	1	1	901	5	Jaroslav	Boháč	M			37	podnikatel	Nové Chalupy	99	80	0
3105	550451	1	1	901	6	Luděk	Tuka	M			41	cestář	Nové Chalupy	99	80	0
3105	550451	1	1	901	7	Jiří	Štěpánek	M			55	údržbář	Nové Chalupy	99	80	0
3105	550451	1	1	901	8	Zdeněk	Tůma	M			59	důchodce	Nové Chalupy	99	80	0
3105	550451	1	1	901	9	Zdena	Střelečková	F			45	nezaměstnaná	Láz	99	80	0
3105	550451	1	2	903	1	Pavel	Martiňák	M			32	vedoucí posunu	Nová Pec	99	80	0
3105	550451	1	2	903	2	Milena	Fudyová	F			53	podnikatelka	Nová Pec	99	80	0
3105	550451	1	2	903	3	Štefan	Varga	M			58	bezp. služba	Pěkná	99	80	0
3105	550451	1	2	903	4	Veronika	Hričovská	F			24	referent	Bělá	99	80	0
3105	550451	1	2	903	5	Dagmar	Hlavínová	F			52	účetní	Nové Chalupy	99	80	0
3105	550451	1	2	903	6	Miroslav	Majstr	M			52	technik	Nové Chalupy	99	80	0
3105	550451	1	2	903	7	Martin	Valláš	M			49	dělník	Nová Pec	99	80	0
3105	550451	1	2	903	8	Marie	Zárubová	F			46	podnikatelka	Láz	99	80	0
3105	550451	1	2	903	9	Stanislav	Mikeš	M			56	inv. důchodce	Pěkná	99	80	0
3105	550451	1	3	902	1	Zuzana	Janátová	F			56	podnikatelka	Nové Chalupy	99	80	0
3105	550451	1	3	902	2	Věra	Boháčová	F			61	důchodce	Nové Chalupy	99	80	0
3105	550451	1	3	902	3	Radek	Judl	M			28	elektromechanik	Nové Chalupy	99	80	0
3105	550451	1	3	902	4	Martin	Šanda	M			26	podnikatel	Nové Chalupy	99	80	0
3105	550451	1	3	902	5	Jarmila	Sýkorová	F			55	jeřábnice	Nové Chalupy	99	80	0
3105	550451	1	3	902	6	Petr	Feťko	M			43	lesní technik	Nové Chalupy	99	80	0
3105	550451	1	3	902	7	Jana	Gajdošíková	F			43	dělnice	Nové Chalupy	99	80	0
3105	550451	1	3	902	8	Jaroslava	Švejdová	F			63	důchodce	Nové Chalupy	99	80	0
3105	550451	1	3	902	9	Karel	Souček	M			38	řidič	Nové Chalupy	99	80	0
3105	550451	1	4	47	1	Pavel	Štětina	M			54	lesník	Nová Pec	47	47	0
3105	550451	1	4	47	2	Roman	Rose	M	Ing.		39	vedoucí lesní správy	Jelení	99	47	0
3105	550451	1	4	47	3	Josef	Zíka	M			53	řidič autobusu	Pěkná	99	47	0
3105	550451	1	4	47	4	Irena	Okřinová	F			42	podnikatelka	Nová Pec	99	47	0
3105	550451	1	4	47	5	Jaroslav	Šanda	M			50	traktorista	Nová Pec	99	47	0
3105	550451	1	4	47	6	Marie	Heřmanská	F			61	ředitelka ZŠ	Nová Pec	47	47	0
3105	550451	1	4	47	7	Milan	Novák	M			49	podnikatel	Nová Pec	99	47	0
3105	550451	1	4	47	8	Jan	Žák	M			62	důchodce	Nová Pec	47	47	0
3105	550451	1	4	47	9	Milan	Šišulák	M			62	důchodce	Nová Pec	47	47	0
3105	550451	1	5	904	1	Jaroslav	Koželuh	M	Ing.		64	starosta obce	Jelení	47	80	0
3105	550451	1	5	904	2	Jaroslav	Calda	M			44	projektant	Láz	99	80	0
3105	550451	1	5	904	3	Bohumil	Záruba	M			52	hostinský	Láz	99	80	0
3105	550451	1	5	904	4	Miroslav	Jirásek	M			43	hostinský	Jelení	99	80	0
3105	550451	1	5	904	5	Miroslava	Caldová	F	Ing.		45	projektantka	Láz	99	80	0
3105	550451	1	5	904	6	Terezie	Trančíková	F			24	kuchařka	Jelení	99	80	0
3105	550451	1	5	904	7	Jiří	Procházka	M			62	důchodce	Bělá	99	80	0
3105	550451	1	5	904	8	Miroslav	Krušina	M			50	lesní dělník	Jelení	99	80	0
3105	550451	1	5	904	9	Jakub	Koželuh	M			21	student	Jelení	99	80	0
