OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
2109	538761	1	1	902	1	Petr	Vítek			36	manažer	Sibřina	99	80	0	M
2109	538761	1	2	901	1	Lenka	Stemberková	Ing.		43	šlechtitel	Stupice	99	80	0	F
2109	538761	1	3	903	1	Roman	Koštein	Ing.		42	mediální konzultant	Sibřina	99	80	0	M
2109	538761	1	1	902	2	Hana	Kloučková			33	zahradnice	Sibřina	99	80	0	F
2109	538761	1	2	901	2	Renata	Pasiniová			36	dělnice	Stupice	99	80	0	F
2109	538761	1	3	903	2	Jiří	Marčan			51	podnikatel	Sibřina	99	80	0	M
2109	538761	1	1	902	3	Jiří	Šáda			37	manažer	Sibřina	99	80	0	M
2109	538761	1	2	901	3	Ondřej	Veškrna	Ing.		26	šlechtitel	Stupice	99	80	0	M
2109	538761	1	3	903	3	Ladislava	Miková			51	odborný prodejce	Sibřina	99	80	0	F
2109	538761	1	1	902	4	Michaela	Vítková			34	v domácnosti	Sibřina	99	80	0	F
2109	538761	1	2	901	4	Martin	Krušina	Ing.		49	bankovní úředník	Stupice	99	80	0	M
2109	538761	1	3	903	4	Alena	Cvejnová			52	šlechtitelský asistent	Sibřina	99	80	0	F
2109	538761	1	1	902	5	Renata	Balásková			49	obchodní zástupce	Sibřina	99	80	0	F
2109	538761	1	2	901	5	Zdeňka	Kubánková	RNDr.		57	učitelka	Stupice	99	80	0	F
2109	538761	1	3	903	5	Stanislav	Podlipný			59	důchodce	Sibřina	99	80	0	M
2109	538761	1	1	902	6	Pavlína	Čadová			37	učitelka MŠ	Sibřina	99	80	0	F
2109	538761	1	2	901	6	Jana	Řezáčová			53	učitelka	Stupice	99	80	0	F
2109	538761	1	3	903	6	Pavel	Heřtus	Ing.		48	podnikatel	Sibřina	99	80	0	M
2109	538761	1	1	902	7	Antonie	Kačerovská			58	důchodce	Sibřina	99	80	0	F
2109	538761	1	2	901	7	Petra	Hejduková			31	dělnice	Stupice	99	80	0	F
2109	538761	1	3	903	7	Pavel	Bukač			45	programátor	Sibřina	99	80	0	M
2109	538761	1	1	902	8	Vladimír	Mikel			49	manažer	Sibřina	53	80	0	M
2109	538761	1	2	901	8	Pavel	Dušek			50	technik	Stupice	99	80	0	M
2109	538761	1	3	903	8	Václav	Knytl	Ing.		69	důchodce	Sibřina	99	80	0	M
2109	538761	1	1	902	9	Marcela	Škodová			30	podnikatelka	Sibřina	99	80	0	F
2109	538761	1	2	901	9	Petr	Švára			30	řidič	Stupice	99	80	0	M
2109	538761	1	3	903	9	Bohumil	Lhoták			49	podnikatel	Sibřina	99	80	0	M
