OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2110	539503	1	1	902	1	Jiří	Votánek	M			55	podnikatel	Ohrobec	99	80	0
2110	539503	1	1	902	2	Michaela	Krkošková	F			42	v domácnosti	Ohrobec	99	80	0
2110	539503	1	1	902	3	Miroslav	Plucar	M			52	technik	Ohrobec	99	80	0
2110	539503	1	1	902	4	Robert	Pikous	M			30	technik	Ohrobec	99	80	0
2110	539503	1	1	902	5	Jan	Novotný	M			37	autodopravce	Ohrobec	99	80	0
2110	539503	1	1	902	6	Luboš	Váňa	M			45	personální vedoucí	Ohrobec	99	80	0
2110	539503	1	1	902	7	Lukáš	Miffek	M			28	akademický malíř	Ohrobec	99	80	0
2110	539503	1	1	902	8	Tomáš	Albrecht	M			41	podnikatel	Ohrobec	99	80	0
2110	539503	1	1	902	9	Radana	Rolčíková	F	PhDr.		46	historička	Ohrobec	99	80	0
2110	539503	1	2	5	1	Dagmar	Zárubová	F			65	důchodce	Ohrobec	99	5	0
2110	539503	1	2	5	2	Jiřina	Zárubová	F		DiS.	43	rodičovská dovolená	Ohrobec	99	5	0
2110	539503	1	3	901	1	Michaela	Zázvorková	F	Ing.		37	místostarostka	Ohrobec	99	80	0
2110	539503	1	3	901	2	Bohumil	Barda	M	Bc.		32	podnikatel	Ohrobec	99	80	0
2110	539503	1	3	901	3	Monika	Hrubá	F			40	recepční	Ohrobec	99	80	0
2110	539503	1	3	901	4	Petr	Širočka	M	Ing.		42	ekonom-obchod	Ohrobec	99	80	0
2110	539503	1	3	901	5	Milan	Zier	M			63	starosta	Ohrobec	99	80	0
2110	539503	1	3	901	6	Vladimír	Škván	M	Ing.		32	informatik	Ohrobec	99	80	0
2110	539503	1	3	901	7	Milena	Veselá	F			53	manažerka	Ohrobec	99	80	0
2110	539503	1	3	901	8	Tomáš	Maruniak	M	Ing.		42	manažer zákaznických služeb	Ohrobec	99	80	0
2110	539503	1	3	901	9	Šárka	Jechová	F	Ing.		28	mateřská dovolená	Ohrobec	99	80	0
2110	539503	1	4	903	1	Josef	Blecha	M			54	podnikatel	Ohrobec	99	80	0
2110	539503	1	4	903	2	Pavel	Makovský	M	Mgr.		32	ekonom	Ohrobec	99	80	0
2110	539503	1	4	903	3	Marie	Slavíčková	F			42	podnikatelka	Ohrobec	99	80	0
2110	539503	1	4	903	4	František	Hatle	M			33	kuchař	Ohrobec	99	80	0
2110	539503	1	4	903	5	Petr	Kauble	M			37	podnikatel	Ohrobec	99	80	0
