OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
1199	547379	1	1	7	1	Josef	Tipta			54	podnikatel	Praha-Dolní Měcholupy	7	7	0	M
1199	547379	1	2	53	1	Karel	Hagel	Ing.		55	starosta	Praha-Dolní Měcholupy	53	53	0	M
1199	547379	1	1	7	2	Dana	Rubešová			52	podnikatelka	Praha-Dolní Měcholupy	7	7	0	F
1199	547379	1	2	53	2	Jiří	Voříšek			43	hasič	Praha-Dolní Měcholupy	99	53	0	M
1199	547379	1	1	7	3	Michaela	Kozlová	JUDr.		31	právník	Praha-Dolní Měcholupy	7	7	0	F
1199	547379	1	2	53	3	Radek	Procházka	Ing.		35	technik	Praha-Dolní Měcholupy	99	53	0	M
1199	547379	1	1	7	4	Vlastimil	Průcha			75	důchodce	Praha-Dolní Měcholupy	7	7	0	M
1199	547379	1	2	53	4	Karel	Attl			62	důchodce	Praha-Dolní Měcholupy	53	53	0	M
1199	547379	1	1	7	5	Jana	Straková			32	přepravní manipulant	Praha-Dolní Měcholupy	7	7	0	F
1199	547379	1	2	53	5	Michal	Kohout			32	prodejce	Praha-Dolní Měcholupy	99	53	0	M
1199	547379	1	1	7	6	Josef	Trefný			49	sklenář	Praha-Dolní Měcholupy	7	7	0	M
1199	547379	1	2	53	6	Markéta	Zimová	Mgr.		46	pedagog	Praha-Dolní Měcholupy	53	53	0	F
1199	547379	1	1	7	7	Michaela	Vrkočová			32	bezpečnostní stevard	Praha-Dolní Měcholupy	7	7	0	F
1199	547379	1	2	53	7	Petr	Krotil			39	soukromý podnikatel	Praha-Dolní Měcholupy	99	53	0	M
1199	547379	1	1	7	8	Vladimír	Toman			32	řidič	Praha-Dolní Měcholupy	7	7	0	M
1199	547379	1	2	53	8	Jiří	Frolík			43	soukromý podnikatel	Praha-Dolní Měcholupy	99	53	0	M
1199	547379	1	1	7	9	Jiřina	Habrnálová	RNDr.		59	středoškolská profesorka	Praha-Dolní Měcholupy	7	7	0	F
1199	547379	1	2	53	9	Vlasta	Blažková			34	v domácnosti	Praha-Dolní Měcholupy	99	53	0	F
