OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7103	589292	1	1	7	1	Jan	Jančí	M			36	auditor prodeje	Bohuslavice	7	7	0
7103	589292	1	1	7	2	Pavel	Muzikant	M			41	řidič-opravář	Bohuslavice	99	7	0
7103	589292	1	1	7	3	Martin	Šišma	M			33	referent prodeje	Bohuslavice	99	7	0
7103	589292	1	1	7	4	Gabriela	Štěpáníková	F	Ing.		34	laborantka	Bohuslavice	99	7	0
7103	589292	1	1	7	5	Petr	Páleník	M			55	stavební technik	Bohuslavice	99	7	0
7103	589292	1	1	7	6	Ivo	Stražický	M			49	zaměstnanec obecního úřadu	Bohuslavice	99	7	0
7103	589292	1	1	7	7	Ludmila	Vlková	F			57	ekonomka	Bohuslavice	99	7	0
7103	589292	1	2	901	1	Miroslav	Pluháček	M	Ing.		50	úředník	Bohuslavice	99	80	0
7103	589292	1	2	901	2	Jiří	Mikulka	M			55	dělník	Bohuslavice	99	80	0
7103	589292	1	2	901	3	Hana	Kišacová	F	Mgr.		37	učitelka	Bohuslavice	99	80	0
7103	589292	1	2	901	4	Božena	Mikmeková	F			51	pokladní	Bohuslavice	99	80	0
7103	589292	1	2	901	5	Marcel	Chytil	M			43	instalatér	Bohuslavice	99	80	0
7103	589292	1	2	901	6	Miloslav	Poledník	M			46	elektrikář	Bohuslavice	99	80	0
7103	589292	1	2	901	7	Jiří	Veselý	M			50	stavební technik	Bohuslavice	99	80	0
7103	589292	1	2	901	8	Eva	Dokoupilová	F			35	grafička	Bohuslavice	99	80	0
7103	589292	1	2	901	9	Zdeněk	Šulc	M			30	řidič	Bohuslavice	99	80	0
7103	589292	1	3	1	1	František	Jedlička	M			62	důchodce	Bohuslavice	1	1	0
7103	589292	1	3	1	2	Zdeňka	Spurná	F			50	účetní	Bohuslavice	99	1	0
7103	589292	1	3	1	3	Marie	Bořilová	F			53	technik	Bohuslavice	99	1	0
7103	589292	1	3	1	4	Ludmila	Faltýnková	F			50	adminis.pracovník České pošty	Bohuslavice	99	1	0
7103	589292	1	3	1	5	Dagmar	Špačková	F			32	pracovník České pojišťovny	Bohuslavice	99	1	0
7103	589292	1	3	1	6	Marie	Skopalová	F			61	důchodce	Bohuslavice	99	1	0
7103	589292	1	3	1	7	Stanislav	Mikmek	M			52	malíř	Bohuslavice	99	1	0
