OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7103	589322	1	1	7	1	Iva	Pluhařová			40	matrikářka	Brodek u Prostějova	7	7	0	F
7103	589322	1	2	901	1	Antonín	Crhonek			66	starosta obce	Brodek u Prostějova	7	80	0	M
7103	589322	1	3	47	1	Ivan	Troneček	JUDr.		56	právník	Brodek u Prostějova	47	47	0	M
7103	589322	1	4	902	1	Ladislav	Hejdušek			35	vrtař	Brodek u Prostějova	99	80	0	M
7103	589322	1	5	53	1	Michal	Krejčí			22	referent hospodářské správy	Brodek u Prostějova	53	53	0	M
7103	589322	1	6	1	1	František	Hynek	Ing.		41	technik	Brodek u Prostějova	99	1	0	M
7103	589322	1	1	7	2	Marcel	Žák			43	technik	Brodek u Prostějova	7	7	0	M
7103	589322	1	2	901	2	Miroslav	Kovář			60	místostarosta obce	Brodek u Prostějova	99	80	0	M
7103	589322	1	3	47	2	Vladimíra	Koudelková			37	dělnice	Brodek u Prostějova	99	47	0	F
7103	589322	1	4	902	2	Josef	Gregor			54	podnikatel	Brodek u Prostějova	99	80	0	M
7103	589322	1	5	53	2	Jiří	Klobouk	Ing.		39	podnikatel	Brodek u Prostějova	53	53	0	M
7103	589322	1	6	1	2	Hana	Oulehlová			45	prodavačka	Brodek u Prostějova	99	1	0	F
7103	589322	1	1	7	3	Pavel	Švarc	Mgr.		33	advokát	Brodek u Prostějova	99	7	0	M
7103	589322	1	2	901	3	Vladislav	Hanslík			52	podnikatel	Sněhotice	99	80	0	M
7103	589322	1	3	47	3	Oldřich	Koudelka			41	podnikatel	Brodek u Prostějova	99	47	0	M
7103	589322	1	4	902	3	Eva	Oulehlová	Mgr.		48	ředitelka ZŠ	Brodek u Prostějova	99	80	0	F
7103	589322	1	5	53	3	Miroslav	Peřina			39	dělník	Brodek u Prostějova	53	53	0	M
7103	589322	1	6	1	3	Miroslav	Pospíšil			46	instalatér	Brodek u Prostějova	1	1	0	M
7103	589322	1	1	7	4	Václav	Zbořil			57	technik	Brodek u Prostějova	7	7	0	M
7103	589322	1	2	901	4	Vojtěch	Vrána			50	podnikatel	Brodek u Prostějova	99	80	0	M
7103	589322	1	3	47	4	Vladimír	Křetínský			58	důchodce	Brodek u Prostějova	99	47	0	M
7103	589322	1	4	902	4	Oldřich	Zelinka			42	řidič	Brodek u Prostějova	99	80	0	M
7103	589322	1	5	53	4	Bohumil	Moudrý	Ing.		58	podnikatel	Brodek u Prostějova	53	53	0	M
7103	589322	1	6	1	4	Petr	Piňos			44	instalatér	Brodek u Prostějova	99	1	0	M
7103	589322	1	1	7	5	Rudolf	Šlajs	Ing.		63	podnikatel	Brodek u Prostějova	99	7	0	M
7103	589322	1	2	901	5	Zdeňka	Piňosová	Mgr.		41	ředitelka MŠ	Brodek u Prostějova	99	80	0	F
7103	589322	1	3	47	5	Jaroslav	Topor			55	důchodce	Brodek u Prostějova	99	47	0	M
7103	589322	1	4	902	5	Roman	Grulich			41	agronom	Brodek u Prostějova	99	80	0	M
7103	589322	1	5	53	5	Zdeněk	Bernatík			46	živnostník	Brodek u Prostějova	53	53	0	M
7103	589322	1	6	1	5	Julie	Kovaříková			59	důchodkyně	Brodek u Prostějova	1	1	0	F
7103	589322	1	1	7	6	Milan	Jiříček			60	důchodce	Brodek u Prostějova	7	7	0	M
7103	589322	1	2	901	6	Jaroslav	Kolařík			53	mechanik	Sněhotice	99	80	0	M
7103	589322	1	3	47	6	Miroslav	Blumenstein			56	důchodce	Brodek u Prostějova	99	47	0	M
7103	589322	1	4	902	6	Dana	Bernatíková			45	OSVČ	Brodek u Prostějova	99	80	0	F
7103	589322	1	5	53	6	Dušan	Pokorný			31	živnostník	Brodek u Prostějova	53	53	0	M
7103	589322	1	6	1	6	Leoš	Loníček			31	stolař	Brodek u Prostějova	99	1	0	M
7103	589322	1	1	7	7	Pavel	Pospíšil			27	strojník	Brodek u Prostějova	7	7	0	M
7103	589322	1	2	901	7	Jan	Srostlík	Ing.		60	podnikatel	Brodek u Prostějova	99	80	0	M
7103	589322	1	3	47	7	Zdeněk	Pazdera			73	důchodce	Brodek u Prostějova	99	47	0	M
7103	589322	1	4	902	7	Monika	Vaňková			37	dělnice	Brodek u Prostějova	99	80	0	F
7103	589322	1	5	53	7	Jan	Pastorek			56	podnikatel	Brodek u Prostějova	53	53	0	M
7103	589322	1	6	1	7	Petr	Vaněk			40	soustružník	Brodek u Prostějova	1	1	0	M
