OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
2112	541699	1	1	355	1	Jaroslav	Kondelík	Ing.		54	starosta, soukr.zemědělec	Čistá	99	80	0	M
2112	541699	1	2	901	1	Jiří	Smetana	Ing.		47	agronom	Čistá	99	80	0	M
2112	541699	1	1	355	2	Zdeněk	Kunc			54	elektrikář	Čistá	99	80	0	M
2112	541699	1	2	901	2	Josef	Nový			50	soukrom.podnikatel	Zdeslav	99	80	0	M
2112	541699	1	1	355	3	Zdeněk	Matějů			49	podnikatel	Čistá	99	80	0	M
2112	541699	1	2	901	3	Jiří	Votroubek			30	manažer leasingu	Čistá	99	80	0	M
2112	541699	1	1	355	4	Ivan	Škrle	Ing.		63	důchodce	Čistá	99	80	0	M
2112	541699	1	2	901	4	Tomáš	Vopata			26	mistr výroby	Čistá	99	80	0	M
2112	541699	1	1	355	5	Kateřina	Lauberová	Mgr.		32	učitelka	Čistá	99	80	0	F
2112	541699	1	2	901	5	Karel	Beneš			40	soukrom. podnikatel	Čistá	99	80	0	M
2112	541699	1	1	355	6	Petr	Bičovský			35	podnikatel	Čistá	99	80	0	M
2112	541699	1	2	901	6	Danuše	Vopatová			47	důchodce	Čistá	99	80	0	F
2112	541699	1	1	355	7	Antonín	Hurt	Ing.		50	učitel	Čistá	99	80	0	M
2112	541699	1	2	901	7	Karel	Štětina			53	soukrom. podnikatel	Čistá	47	80	0	M
2112	541699	1	1	355	8	Ladislav	Koky			47	vedoucí poštovního úřadu	Čistá	99	80	0	M
2112	541699	1	2	901	8	Jana	Daenemarková			69	důchodce	Čistá	99	80	0	F
2112	541699	1	1	355	9	Pavel	Mareček			32	podnikatel	Čistá	99	80	0	M
2112	541699	1	2	901	9	Libuše	Suchá			48	zdravotní sestra	Čistá	47	80	0	F
2112	541699	1	1	355	10	Jaromír	Altera			50	podnikatel	Zdeslav	99	80	0	M
2112	541699	1	2	901	10	Emanuel	Zlechovec			57	soukrom. podnikatel	Čistá	99	80	0	M
2112	541699	1	1	355	11	Jan	Tajbl			46	soukr.zemědělec	Čistá	99	80	0	M
2112	541699	1	2	901	11	Zdeněk	Bouda			47	učitel	Čistá	99	80	0	M
2112	541699	1	1	355	12	Daniel	Váhala	Mgr.		31	pastorační asistent	Čistá	99	80	0	M
2112	541699	1	2	901	12	Jiří	Votroubek			50	řidič	Čistá	99	80	0	M
2112	541699	1	1	355	13	Marie	Stanislavová			61	důchodce	Čistá	1	1	0	F
2112	541699	1	2	901	13	Petr	Čech			56	údržbář	Čistá	47	80	0	M
