OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2112	541834	1	1	53	1	Roman	Valuš	M	Ing.		33	stavbyvedoucí	Jesenice	99	53	0
2112	541834	1	1	53	2	Hana	Štefánková	F			56	podnikatelka	Jesenice	53	53	0
2112	541834	1	1	53	3	Miroslav	Worofka	M			44	prodavač	Jesenice	53	53	0
2112	541834	1	1	53	4	Jiří	Šafránek	M			48	technik	Jesenice	53	53	0
2112	541834	1	1	53	5	Zdeněk	Jícha	M			56	ředitel společnosti	Jesenice	99	53	0
2112	541834	1	1	53	6	Petr	Špilar	M			31	živnostník	Jesenice	53	53	0
2112	541834	1	1	53	7	Jana	Pacourková	F			40	pojišťovací agent	Jesenice	99	53	0
2112	541834	1	1	53	8	Vladislav	Louda	M			59	podnikatel	Jesenice	53	53	0
2112	541834	1	1	53	9	Martin	Bidrman	M			23	řidič	Jesenice	99	53	0
2112	541834	1	1	53	10	Eva	Tomková	F	Mgr.		44	učitelka	Jesenice	99	53	0
2112	541834	1	1	53	11	Miroslava	Břinková	F	MUDr.		51	zubní lékařka	Jesenice	99	53	0
2112	541834	1	1	53	12	Marie	Kadlecová	F			27	prodavačka	Jesenice	99	53	0
2112	541834	1	1	53	13	Anna	Kuchařová	F	Mgr.		57	ředitelka školy	Jesenice	99	53	0
2112	541834	1	1	53	14	Jaromír	Tůma	M			42	podnikatel	Jesenice	53	53	0
2112	541834	1	1	53	15	Milan	Ondič	M			43	dělník	Jesenice	99	53	0
2112	541834	1	2	5	1	Hana	Urbanová	F	Ing.		43	podnikatelka	Jesenice	99	5	0
2112	541834	1	2	5	2	Ivana	Landovská	F			39	podnikatelka	Jesenice	99	5	0
2112	541834	1	2	5	3	Jindřich	Saniga	M			66	důchodce	Jesenice	99	5	0
2112	541834	1	2	5	4	Daniela	Hlaváčková	F			57	učitelka	Jesenice	99	5	0
2112	541834	1	2	5	5	Jaroslav	Novák	M			21	student	Jesenice	99	5	0
2112	541834	1	2	5	6	František	Šmíd	M			60	podnikatel	Jesenice	99	5	0
2112	541834	1	2	5	7	Kateřina	Hourová	F			19	studentka	Jesenice	99	5	0
2112	541834	1	2	5	8	Martin	Pikeš	M			22	student	Jesenice	99	5	0
2112	541834	1	2	5	9	Vlasta	Hourová	F			56	vedoucí vychovatelka	Jesenice	99	5	0
2112	541834	1	2	5	10	Jindřich	Jiroušek	M	Ing.		40	státní zaměstnanec	Jesenice	99	5	0
2112	541834	1	2	5	11	Alena	Mondříková	F	Mgr.		61	učitelka	Jesenice	99	5	0
2112	541834	1	2	5	12	Jindřich	Čermák	M			30	podnikatel	Jesenice	99	5	0
2112	541834	1	2	5	13	Hana	Hájková	F			65	důchodkyně	Jesenice	99	5	0
2112	541834	1	2	5	14	Monika	Landovská	F			18	studentka	Jesenice	99	5	0
2112	541834	1	2	5	15	Eva	Břicháčová	F			31	v domácnosti	Jesenice	99	5	0
2112	541834	1	3	7	1	Petr	Sunkovský	M	Ing.		41	starosta	Jesenice	7	7	0
2112	541834	1	3	7	2	Danuše	Vopatová	F	Mgr.		50	ředitelka ZŠ a MŠ Jesenice	Jesenice	99	7	0
2112	541834	1	3	7	3	Taťána	Čížková	F			33	obchodní administrátor	Jesenice	7	7	0
2112	541834	1	3	7	4	Hana	Vanická	F			41	zástupce ředitelky ZŠ a MŠ	Jesenice	99	7	0
2112	541834	1	3	7	5	Zdeněk	Cink	M			29	servisní technik	Jesenice	99	7	0
2112	541834	1	3	7	6	Eva	Benešová	F			42	lékárenský pracovník	Chotěšov	99	7	0
2112	541834	1	3	7	7	Bohumil	Vodrážka	M			35	technik	Jesenice	99	7	0
2112	541834	1	3	7	8	Jiří	Krásnický	M	Ing.		31	ekonom	Jesenice	99	7	0
2112	541834	1	3	7	9	Petr	Koníř	M	Mgr.		32	zástupce ředitelky ZŠ a MŠ	Jesenice	99	7	0
2112	541834	1	3	7	10	Jaroslava	Tůmová	F			53	podnikatelka	Jesenice	99	7	0
2112	541834	1	3	7	11	Jan	Karban	M			41	seřizovač	Jesenice	99	7	0
2112	541834	1	3	7	12	Jarmila	Zahrádková	F	Ing.		71	technik	Jesenice	99	7	0
2112	541834	1	3	7	13	Alois	Vršecký	M			72	důchodce	Jesenice	99	7	0
2112	541834	1	3	7	14	Vlastimila	Knappová	F	Mgr.		46	učitelka	Jesenice	99	7	0
2112	541834	1	3	7	15	Ladislav	Šnobr	M			65	mistr odborného výcviku	Jesenice	99	7	0
2112	541834	1	4	47	1	Světlana	Balounová	F			42	vedoucí čerpací stanice	Jesenice	99	47	0
2112	541834	1	4	47	2	Miloslav	Vyleta	M			71	důchodce	Jesenice	99	47	0
2112	541834	1	4	47	3	Xenie	Vostrá	F	Ing.		60	státní zaměstnanec	Jesenice	99	47	0
2112	541834	1	4	47	4	Pavel	Šrédl	M			53	hajný	Jesenice	47	47	0
2112	541834	1	4	47	5	Stanislav	Lisner	M	Ing.		61	řidič firmy	Jesenice	47	47	0
2112	541834	1	4	47	6	Vlastislav	Mach	M			44	soukromý zemědělec	Jesenice	99	47	0
2112	541834	1	4	47	7	Václav	Cír	M			54	prodavač	Jesenice	47	47	0
2112	541834	1	4	47	8	Kamila	Sárová	F			40	dělnice	Jesenice	47	47	0
2112	541834	1	4	47	9	Vladimír	Makovský	M			65	důchodce	Jesenice	47	47	0
2112	541834	1	4	47	10	Ivana	Hrubá	F			42	manažerka firmy	Jesenice	99	47	0
2112	541834	1	4	47	11	Dana	Procházková	F			54	dělnice	Jesenice	47	47	0
2112	541834	1	4	47	12	Miroslava	Synková	F			42	zdravotní sestra	Jesenice	99	47	0
2112	541834	1	4	47	13	Gabriel	Nistor	M			54	dělník	Chotěšov	47	47	0
2112	541834	1	4	47	14	Jiřina	Maidlová	F			63	důchodce	Jesenice	47	47	0
2112	541834	1	4	47	15	Václav	Procházka	M			59	důchodce	Jesenice	47	47	0
