OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2112	542601	1	1	53	1	Bohumír	Jankovský	M	Ing.		53	soukromý podnikatel	Zavidov	53	53	0
2112	542601	1	1	53	2	Václav	Rajgl	M			55	soukromý podnikatel	Zavidov	99	53	0
2112	542601	1	1	53	3	Libor	Šíma	M			25	učitel	Zavidov	99	53	0
2112	542601	1	1	53	4	Rudolf	Liprt	M			68	důchodce	Zavidov	99	53	0
2112	542601	1	1	53	5	Zdeněk	Kovács	M			43	údržbář	Zavidov	99	53	0
2112	542601	1	1	53	6	Zlata	Otavová	F			48	obchodní zástupce	Zavidov	99	53	0
2112	542601	1	1	53	7	Oldřich	Lopour	M			54	kontrolor	Zavidov	99	53	0
2112	542601	1	1	53	8	Josef	Štiller	M			47	soukromý podnikatel	Zavidov	99	53	0
2112	542601	1	1	53	9	Jiří	Plincner	M			50	soukromý podnikatel	Zavidov	99	53	0
2112	542601	1	2	901	1	David	Bretšnajdr	M			27	elektrotechnik	Zavidov	99	80	0
2112	542601	1	2	901	2	Josef	Šantora	M			45	skladník	Zavidov	99	80	0
2112	542601	1	2	901	3	Miloš	Paul	M			33	mistr výroby	Zavidov	99	80	0
2112	542601	1	2	901	4	Pavel	Šperk	M			46	řidič z povolání	Zavidov	99	80	0
2112	542601	1	2	901	5	František	Vecka	M			45	obráběč kovů	Zavidov	99	80	0
2112	542601	1	2	901	6	Jaroslav	Lazar	M			46	úředník	Zavidov	99	80	0
2112	542601	1	2	901	7	Jaroslava	Burešová	F			49	částeč.invalidní důchodce	Zavidov	99	80	0
