OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3206	559822	1	1	47	1	Jiří	Branka	M	RSDr.		63	důchodce	Nová Huť	47	47	0
3206	559822	1	1	47	2	Zdeněk	Vainar	M			63	důchodce	Nová Huť	47	47	0
3206	559822	1	1	47	3	Jitka	Hejlová	F			43	účetní	Hrádek	99	47	0
3206	559822	1	1	47	4	Josef	Hůza	M	Bc.		33	úředník	Nová Huť	99	47	0
3206	559822	1	1	47	5	Pavel	Koželoušek	M			44	dělník	Nová Huť	47	47	0
3206	559822	1	1	47	6	Eva	Vágnerová	F			38	referentka	Nová Huť	99	47	0
3206	559822	1	1	47	7	Miroslav	Veselý	M			55	stavbyvedoucí	Nová Huť	47	47	0
3206	559822	1	1	47	8	Josef	Janečka	M			60	podnikatel	Hrádek	47	47	0
3206	559822	1	1	47	9	Josef	Matoušek	M	Ing.		60	technik	Hrádek	47	47	0
3206	559822	1	1	47	10	Drahoslava	Pacheková	F			57	dělnice	Nová Huť	47	47	0
3206	559822	1	1	47	11	Václav	Hartl	M			60	dělník	Nová Huť	47	47	0
3206	559822	1	1	47	12	Július	Milovský	M	Ing.		67	důchodce	Nová Huť	47	47	0
3206	559822	1	1	47	13	Jan	Kroc	M			64	důchodce	Nová Huť	99	47	0
3206	559822	1	1	47	14	Miroslava	Uxová	F			62	důchodce	Nová Huť	47	47	0
3206	559822	1	1	47	15	Václav	Och	M			57	dělník	Nová Huť	47	47	0
3206	559822	1	2	1	1	Jaroslav	Malík	M	PhDr.		70	učitel-důchodce	Nová Huť	99	1	0
3206	559822	1	3	7	1	Iveta	Kostovová	F	Mgr.		35	učitelka	Nová Huť	99	7	0
3206	559822	1	3	7	2	Marcela	Krákorová	F	Ing.		63	ekonomka	Hrádek	7	7	0
3206	559822	1	3	7	3	Dagmar	Fišerová	F	Mgr.		53	učitelka	Hrádek	99	7	0
3206	559822	1	3	7	4	Zdeněk	Havelka	M			45	směnový mistr	Hrádek	99	7	0
3206	559822	1	3	7	5	Dana	Kotyzová	F	Ing.		41	stavební inženýrka	Hrádek	99	7	0
3206	559822	1	3	7	6	Miloslava	Dirstová	F	Mgr.		66	učitelka	Nová Huť	99	7	0
3206	559822	1	3	7	7	Štěpánka	Šrailová	F			30	kuchařka	Nová Huť	99	7	0
3206	559822	1	3	7	8	Vlasta	Joudová	F	MUDr.		68	lékařka	Nová Huť	99	7	0
3206	559822	1	3	7	9	Klára	Svobodová	F			30	úřednice	Nová Huť	99	7	0
3206	559822	1	3	7	10	Vladimíra	Monhartová	F			30	kadeřnice	Nová Huť	99	7	0
3206	559822	1	3	7	11	Miroslava	Hloucalová	F			36	prodavačka	Nová Huť	99	7	0
3206	559822	1	3	7	12	Andrea	Krákorová	F			33	úřednice	Hrádek	99	7	0
3206	559822	1	3	7	13	Václav	Karkoš	M			67	důchoce	Hrádek	7	7	0
3206	559822	1	3	7	14	Danuše	Krejsová	F			52	prodavačka	Nová Huť	7	7	0
3206	559822	1	3	7	15	Kamila	Kadrlová	F			64	důchodkyně	Nová Huť	99	7	0
3206	559822	1	4	53	1	Jaroslav	Perlík	M			61	starosta	Nová Huť	53	53	0
3206	559822	1	4	53	2	Anna	Valešová	F	Ing.		47	ředitelka ZŠ	Nová Huť	99	53	0
3206	559822	1	4	53	3	Marcela	Sobotková	F	Mgr.		44	učitelka	Nová Huť	99	53	0
3206	559822	1	4	53	4	Nina	Najdenovová	F			23	projektantka	Nová HuŤ	53	53	0
3206	559822	1	4	53	5	Bořek	Hanzlík	M	Mgr.		35	učitel	Hrádek	99	53	0
3206	559822	1	4	53	6	Hanuš	Audes	M	Ing.		42	technik	Hrádek	99	53	0
3206	559822	1	4	53	7	Květa	Hrušková	F			32	zdravotní sestra	Hrádek	99	53	0
3206	559822	1	4	53	8	František	Babický	M	Ing.		47	podnikatel	Hrádek	99	53	0
3206	559822	1	4	53	9	Zdeněk	Špetka	M	Mgr.		29	učitel	Hrádek	99	53	0
3206	559822	1	4	53	10	Jiří	Novák	M			44	dělník	Nová Huť	99	53	0
3206	559822	1	4	53	11	Milan	Polomský	M			39	technik	Nová Huť	99	53	0
3206	559822	1	4	53	12	Jan	Morochovič	M			38	hasič	Nová Huť	99	53	0
3206	559822	1	4	53	13	Petr	Rousek	M			54	technik	Hrádek	99	53	0
3206	559822	1	4	53	14	Alexandr	Stojčev	M			56	podnikatel	Nová Huť	99	53	0
3206	559822	1	4	53	15	Hana	Kabourková	F			63	důchodkyně	Nová Huť	53	53	0
3206	559822	1	5	449	1	Václav	Šístek	M	Ing.		34	podnikatel	Hrádek	99	80	0
3206	559822	1	5	449	2	Vladimír	Vitner	M			66	důchodce	Nová Huť	99	80	0
3206	559822	1	5	449	3	Karel	Trhlík	M			61	podnikatel	Hrádek	99	80	0
3206	559822	1	5	449	4	Vlasta	Vasková	F			51	vedoucí ŠJ ZŠ	Nová Huť	99	80	0
3206	559822	1	5	449	5	Jaroslav	Pour	M			52	dělník	Nová Huť	99	80	0
3206	559822	1	5	449	6	Bohumil	Kokojan	M			57	dělník	Nová Huť	99	80	0
3206	559822	1	5	449	7	Irena	Červenková	F			49	zdravotní sestra	Nová Huť	99	80	0
3206	559822	1	5	449	8	Václav	Bufka	M			33	dělník	Nová Huť	99	80	0
3206	559822	1	5	449	9	Vladimír	Drabina	M	Ing.		48	ekonom	Nová Huť	99	80	0
3206	559822	1	5	449	10	Ivana	Aisnerová	F			44	manažer pobočky	Nová Huť	99	80	0
3206	559822	1	5	449	11	Jitka	Hanzlíková	F	Ing.		62	důchodkyně	Hrádek	99	80	0
3206	559822	1	5	449	12	Václav	Chmelenský	M			61	důchodce	Hrádek	99	80	0
3206	559822	1	5	449	13	Vlastimil	Egermajer	M			61	dělník	Hrádek	99	80	0
3206	559822	1	5	449	14	Jiří	Vrátný	M	Ing.		27	nezaměstnaný	Nová Huť	129	129	0
3206	559822	1	5	449	15	Jiří	Matějka	M			45	dělník	Hrádek	99	80	0
