OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
4103	560472	1	1	129	1	Bohdan	Havel	Bc.		43	úředník	Kraslice	99	129	0	M
4103	560472	1	2	407	1	Štěpán	Cimerman	JUDr.		62	důchodce	Kraslice	99	103	0	M
4103	560472	1	3	47	1	Jaroslav	Souhrada	Ing.		46	technik	Kraslice	99	47	0	M
4103	560472	1	4	171	1	Milada	Gottfriedová			39	porodní asistentka	Kraslice	99	171	0	F
4103	560472	1	5	88	1	Ivan	Reichelt	Ing.		55	soukromý podnikatel	Kraslice	99	88	0	M
4103	560472	1	6	113	1	František	Stůj			55	ředitel zákl. umělecké školy	Kraslice	99	113	0	M
4103	560472	1	7	7	1	Hana	Dolanská			47	dětská sestra	Kraslice	7	7	0	F
4103	560472	1	8	450	1	Zdeněk	Brantl	Ing.		56	ředitel střední skoly	Kraslice	99	80	0	M
4103	560472	1	9	142	1	Tadeáš	Surový			38	podnikatel	Kraslice	99	142	0	M
4103	560472	1	10	165	1	František	Hejl			48	soukromý podnikatel	Kraslice	99	165	0	M
4103	560472	1	11	55	1	Roman	Kotilínek			35	úředník	Kraslice	99	55	0	M
4103	560472	1	12	53	1	Lubomír	Zach			56	starosta	Kraslice	53	53	0	M
4103	560472	1	1	129	2	Eva	Pecharová			63	důchodkyně	Kraslice	99	129	0	F
4103	560472	1	2	407	2	Monika	Bartošová	Mgr.		38	učitelka ZŠ	Kraslice	99	80	0	F
4103	560472	1	3	47	2	Leopold	Bernard			73	důchodce	Kraslice	47	47	0	M
4103	560472	1	4	171	2	Lucie	Havlová			40	vedoucí prodejny	Kraslice	99	171	0	F
4103	560472	1	5	88	2	Pavel	Tišer			33	zámečník	Kraslice	99	88	0	M
4103	560472	1	6	113	2	Václav	Tomášek	Mgr.		55	ředitel domu dětí a mládeže	Kraslice	99	113	0	M
4103	560472	1	7	7	2	Petr	Sivák			46	podnikatel	Kraslice	99	7	0	M
4103	560472	1	8	450	2	Pavlína	Poledňáková	Mgr.		37	učitelka základní školy	Kraslice	99	80	0	F
4103	560472	1	9	142	2	Ilona	Kafková			34	administrativní pracovnice	Kraslice	99	142	0	F
4103	560472	1	10	165	2	Horst	Dietz	Ing.		66	důchodce	Kraslice	99	165	0	M
4103	560472	1	11	55	2	Adam	Kopejtko			29	referent odbytu	Zelená Hora	99	55	0	M
4103	560472	1	12	53	2	Jiří	Hrách			55	podnikatel	Kraslice	53	53	0	M
4103	560472	1	1	129	3	Jan	Zmrzlý			47	podnikatel	Kraslice	99	129	0	M
4103	560472	1	2	407	3	František	Vlček	MUDr.		56	lékař	Kraslice	99	80	0	M
4103	560472	1	3	47	3	Libor	Kolín			45	úpravář	Kraslice	99	47	0	M
4103	560472	1	4	171	3	Jaroslava	Krýzlová			51	prodavačka	Kraslice	99	171	0	F
4103	560472	1	5	88	3	Tomáš	Reichelt	Mgr.		27	právník	Kraslice	99	88	0	M
4103	560472	1	6	113	3	Adolf	Kubinec			61	podnikatel	Kraslice	99	113	0	M
4103	560472	1	7	7	3	Pavel	Vildumetz			38	podnikatel	Kraslice	99	7	0	M
4103	560472	1	8	450	3	Jiří	Klvač			53	soc. pracovník Armády spásy	Kraslice	99	138	0	M
4103	560472	1	9	142	3	Jiří	Peška			61	důchodce	Kraslice	99	142	0	M
4103	560472	1	10	165	3	Zdeněk	Laube			56	soukromý podnikatel	Kraslice	99	165	0	M
4103	560472	1	11	55	3	Alexandr	Tučák			42	podnikatel	Kraslice	99	55	0	M
4103	560472	1	12	53	3	Zdena	Švarcová	MUDr.		51	lékařka	Kraslice	99	53	0	F
4103	560472	1	1	129	4	Zdeňka	Hanušová			64	důchodkyně	Kraslice	99	129	0	F
4103	560472	1	2	407	4	Josef	Levý			54	hudební nástrojař	Kraslice	99	80	0	M
