OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7105	540650	1	1	901	1	Václav	Smrčka			52	vedoucí výrobního úseku	Bukovice	99	80	0	M
7105	540650	1	2	1	1	František	Kubíček			56	starosta obce	Písařov	1	1	0	M
7105	540650	1	3	47	1	Luděk	Lang			44	automechanik	Písařov	47	47	0	M
7105	540650	1	1	901	2	Bořivoj	David	Ing.		35	vedoucí provozovny	Písařov	99	80	0	M
7105	540650	1	2	1	2	Jiří	Pavlas	Mgr.		24	doktorand na VŠ	Písařov	1	1	0	M
7105	540650	1	3	47	2	Bořivoj	David			58	řidič autobusu	Písařov	47	47	0	M
7105	540650	1	1	901	3	Ivo	Valenta	Ing.		43	lesní správce	Písařov	99	80	0	M
7105	540650	1	2	1	3	Ladislav	Drážný	Ing.		47	učitel	Písařov	99	1	0	M
7105	540650	1	3	47	3	František	Valenta			67	důchodce	Písařov	47	47	0	M
7105	540650	1	1	901	4	Marcela	Winklerová		DiS.	30	účetní	Písařov	99	80	0	F
7105	540650	1	2	1	4	František	Tempír			62	technik	Písařov	99	1	0	M
7105	540650	1	3	47	4	Zdeněk	David			48	skladník	Písařov	47	47	0	M
7105	540650	1	1	901	5	Zdeněk	Slouka			49	dělník	Písařov	99	80	0	M
7105	540650	1	2	1	5	Alena	Hlásná			44	vrchní sestra	Písařov	1	1	0	F
7105	540650	1	3	47	5	Milan	Janků			45	podnikatel	Písařov	99	47	0	M
7105	540650	1	1	901	6	Josef	Vyhňák			46	údržbář elektro	Bukovice	99	80	0	M
7105	540650	1	2	1	6	Helena	Sedláčková			58	důchodkyně	Písařov	1	1	0	F
7105	540650	1	3	47	6	Jaroslav	Tempír			55	dělník	Písařov	47	47	0	M
7105	540650	1	1	901	7	Jiří	Bouška			52	údržbář elektro	Bukovice	99	80	0	M
7105	540650	1	2	1	7	Jarmil	Kubíček			34	strojní mechanik	Písařov	1	1	0	M
7105	540650	1	3	47	7	Rudolf	Škrobánek			63	důchodce	Písařov	47	47	0	M
7105	540650	1	1	901	8	Jan	Krobot			59	důchodce	Písařov	99	80	0	M
7105	540650	1	2	1	8	Alena	Pavlasová			45	sanitářka	Písařov	1	1	0	F
7105	540650	1	3	47	8	Rostislav	Brauner			58	údržbář	Písařov	47	47	0	M
7105	540650	1	1	901	9	Stanislava	Vícencová			40	účetní	Písařov	99	80	0	F
7105	540650	1	2	1	9	Božena	Krobotová			32	sanitářka	Písařov	1	1	0	F
7105	540650	1	3	47	9	Otto	Pávek			41	technik	Písařov	47	47	0	M
