OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5303	577944	1	1	903	1	Bohumil	Pavliš	M			44	starosta	Čistá	1	80	0
5303	577944	1	1	903	2	Blanka	Kmošková	F			54	učitelka MŠ	Čistá	99	80	0
5303	577944	1	1	903	3	Martina	Simonová	F	Mgr.		33	tisková mluvčí Policie ČR	Čistá	99	80	0
5303	577944	1	1	903	4	Jaroslav	Jůza	M			42	stavitel	Čistá	99	80	0
5303	577944	1	1	903	5	Jana	Pekáriková	F	Mgr.		30	středoškolská učitelka	Čistá	99	80	0
5303	577944	1	1	903	6	Pavel	Kuře	M			33	policista ČR	Čistá	99	80	0
5303	577944	1	1	903	7	Alena	Mazůrková	F			46	prodavačka	Čistá	99	80	0
5303	577944	1	1	903	8	Radek	Chleboun	M			33	podnikatel	Čistá	99	80	0
5303	577944	1	1	903	9	Ludmila	Frodlová	F			34	na mateřské dovolené	Čistá	99	80	0
5303	577944	1	1	903	10	Marcela	Franková	F			42	poštovní úřednice	Čistá	99	80	0
5303	577944	1	1	903	11	Miroslav	Janák	M			57	živnostník	Čistá	99	80	0
5303	577944	1	1	903	12	Václav	Lněnička	M			58	živnostník	Čistá	99	80	0
5303	577944	1	2	901	1	Jiří	Stibůrek	M			39	výr. a zpracovatel skl. vlákna	Čistá	99	80	0
5303	577944	1	2	901	2	Petr	Lenoch	M			27	truhlář	Čistá	99	80	0
5303	577944	1	2	901	3	Vlasta	Bartošová	F			32	kuchařka MŠ	Čistá	99	80	0
5303	577944	1	2	901	4	Radek	Zölfl	M			33	strojník, svářeč	Čistá	99	80	0
5303	577944	1	2	901	5	František	Beneš	M			56	podnikatel	Čistá	99	80	0
5303	577944	1	2	901	6	Božena	Boštíková	F			48	účetní	Čistá	99	80	0
5303	577944	1	2	901	7	Josef	Doskočil	M			40	živnostník	Čistá	99	80	0
5303	577944	1	2	901	8	Milena	Kadidlová	F			56	důchodce	Čistá	99	80	0
5303	577944	1	2	901	9	Petr	Čapek	M			37	traktorista	Čistá	99	80	0
5303	577944	1	2	901	10	Jaroslava	Minářová	F			43	dělnice	Čistá	99	80	0
5303	577944	1	2	901	11	Irena	Hanusová	F			43	laborantka	Čistá	99	80	0
5303	577944	1	2	901	12	Josef	Klusoň	M			39	dělník	Čistá	99	80	0
5303	577944	1	2	901	13	Roman	Andrle	M			42	živnostník	Čistá	99	80	0
5303	577944	1	2	901	14	Petr	Kmošek	M			40	chladírenský technik	Čistá	99	80	0
5303	577944	1	2	901	15	Pavel	Doležal	M	Mgr. Ing.		33	právník, ekonom, manažer	Čistá	99	80	0
5303	577944	1	3	904	1	Petr	Zavřel	M	Ing.		36	finanční poradce	Čistá	99	80	0
5303	577944	1	3	904	2	Marcel	Nepraš	M			33	strojník	Čistá	99	80	0
5303	577944	1	3	904	3	Radka	Kleinerová	F			29	mateřská dovolená	Čistá	99	80	0
5303	577944	1	3	904	4	Vladimír	Stibůrek	M			41	servisní technik	Čistá	99	80	0
5303	577944	1	3	904	5	Oldřich	Nepraš	M			36	živnostník	Čistá	99	80	0
5303	577944	1	3	904	6	Zdeněk	Vašina	M			30	zámečník	Čistá	99	80	0
5303	577944	1	3	904	7	Pavel	Kmošek	M			33	skladník - expedice	Čistá	99	80	0
5303	577944	1	3	904	8	Jan	Boštík	M		DiS.	23	montáž a servis	Čistá	99	80	0
5303	577944	1	3	904	9	Josef	Stříteský	M			19	instalatér	Čistá	99	80	0
5303	577944	1	3	904	10	Dušan	Nepraš	M			27	živnostník	Čistá	99	80	0
5303	577944	1	3	904	11	Petr	Dřínovský	M			29	učitel ZŠ	Čistá	99	80	0
5303	577944	1	4	902	1	Jaromír	Hurych	M			34	automechanik	Čistá	99	80	0
5303	577944	1	4	902	2	Radek	Klusoň	M			28	kriminalista Policie ČR	Čistá	99	80	0
5303	577944	1	4	902	3	Marie	Maiwaldová	F			56	účetní	Čistá	1	80	0
5303	577944	1	4	902	4	Petra	Vojáčková	F			23	sekretářka	Čistá	99	80	0
5303	577944	1	4	902	5	František	Beneš	M			27	podnikatel	Čistá	99	80	0
5303	577944	1	4	902	6	Miroslav	Buben	M			30	traktorista	Čistá	99	80	0
5303	577944	1	4	902	7	Josef	Lopaur	M			57	údržbář	Čistá	99	80	0
5303	577944	1	4	902	8	Zdeňka	Kadidlová	F			56	důchodce	Čistá	99	80	0
5303	577944	1	4	902	9	Vladimír	Klusoň	M			40	klempíř	Čistá	99	80	0
5303	577944	1	4	902	10	Radek	Holec	M			29	řidič	Čistá	99	80	0
5303	577944	1	4	902	11	Jakub	Kořízek	M			21	obráběč kovů	Čistá	99	80	0
5303	577944	1	4	902	12	Marcela	Binková	F			32	nezaměstnaná	Čistá	99	80	0
5303	577944	1	4	902	13	Oldřich	Vašina	M			29	podnikatel	Čistá	99	80	0
5303	577944	1	4	902	14	Lenka	Vejrychová	F			29	nezaměstnaná	Čistá	99	80	0
5303	577944	1	4	902	15	Jan	Kaupa	M			62	důchodce	Čistá	99	80	0
