OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3107	552798	1	1	808	1	Josef	Kocura	Ing.		50	technik	Oldřichov	99	80	0	M
3107	552798	1	2	805	1	Pavel	Kobliha			47	automechanik	Oldřichov	99	80	0	M
3107	552798	1	3	809	1	Jiří	Novotný			34	nástrojař	Oldřichov	99	80	0	M
3107	552798	1	4	804	1	Zdeněk	Lhoták			26	klempíř	Oldřichov	99	80	0	M
3107	552798	1	5	810	1	Zdeňka	Mrázková			35	soukromá podnikatelka	Oldřichov	99	80	0	F
3107	552798	1	6	801	1	Jaroslav	Němec			31	traktorista	Oldřichov	99	80	0	M
3107	552798	1	7	806	1	Martin	Prchal			31	řidič	Oldřichov	99	80	0	M
3107	552798	1	8	803	1	Antonie	Plecitá			44	soukromá podnikatelka	Oldřichov	99	80	0	F
3107	552798	1	9	802	1	Jan	Otradovec			26	automechanik	Oldřichov	99	80	0	M
3107	552798	1	10	807	1	Pavel	Lhoták			30	soukromý podnikatel	Oldřichov	99	80	0	M
