OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5205	579238	1	1	901	1	Jiří	Vojtíšek			32	seřizovač	Horní Brusnice	99	80	0	M
5205	579238	1	2	902	1	Petr	Jiřička			55	starosta	Horní Brusnice	99	80	0	M
5205	579238	1	3	801	1	Jan	Vondrouš			30	podnikatel	Horní Brusnice	99	80	0	M
5205	579238	1	4	802	1	Blanka	Novotná			55	dělnice	Horní Brusnice	99	80	0	F
5205	579238	1	1	901	2	Jana	Chovančíková			46	invalidní důchodce	Horní Brusnice	99	80	0	F
5205	579238	1	2	902	2	Stanislav	Pokorný			61	dělník	Horní Brusnice	99	80	0	M
5205	579238	1	1	901	3	Petr	Kotík			47	obchodní zástupce	Horní Brusnice	99	80	0	M
5205	579238	1	2	902	3	Jiří	Štěpán			60	podnikatel	Horní Brusnice	99	80	0	M
5205	579238	1	1	901	4	Jindřich	Matuška			36	Provozní technik	Horní Brusnice	99	80	0	M
5205	579238	1	2	902	4	Václav	Petrtýl	Ing.		49	podnikatel	Horní Brusnice	99	80	0	M
5205	579238	1	1	901	5	Svatopluk	Robek			34	Podnikatel	Horní Brusnice	99	80	0	M
5205	579238	1	2	902	5	Jarmila	Křížková			59	Účetní	Horní Brusnice	99	80	0	F
5205	579238	1	2	902	6	Vladimír	Šturm			60	Tesař	Horní Brusnice	99	80	0	M
5205	579238	1	2	902	7	Václav	Dufek			59	Kuchař	Horní Brusnice	47	80	0	M
5205	579238	1	2	902	8	Naděžda	Gernatová			50	Invalidní důchodce	Horní Brusnice	99	80	0	F
5205	579238	1	2	902	9	Petr	Munzar			61	Důchodce	Horní Brusnice	99	80	0	M
