OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
4207	553697	1	1	129	1	Josef	Maixner	M			33	OSVČ	Trmice	99	129	0
4207	553697	1	1	129	2	Vladimír	Poupal	M			55	úředník	Trmice	99	129	0
4207	553697	1	1	129	3	Petr	Novotný	M	Ing.		47	ředitel	Trmice	1	129	0
4207	553697	1	1	129	4	Ivana	Koudelová	F			40	ředitelka	Trmice	99	129	0
4207	553697	1	1	129	5	Jan	Gottfried	M			56	údržbář	Trmice	99	129	0
4207	553697	1	1	129	6	David	Majerčík	M			35	řidič	Trmice	99	129	0
4207	553697	1	1	129	7	Antonín	Rubáš	M			56	OSVČ	Trmice	99	129	0
4207	553697	1	1	129	8	Vlastimil	Zedník	M			36	technik	Trmice	99	129	0
4207	553697	1	1	129	9	Jan	Valentík	M			54	OSVČ	Trmice	99	129	0
4207	553697	1	1	129	10	Tomáš	Kupec	M			27	OSVČ	Trmice	99	129	0
4207	553697	1	1	129	11	Dalibor	Kiml	M			54	OSVČ	Trmice	99	129	0
4207	553697	1	1	129	12	Bohumil	Jiroušek	M			49	OSVČ	Trmice	99	129	0
4207	553697	1	1	129	13	Martin	Truhlář	M			33	manažer	Trmice	99	129	0
4207	553697	1	1	129	14	Karel	Císař	M			43	velitel HZSP	Trmice	99	129	0
4207	553697	1	1	129	15	Tomáš	Selinger	M			30	chemik	Trmice	99	129	0
4207	553697	1	2	47	1	Vladimír	Ličman	M			66	důchodce	Trmice	47	47	0
4207	553697	1	2	47	2	Jiří	Chramosta	M			66	důchodce	Trmice	47	47	0
4207	553697	1	2	47	3	Miroslav	Fatka	M			59	strojní zámečník	Trmice	99	47	0
4207	553697	1	2	47	4	Jana	Chudobová	F			51	sanitářka	Řehlovice	99	47	0
4207	553697	1	2	47	5	Vladimír	Albrecht	M			47	technik	Trmice	99	47	0
4207	553697	1	2	47	6	Jitka	Rydvalová	F			60	důchodkyně	Trmice	99	47	0
4207	553697	1	2	47	7	Jiří	Jirout	M			60	důchodce	Trmice	99	47	0
4207	553697	1	2	47	8	Ladislav	Zahradník	M			59	dělník	Trmice	99	47	0
4207	553697	1	2	47	9	Petr	Nowak	M			36	dělník	Trmice	99	47	0
4207	553697	1	2	47	10	Ludvík	Vlas	M			57	dělník	Trmice	99	47	0
4207	553697	1	2	47	11	Libuše	Petrů	F			58	důchodkyně	Trmice	99	47	0
4207	553697	1	2	47	12	Václav	Krejčík	M			62	inv. důchodce	Trmice	99	47	0
4207	553697	1	2	47	13	Antonín	Kupec	M			59	technik	Trmice	99	47	0
4207	553697	1	2	47	14	Jindřich	Machač	M			65	důchodce	Trmice	47	47	0
4207	553697	1	2	47	15	Karel	Kvapil	M			74	důchodce	Trmice	47	47	0
4207	553697	1	3	158	1	Marcela	Hainzová	F	Ing.		47	OSVČ dříve učitelka	Trmice	99	158	0
4207	553697	1	3	158	2	Jana	Oubrechtová	F	Mgr.		43	učitelka	Trmice	99	158	0
4207	553697	1	3	158	3	Radka	Filoušová	F	Mgr.		38	učitelka	Koštov	99	158	0
4207	553697	1	3	158	4	Simona	Šosvaldová	F			40	OSVČ	Koštov	99	158	0
4207	553697	1	3	158	5	Vladimíra	Adámková	F			34	učitelka	Trmice	99	158	0
4207	553697	1	3	158	6	Šárka	Zimmertová	F			32	vedoucí směny	Trmice	99	158	0
4207	553697	1	3	158	7	Martina	Štolbová	F			33	učitelka MŠ	Trmice	99	158	0
4207	553697	1	3	158	8	Iveta	Trochová	F			34	mateřská dovolená	Trmice	99	158	0
4207	553697	1	3	158	9	Romana	Císařová	F			41	personalistka	Trmice	99	158	0
4207	553697	1	3	158	10	Jana	Lanková	F			43	laborantka	Trmice	99	158	0
4207	553697	1	3	158	11	Naděžda	Pasecká	F			45	školnice	Trmice	99	158	0
4207	553697	1	3	158	12	Lucie	Šímová	F			28	odborný referent	Trmice	99	158	0
4207	553697	1	3	158	13	Hana	Lišková	F			38	úřednice	Trmice	99	158	0
4207	553697	1	3	158	14	Jana	Veselá	F			35	OSVČ	Trmice	99	158	0
4207	553697	1	3	158	15	Jana	Halbichová	F			38	prodavačka	Trmice	99	158	0
4207	553697	1	4	53	1	Bronislav	Špičák	M			50	ředitel	Trmice	53	53	0
4207	553697	1	4	53	2	Karel	Hainz	M			48	podnikatel	Trmice	53	53	0
4207	553697	1	4	53	3	Ladislav	Malý	M			33	manažer	Trmice	53	53	0
4207	553697	1	4	53	4	Pavel	Johanovský	M			43	vedoucí provozovny	Trmice	53	53	0
4207	553697	1	4	53	5	Oldřich	Bárta	M			32	vedoucí výroby	Koštov	53	53	0
4207	553697	1	4	53	6	Ján	Bajger	M			45	živnostník	Trmice	53	53	0
4207	553697	1	4	53	7	Tomáš	Kraus	M	Mgr.		36	ředitel ZOO	Trmice	53	53	0
4207	553697	1	4	53	8	Martina	Volemanová	F			35	účetní	Trmice	53	53	0
4207	553697	1	4	53	9	Lucie	Beranová	F			28	asistentka	Trmice	53	53	0
4207	553697	1	4	53	10	Marcel	Cichý	M	Mgr.		29	telefonní konzultant	Trmice	53	53	0
4207	553697	1	4	53	11	Eva	Tomsová	F			59	důchodkyně	Trmice	99	53	0
4207	553697	1	4	53	12	Rudolf	Nevím	M			49	zámečník	Koštov	99	53	0
4207	553697	1	4	53	13	Miroslav	Petr	M			54	zámečník	Trmice	99	53	0
4207	553697	1	4	53	14	Kateřina	Filipcová	F			25	referentka	Trmice	99	53	0
4207	553697	1	4	53	15	Jiří	Kudrna	M	Mgr.		34	učitel	Trmice	99	53	0
4207	553697	1	5	7	1	Oto	Neubauer	M			75	elektrotechnik	Trmice	7	7	0
4207	553697	1	5	7	2	Jiří	Těšina	M			58	technik	Trmice	7	7	0
4207	553697	1	5	7	3	Marie	Gottfriedová	F	Mgr.		31	učitelka	Trmice	99	7	0
4207	553697	1	5	7	4	Bohumil	Tošovský	M			62	důchodce	Trmice	99	7	0
4207	553697	1	5	7	5	František	Kaplan	M			63	důchodce	Trmice	99	7	0
4207	553697	1	5	7	6	Jaroslav	Špička	M			56	technik	Trmice	99	7	0
4207	553697	1	5	7	7	Petr	Suchánek	M			40	grafik	Trmice	99	7	0
4207	553697	1	5	7	8	Pavel	Těšina	M			25	zdravotní asistent	Trmice	7	7	0
4207	553697	1	5	7	9	Karel	Hanousek	M	Ing.		54	technik	Trmice	99	7	0
4207	553697	1	5	7	10	Tomáš	Kůsa	M			23	tiskař	Trmice	7	7	0
4207	553697	1	5	7	11	Erich	Walter	M			68	důchodce	Trmice	99	7	0
4207	553697	1	5	7	12	Jan	Ranš	M			24	skladník	Trmice	7	7	0
4207	553697	1	5	7	13	Bohuslav	Chládek	M			64	důchodce	Trmice	99	7	0
4207	553697	1	5	7	14	Peter	Nowak	M			59	živnostník	Trmice	99	7	0
4207	553697	1	5	7	15	Veronika	Korčáková	F			51	výtvarnice	Trmice	7	7	0
