OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7203	545210	1	1	901	1	Libor	Kubíček	M	Ing.		53	projektant	Vigantice	99	80	0
7203	545210	1	1	901	2	Karel	Vojkůvka	M	Ing.		41	projektant	Vigantice	99	80	0
7203	545210	1	1	901	3	Ludmila	Bělíková	F	PhDr.		48	pedagog	Vigantice	99	80	0
7203	545210	1	1	901	4	Jaromír	Matuš	M			47	technik	Vigantice	99	80	0
7203	545210	1	1	901	5	Pavel	Gálik	M			53	technik	Vigantice	99	80	0
7203	545210	1	1	901	6	Ladislav	Mizera	M			46	dělník	Vigantice	99	80	0
7203	545210	1	1	901	7	Roman	Horák	M			33	technik	Vigantice	99	80	0
7203	545210	1	1	901	8	Anna	Neumanová	F	RNDr.		49	pedagog	Vigantice	99	80	0
7203	545210	1	1	901	9	Jan	Olšar	M			61	důchodce	Vigantice	99	80	0
7203	545210	1	2	902	1	Radek	Porubský	M	Ing.		43	starosta	Vigantice	99	80	0
7203	545210	1	2	902	2	Aleš	Depta	M			41	technik	Vigantice	99	80	0
7203	545210	1	2	902	3	Vratislav	Majer	M			57	soukromý podnikatel	Vigantice	99	80	0
7203	545210	1	2	902	4	Jaroslav	Hrbáček	M	Mgr.		50	ředitel základní školy	Vigantice	99	80	0
7203	545210	1	2	902	5	Ivo	Mischinger	M	Ing.		45	ředitel firmy	Vigantice	99	80	0
7203	545210	1	2	902	6	Pavel	Šturala	M			37	technik STK	Vigantice	99	80	0
7203	545210	1	2	902	7	Josef	Fojtášek	M			52	soukromý podnikatel	Vigantice	99	80	0
7203	545210	1	2	902	8	Hana	Bosová	F	Mgr.		51	ředitelka základní školy	Vigantice	99	80	0
7203	545210	1	2	902	9	Stanislav	Slovák	M			42	jednatel společnosti	Vigantice	99	80	0
7203	545210	1	3	903	1	Vítězslav	Baroš	M			57	vedoucí mechanizace	Vigantice	99	80	0
7203	545210	1	3	903	2	Josef	Fojtášek	M			57	důchodce	Vigantice	99	80	0
7203	545210	1	3	903	3	Jiří	Jurajda	M			32	mechanik	Vigantice	99	80	0
7203	545210	1	3	903	4	Václav	Křenek	M			36	živnostník	Vigantice	99	80	0
7203	545210	1	3	903	5	Martin	Jurajda	M			32	vedoucí pily	Vigantice	99	80	0
7203	545210	1	3	903	6	Lukáš	Fojtášek	M			30	živnostník	Vigantice	99	80	0
7203	545210	1	3	903	7	Petr	Juříček	M			29	zámečník	Vigantice	99	80	0
7203	545210	1	3	903	8	Josef	Mikunda	M			61	zámečník	Vigantice	99	80	0
7203	545210	1	3	903	9	Oldřich	Válek	M			56	pilař	Vigantice	99	80	0
7203	545210	1	4	53	1	Lubomír	Hlaváček	M	Ing.		44	obchodní ředitel	Vigantice	53	53	0
