OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7204	557102	1	1	7	1	Pavel	Janáček			54	revizní technik el. zařízení	Bohuslavice nad Vláří	7	7	0	M
7204	557102	1	2	901	1	Jiří	Slovák			51	starosta	Bohuslavice nad Vláří	99	80	0	M
7204	557102	1	1	7	2	Stanislava	Urbaníková			59	účetní	Bohuslavice nad Vláří	99	7	0	F
7204	557102	1	2	901	2	Jaroslav	Urbaník	Ing.		51	vedoucí oddělení měření	Bohuslavice nad Vláří	99	80	0	M
7204	557102	1	1	7	3	Zdenka	Maňasová			45	hosp. pracovník	Bohuslavice nad Vláří	99	7	0	F
7204	557102	1	2	901	3	Josef	Šebák			50	malíř	Bohuslavice nad Vláří	99	80	0	M
7204	557102	1	1	7	4	Ladislav	Janáček			48	soukromý podnikatel	Bohuslavice nad Vláří	99	7	0	M
7204	557102	1	2	901	4	Alois	Baklík			39	brusič	Bohuslavice nad Vláří	99	80	0	M
7204	557102	1	1	7	5	František	Machuča	Bc.		40	státní zaměstnanec	Bohuslavice nad Vláří	99	7	0	M
7204	557102	1	2	901	5	Lubomír	Gášek			33	dělník	Bohuslavice nad Vláří	99	80	0	M
7204	557102	1	1	7	6	Miroslav	Bureš			30	dělník	Bohuslavice nad Vláří	99	7	0	M
7204	557102	1	2	901	6	Radoslav	Obadálek			51	vedoucí provozu ČD	Bohuslavice nad Vláří	99	80	0	M
7204	557102	1	1	7	7	Josef	Bařinka			30	řidič	Bohuslavice nad Vláří	99	7	0	M
7204	557102	1	2	901	7	Vlastislav	Hrabina			45	technik	Bohuslavice nad Vláří	99	80	0	M
7204	557102	1	1	7	8	René	Žalek			32	dělník	Bohuslavice nad Vláří	99	7	0	M
7204	557102	1	2	901	8	Ladislav	Trybus			58	dělník	Bohuslavice nad Vláří	99	80	0	M
7204	557102	1	1	7	9	Bronislav	Vaněk			40	dělník	Bohuslavice nad Vláří	99	7	0	M
7204	557102	1	2	901	9	Karel	Dřímal			56	podnikatel	Bohuslavice nad Vláří	99	80	0	M
