OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7204	585599	1	1	181	1	Radoslava	Matuszková	F			54	místostarostka města Otrok.	Otrokovice	99	181	0
7204	585599	1	1	181	2	Vratislav	Podzimek	M	Mgr.		53	ředitel základní školy	Otrokovice	99	181	0
7204	585599	1	1	181	3	Pavel	Jež	M			58	správce sokolovny	Kvítkovice	99	181	0
7204	585599	1	1	181	4	Vlastimil	Bukovjan	M			45	učitel základní školy	Otrokovice	99	181	0
7204	585599	1	1	181	5	Milan	Plesar	M	Ing.		25	manažer	Kvítkovice	99	181	0
7204	585599	1	1	181	6	Petr	Mašláň	M			45	učitel základní školy	Otrokovice	99	181	0
7204	585599	1	1	181	7	Martin	Krkoška	M			21	student	Otrokovice	99	181	0
7204	585599	1	1	181	8	Tomáš	Šácha	M			33	učitel základní školy	Otrokovice	99	181	0
7204	585599	1	1	181	9	Karel	Trčala	M	Ing.		37	konstruktér	Kvítkovice	99	181	0
7204	585599	1	1	181	10	Jaromír	Zapletal	M			46	středoškolský učitel	Otrokovice	99	181	0
7204	585599	1	1	181	11	Petr	Zapletal	M			37	mechanik	Otrokovice	99	181	0
7204	585599	1	1	181	12	Jiří	Šíma	M	Ing.		48	středoškolský učitel	Otrokovice	99	181	0
7204	585599	1	1	181	13	Antonín	Polášek	M	Ing.	CSc.	57	vysokoškolský učitel	Otrokovice	99	181	0
7204	585599	1	1	181	14	Milan	Zicha	M	Ing.		46	šéfprojektant	Kvítkovice	99	181	0
7204	585599	1	1	181	15	Jaroslav	Šácha	M			64	důchodce	Kvítkovice	99	181	0
7204	585599	1	1	181	16	Jan	Podzimek	M			20	student	Otrokovice	99	181	0
7204	585599	1	1	181	17	Jaroslav	Bílka	M	Ing.		47	konstruktér	Kvítkovice	99	181	0
7204	585599	1	1	181	18	Alena	Ježová	F			32	živnostník	Otrokovice	99	181	0
7204	585599	1	1	181	19	Hana	Kubíčková	F			53	mzdová účetní	Otrokovice	99	181	0
7204	585599	1	1	181	20	Josef	Šimek	M			42	konstruktér	Kvítkovice	99	181	0
7204	585599	1	1	181	21	Irena	Vašutová	F	MUDr.		54	praktická lékařka	Otrokovice	99	181	0
7204	585599	1	1	181	22	Miloslava	Valdová	F			55	úřednice	Kvítkovice	99	181	0
7204	585599	1	1	181	23	Zdeněk	Žižka	M			50	řidič záchranář	Otrokovice	99	181	0
