OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6201	581933	1	1	801	1	Aleš	Janeček	M			39	strážný	Lhota u Lysic	99	80	0
6201	581933	1	2	802	1	Jaroslav	Malý	M			47	technik	Lhota u Lysic	99	80	0
6201	581933	1	3	803	1	Miroslav	Vítek	M			40	strážný	Lhota u Lysic	99	80	0
6201	581933	1	4	804	1	Josef	Komprda	M			36	opravář	Lhota u Lysic	99	80	0
6201	581933	1	5	805	1	Markéta	Stejskalová	F			35	OSVČ	Lhota u Lysic	99	80	0
6201	581933	1	6	806	1	Jiří	Novotný	M			46	OSVČ	Lhota u Lysic	99	80	0
6201	581933	1	7	807	1	Miroslav	Vojta	M			43	sadař, traktorista	Lhota u Lysic	99	80	0
6201	581933	1	8	808	1	Josef	Měcháček	M			43	řidič	Lhota u Lysic	99	80	0
6201	581933	1	9	809	1	Milan	Řepa	M			48	řidič	Lhota u Lysic	99	80	0
6201	581933	1	10	810	1	Jan	Tenora	M			43	truhlář	Lhota u Lysic	99	80	0
6201	581933	1	11	811	1	Michal	Polák	M			33	technik	Lhota u Lysic	99	80	0
6201	581933	1	12	812	1	Aleš	Štěpánek	M			34	sociální pracovník	Lhota u Lysic	99	80	0
6201	581933	1	13	813	1	Marek	Štěrbáček	M			37	elektromechanik	Lhota u Lysic	99	80	0
