OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6202	551406	1	1	901	1	Václav	Šicha			64	starosta MČ Brno-Jehnice	Brno-Jehnice	99	80	0	M
6202	551406	1	2	53	1	Petr	Cech	Ing.		57	ředitel stavební společnosti	Brno-Jehnice	53	53	0	M
6202	551406	1	3	721	1	Vasil	Krinčev	Ing.		58	podnikatel	Brno-Jehnice	99	721	0	M
6202	551406	1	4	902	1	Milan	Pernica			40	OSVČ	Brno-Jehnice	99	80	0	M
6202	551406	1	5	1	1	Jiří	Hudec	Ing.		46	státní zaměstnanec	Brno-Jehnice	99	1	0	M
6202	551406	1	1	901	2	Oto	Rinchenbach	MUDr.		48	OSVČ	Brno-Jehnice	99	80	0	M
6202	551406	1	2	53	2	Libor	Fiala			57	automechanik	Brno-Jehnice	53	53	0	M
6202	551406	1	3	721	2	Libor	Hrda	Ing.arch.		36	podnikatel	Brno-Jehnice	99	721	0	M
6202	551406	1	4	902	2	Vladimír	Kulendík	ing.		66	důchodce	Brno-Jehnice	99	80	0	M
6202	551406	1	5	1	2	Daniel	Rychnovský	MUDr.		53	I.náměstek primátora měst.Brna	Brno-Jehnice	1	1	0	M
6202	551406	1	1	901	3	Ivo	Pekař	Ing.		46	vývojový pracovník	Brno-Jehnice	99	80	0	M
6202	551406	1	2	53	3	Petr	Cech	Bc.		30	podnikatel	Brno-Jehnice	53	53	0	M
6202	551406	1	3	721	3	Jana	Bláhová			30	manažerka	Brno-Jehnice	99	721	0	F
6202	551406	1	4	902	3	Miroslav	Čada			24	OSVČ	Brno-Jehnice	99	80	0	M
6202	551406	1	5	1	3	Pavel	Horký			35	manažer	Brno-Jehnice	99	1	0	M
6202	551406	1	1	901	4	Jana	Rašovská	Mgr.		68	důchodce	Brno-Jehnice	99	80	0	F
6202	551406	1	2	53	4	Stanislav	Pukl	Ing.		52	stavební technik	Brno-Jehnice	53	53	0	M
6202	551406	1	3	721	4	Milan	Padyšák			40	podnikatel	Brno-Jehnice	99	721	0	M
6202	551406	1	4	902	4	Iveta	Pernicová			38	OSVČ	Brno-Jehnice	99	80	0	F
6202	551406	1	5	1	4	František	Jeřábek	MgA.		47	hudebník	Brno-Jehnice	99	1	0	M
6202	551406	1	1	901	5	Jiří	Morávek			57	ředitel společnosti	Brno-Jehnice	99	80	0	M
6202	551406	1	2	53	5	Lubomír	Tyc	Ing.		47	podnikatel	Brno-Jehnice	99	53	0	M
6202	551406	1	3	721	5	Jiří	Kosík			65	důchodce	Brno-Jehnice	99	721	0	M
6202	551406	1	4	902	5	Ludvík	Hochmuth			34	správce budov	Brno-Jehnice	99	80	0	M
6202	551406	1	5	1	5	Anna	Fialová			56	poštovní doručovatelka	Brno-Jehnice	99	1	0	F
6202	551406	1	1	901	6	Ivan	Cebák			52	řidič	Brno-Jehnice	99	80	0	M
6202	551406	1	2	53	6	Miroslav	Sedlák			52	stavební technik	Brno-Jehnice	99	53	0	M
6202	551406	1	3	721	6	Zdeněk	Bartoš			67	finanční poradce	Brno-Jehnice	99	721	0	M
6202	551406	1	4	902	6	Božena	Pochopová			75	důchodce	Brno-Jehnice	99	80	0	F
6202	551406	1	5	1	6	Marie	Humpolíková			52	kuchařka ZŠ	Brno-Jehnice	99	1	0	F
6202	551406	1	1	901	7	Antonín	Drápal			62	elektrikář	Brno-Jehnice	99	80	0	M
6202	551406	1	2	53	7	Milana	Ekrtová			61	důchodce	Brno-Jehnice	99	53	0	F
6202	551406	1	3	721	7	Marcela	Padyšáková			31	v domácnosti	Brno-Jehnice	99	721	0	F
6202	551406	1	4	902	7	Jiří	Vala			51	státní správa	Brno-Jehnice	99	80	0	M
6202	551406	1	5	1	7	František	Horký	Ing.		65	důchodce	Brno-Jehnice	99	1	0	M
6202	551406	1	1	901	8	Ondřej	Matoušek	Ing.		26	OSVČ	Brno-Jehnice	99	80	0	M
6202	551406	1	4	902	8	Martin	Jochmann			33	prodavač	Brno-Jehnice	99	80	0	M
