OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6203	595551	1	1	1	1	Barbora	Šenkyříková	Ing.		39	projektová manažerka	Doubravník	99	1	0	F
6203	595551	1	2	47	1	Zdeněk	Kundrata			53	starosta	Doubravník	99	47	0	M
6203	595551	1	3	901	1	Petr	Navrátil	RNDr.		48	technik	Doubravník	99	80	0	M
6203	595551	1	1	1	2	Jiří	Rous	Ing.		33	hlavní stavbyvedoucí	Doubravník	99	1	0	M
6203	595551	1	2	47	2	Jan	Cigáň			54	provozní zámečník	Doubravník	99	47	0	M
6203	595551	1	3	901	2	Jiří	Nedoma	Ing.		52	technik	Doubravník	99	80	0	M
6203	595551	1	1	1	3	Petr	Šenk	Mgr.		31	výzkumný pracovník	Doubravník	99	1	0	M
6203	595551	1	2	47	3	Zdeněk	Válka			56	nástrojař	Doubravník	99	47	0	M
6203	595551	1	3	901	3	Petr	Sedláček	Ing.	Ph.D.	27	odborný asist. na vysoké škole	Doubravník	99	80	0	M
6203	595551	1	1	1	4	Vlastimil	Lahoda	Ing.		41	vedoucí programátor	Doubravník	99	1	0	M
6203	595551	1	2	47	4	Vladimír	Hejčík	Ing.		59	podnikatel	Doubravník	47	47	0	M
6203	595551	1	3	901	4	Karel	Boček	Ing.		43	vedoucí truhlářské výroby	Doubravník	99	80	0	M
6203	595551	1	1	1	5	Petr	Menšík			51	podnikatel	Doubravník	99	1	0	M
6203	595551	1	2	47	5	Miloš	Bělík			55	elektromechanik	Doubravník	47	47	0	M
6203	595551	1	3	901	5	Petr	Šibor			38	řidič	Doubravník	99	80	0	M
6203	595551	1	1	1	6	Jarmila	Smutná			47	účetní	Doubravník	1	1	0	F
6203	595551	1	2	47	6	Josef	Kvasnica			61	soustružník	Doubravník	99	47	0	M
6203	595551	1	3	901	6	Miroslav	Truhlář	Ing.		33	správce inform. technologií	Doubravník	99	80	0	M
6203	595551	1	1	1	7	Zdeněk	Macháček			35	sochař	Křížovice	99	1	0	M
6203	595551	1	2	47	7	Josef	Urbánek			64	důchodce	Doubravník	47	47	0	M
6203	595551	1	3	901	7	Valtr	Baxa			44	zaměstnanec hospodář. činnosti	Doubravník	99	80	0	M
6203	595551	1	1	1	8	Alena	Blahová			50	pokladní	Doubravník	1	1	0	F
6203	595551	1	2	47	8	Oldřich	Jedlička			76	důchodce	Doubravník	47	47	0	M
6203	595551	1	3	901	8	Petr	Culek			37	nástrojař	Doubravník	99	80	0	M
6203	595551	1	1	1	9	Jana	Beranová			38	administrativní pracovnice	Doubravník	99	1	0	F
6203	595551	1	2	47	9	Jana	Životská			67	důchodkyně	Doubravník	47	47	0	F
6203	595551	1	3	901	9	Eva	Zemanová			51	vychovatelka	Doubravník	99	80	0	F
6203	595551	1	1	1	10	Ondřej	Smutný			23	pracovník centra pro mládež	Doubravník	99	1	0	M
6203	595551	1	2	47	10	Miroslav	Životský			32	brusič	Doubravník	99	47	0	M
6203	595551	1	3	901	10	Hana	Navrátilová			46	bankovní úředník	Doubravník	99	80	0	F
6203	595551	1	1	1	11	Miroslav	Šenkyřík			44	podnikatel ve stavebnictví	Doubravník	99	1	0	M
6203	595551	1	2	47	11	Jaroslav	Kopřiva			59	zedník	Doubravník	47	47	0	M
6203	595551	1	3	901	11	Radmila	Skalníková			60	důchodce	Doubravník	99	80	0	F
6203	595551	1	1	1	12	Josef	Šimek			63	důchodce	Doubravník	99	1	0	M
6203	595551	1	2	47	12	Miroslav	Dvořáček			56	důchodce	Doubravník	99	47	0	M
6203	595551	1	3	901	12	Ludmila	Lamrová			32	prodavačka	Doubravník	99	80	0	F
6203	595551	1	1	1	13	Zdeněk	Vorel	Ing.		42	procesní chemik	Doubravník	99	1	0	M
6203	595551	1	2	47	13	Jaroslav	Krézek			46	živnostník	Doubravník	99	47	0	M
6203	595551	1	3	901	13	Pavel	Životský			53	důchodce	Doubravník	99	80	0	M
6203	595551	1	1	1	14	Kateřina	Sedláková			28	obchodní referentka	Doubravník	99	1	0	F
6203	595551	1	2	47	14	Jiří	Harásek			62	důchodce	Doubravník	47	47	0	M
6203	595551	1	3	901	14	Alena	Šikulová			46	učitelka mateřské školy	Doubravník	99	80	0	F
6203	595551	1	1	1	15	Jan	Litoborský			57	traťmistr	Doubravník	99	1	0	M
6203	595551	1	2	47	15	Věra	Harásková			61	důchodkyně	Doubravník	99	47	0	F
6203	595551	1	3	901	15	Vladimír	Procházka			63	technik	Doubravník	99	80	0	M
