OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5101	561380	1	1	5	1	Miroslav	Hudec	M	PhDr.		58	ředitel pedagog. psycho. por.	Česká Lípa	5	5	0
5101	561380	1	1	5	2	Monika	Rejnartová	F			37	stavařka	Česká Lípa	5	5	0
5101	561380	1	1	5	3	Milan	Kubát	M	PaedDr.		61	ředitel střední školy	Česká Lípa	5	5	0
5101	561380	1	1	5	4	Alena	Losová	F			47	učitelka hudby	Česká Lípa	99	5	0
5101	561380	1	1	5	5	Miroslav	Pröller	M			39	předseda OS Drobné památky	Česká Lípa	99	5	0
5101	561380	1	1	5	6	Michaela	Komersová	F			61	důchodce	Česká Lípa	99	5	0
5101	561380	1	1	5	7	Vlastimil	Král	M			57	učitel	Česká Lípa	99	5	0
5101	561380	1	1	5	8	Vladimíra	Šumová	F			63	důchodce	Česká Lípa	5	5	0
5101	561380	1	1	5	9	Jaroslav	Rázek	M			39	obchodník ve stavebnictví	Česká Lípa	5	5	0
5101	561380	1	1	5	10	Jana	Lövenhöferová	F	Mgr.		56	učitelka	Česká Lípa	5	5	0
5101	561380	1	1	5	11	Zdeněk	Vlček	M			50	OSVČ	Česká Lípa	99	5	0
5101	561380	1	1	5	12	Pavlína	Lomičová	F	Mgr.		44	učitelka	Česká Lípa	99	5	0
5101	561380	1	1	5	13	Radek	Ouřada	M			42	vedoucí pošty	Česká Lípa	99	5	0
5101	561380	1	1	5	14	Libuše	Procházková	F	MUDr.		58	dětská lékařka	Česká Lípa	99	5	0
5101	561380	1	1	5	15	Jitka	Rozumková	F			49	v domácnosti	Česká Lípa	99	5	0
5101	561380	1	1	5	16	Jitka	Čížková	F			64	majitelka antikvariátu	Česká Lípa	99	5	0
5101	561380	1	1	5	17	Kateřina	Hurychová	F			28	učitelka	Česká Lípa	99	5	0
5101	561380	1	1	5	18	Simona	Bůžková	F			41	knihovnice	Česká Lípa	99	5	0
5101	561380	1	1	5	19	Jaroslava	Formanová	F	RNDr.		59	učitelka	Dolní Libchava	99	5	0
5101	561380	1	1	5	20	Karolina	Stránská	F	Mgr.		32	učitelka	Česká Lípa	99	5	0
