OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5101	561681	1	1	7	1	Liana	Kypusová			55	ředitelka MŠ	Kamenický Šenov	7	7	0	F
5101	561681	1	2	903	1	František	Kučera	Bc.		42	vedoucí úředník	Kamenický Šenov	99	80	0	M
5101	561681	1	3	901	1	Zbyněk	Jech			41	výrobní dispečer	Kamenický Šenov	99	80	0	M
5101	561681	1	4	53	1	Jitka	Bouchalová			43	místostarostka	Kamenický Šenov	53	53	0	F
5101	561681	1	5	902	1	Jaroslav	Andrysík			54	starosta města K. Šenov	Kamenický Šenov	99	80	0	M
5101	561681	1	6	47	1	Aleš	Vičan			36	hasič HZS ČL	Kamenický Šenov	99	47	0	M
5101	561681	1	1	7	2	Jan	Marek			53	státní zaměstnanec	Kamenický Šenov	99	7	0	M
5101	561681	1	2	903	2	Aleš	Gregor			35	podnikatel	Prácheň	99	80	0	M
5101	561681	1	3	901	2	Jiří	Daniel			56	rentier	Kamenický Šenov	99	80	0	M
5101	561681	1	4	53	2	Miroslava	Kramářová	MUDr.		34	lékařka	Kamenický Šenov	53	53	0	F
5101	561681	1	5	902	2	Pavla	Machová	Mgr.		35	učitel	Prácheň	99	80	0	F
5101	561681	1	6	47	2	Ljuba	Kopecká			51	montér lustrů	Prácheň	99	47	0	F
5101	561681	1	1	7	3	Martina	Blažková			32	mateřská dovolená	Kamenický Šenov	7	7	0	F
5101	561681	1	2	903	3	Harry	Knie	Ing., Bc.		49	policista	Kamenický Šenov	99	80	0	M
5101	561681	1	3	901	3	Bohuslav	Šach			37	projektový manažer	Kamenický Šenov	99	80	0	M
5101	561681	1	4	53	3	Vojtěch	Doubrava			35	jednatel společnosti	Kamenický Šenov	53	53	0	M
5101	561681	1	5	902	3	Pavel	Čech	Ing.		52	podnikatel	Kamenický Šenov	99	80	0	M
5101	561681	1	6	47	3	Josef	Šulc	RSDr.		60	správce zdr. stř.	Kamenický Šenov	47	47	0	M
5101	561681	1	1	7	4	Petr	Kožíšek			41	podnikatel	Kamenický Šenov	99	7	0	M
5101	561681	1	2	903	4	Jiří	Jakoubek			65	podnikatel	Kamenický Šenov	99	80	0	M
5101	561681	1	3	901	4	Marcela	Mazáková			45	vrchní zdravotní sestra	Kamenický Šenov	99	80	0	F
5101	561681	1	4	53	4	Petr	David			41	učitel	Kamenický Šenov	99	53	0	M
5101	561681	1	5	902	4	Nataša	Ulrychová			46	živnostník	Kamenický Šenov	99	80	0	F
5101	561681	1	6	47	4	Václav	Švestka			37	elektrikář-řidič	Kamenický Šenov	99	47	0	M
5101	561681	1	1	7	5	Jan	Bláha			33	stavbyvedoucí	Kamenický Šenov	99	7	0	M
5101	561681	1	2	903	5	Pavel	Půček	Bc.		42	policista	Kamenický Šenov	99	80	0	M
5101	561681	1	3	901	5	Bohumil	Mucha			62	důchodce	Kamenický Šenov	99	80	0	M
5101	561681	1	4	53	5	Pavel	Jaška			33	předák výrobní linky	Kamenický Šenov	99	53	0	M
5101	561681	1	5	902	5	Filip	Hesse			34	správce počítačové sítě	Prácheň	99	80	0	M
5101	561681	1	6	47	5	Štefan	Gábor			44	foukač skla	Prácheň	99	47	0	M
5101	561681	1	1	7	6	Milan	Steklý			54	dělník	Kamenický Šenov	7	7	0	M
5101	561681	1	2	903	6	Zdeněk	Barák	Ing.		47	podnikatel	Kamenický Šenov	99	80	0	M
5101	561681	1	3	901	6	Margareta	Pilná			57	učitelka MŠ Prácheň	Prácheň	99	80	0	F
5101	561681	1	4	53	6	Ladislav	Flégl			64	důchodce	Kamenický Šenov	53	53	0	M
5101	561681	1	5	902	6	Miloš	Macháček	Ing.		45	ředitel	Prácheň	99	80	0	M
5101	561681	1	6	47	6	Jiří	Vičan			63	v důchodu	Kamenický Šenov	47	47	0	M
5101	561681	1	1	7	7	Jana	Toflová			35	dělnice	Kamenický Šenov	99	7	0	F
5101	561681	1	2	903	7	Kamila	Gričová			40	ředitelka	Kamenický Šenov	99	80	0	F
5101	561681	1	3	901	7	Tomáš	Kosorinský			39	mistr výroby	Kamenický Šenov	99	80	0	M
5101	561681	1	4	53	7	Helena	Kadlecová			45	bankovní poradce	Kamenický Šenov	53	53	0	F
5101	561681	1	5	902	7	Hana	Drozdová	Mgr.		56	učitel	Kamenický Šenov	99	80	0	F
5101	561681	1	6	47	7	František	Svoboda			29	dělník v DP ČL	Kamenický Šenov	99	47	0	M
5101	561681	1	1	7	8	Jiří	Pavlas			34	OSVČ	Kamenický Šenov	99	7	0	M
5101	561681	1	2	903	8	Petr	Prousek			42	podnikatel	Kamenický Šenov	99	80	0	M
5101	561681	1	3	901	8	Milan	Nitka			26	dělník ve výrobě	Kamenický Šenov	99	80	0	M
5101	561681	1	4	53	8	Jitka	Šmicová	Mgr.		57	ředitelka školy	Kamenický Šenov	53	53	0	F
5101	561681	1	5	902	8	Václav	Frömmel	MgA.		35	živnostník	Kamenický Šenov	99	80	0	M
5101	561681	1	6	47	8	Vanda	Jelínková			32	admin.  prac.	Kamenický Šenov	99	47	0	F
5101	561681	1	1	7	9	Jitka	Černovská			56	učitelka ZŠ	Kamenický Šenov	7	7	0	F
5101	561681	1	2	903	9	Jan	Hejtman			49	konstruktér	Kamenický Šenov	99	80	0	M
5101	561681	1	3	901	9	Hana	Vomáčková			46	mzdová účetní	Kamenický Šenov	99	80	0	F
5101	561681	1	4	53	9	Zdeněk	Waldhauser	Ing.		67	důchodce	Prácheň	53	53	0	M
5101	561681	1	5	902	9	Jana	Brázdová	Mgr.		64	učitel v důchodu	Kamenický Šenov	99	80	0	F
5101	561681	1	6	47	9	Vendulka	Líbalová			36	brusič skla	Prácheň	99	47	0	F
5101	561681	1	1	7	10	Olga	Hrbková	Mgr.		30	finanční účetní	Kamenický Šenov	7	7	0	F
5101	561681	1	2	903	10	Dagmar	Podrábská			54	nákupčí	Kamenický Šenov	99	80	0	F
5101	561681	1	3	901	10	Jana	Semerádová			39	obchodní manažer	Kamenický Šenov	99	80	0	F
5101	561681	1	4	53	10	Šárka	Jašková			30	technolog	Kamenický Šenov	99	53	0	F
5101	561681	1	5	902	10	Jaroslav	Brzek			61	pasíř v důchodu	Kamenický Šenov	99	80	0	M
5101	561681	1	6	47	10	Radek	Žižka			29	servis. technik	Kamenický Šenov	99	47	0	M
5101	561681	1	1	7	11	Martina	Čermáková			36	mateřská dovolená	Kamenický Šenov	99	7	0	F
5101	561681	1	2	903	11	Evžen	Zelený			34	podnikatel	Kamenický Šenov	99	80	0	M
5101	561681	1	3	901	11	Josef	Petrus			33	učitel na ZŠ	Kamenický Šenov	99	80	0	M
5101	561681	1	4	53	11	Martina	Pajerová	Mgr.		29	učitelka	Kamenický Šenov	99	53	0	F
5101	561681	1	5	902	11	Klára	Šebestíková			36	podnikatel	Prácheň	99	80	0	F
5101	561681	1	6	47	11	Tomáš	Podrábský			35	řidič MKD	Kamenický Šenov	99	47	0	M
5101	561681	1	1	7	12	Tomáš	Hekerle			43	obchodní zástupce	Kamenický Šenov	7	7	0	M
5101	561681	1	2	903	12	Václav	Pospíšil			52	podnikatel	Kamenický Šenov	99	80	0	M
5101	561681	1	3	901	12	Jan	Půlkrab			61	důchodce	Kamenický Šenov	99	80	0	M
5101	561681	1	4	53	12	Jana	Duchoňová			58	důchodce	Kamenický Šenov	53	53	0	F
5101	561681	1	5	902	12	Stanislav	Šturc			49	živnostník	Kamenický Šenov	99	80	0	M
5101	561681	1	6	47	12	Josef	Kopecký			64	v důchodu	Prácheň	99	47	0	M
5101	561681	1	1	7	13	René	Osvald			57	strojník	Kamenický Šenov	7	7	0	M
5101	561681	1	2	903	13	Renata	Jakoubková			36	vedoucí MŠ	Kamenický Šenov	99	80	0	F
5101	561681	1	3	901	13	Tomáš	Tůma			34	podnikatel	Kamenický Šenov	99	80	0	M
5101	561681	1	4	53	13	Hynek	Gebel			39	řidič sanitního vozu	Kamenický Šenov	99	53	0	M
5101	561681	1	5	902	13	Hana	Šrámková			29	pracovník sklářského muzea	Kamenický Šenov	99	80	0	F
5101	561681	1	6	47	13	Jan	Heidrich			60	brusič skla	Kamenický Šenov	47	47	0	M
5101	561681	1	1	7	14	Tomáš	Šrédl			41	brusič kovů	Kamenický Šenov	99	7	0	M
5101	561681	1	2	903	14	Jiří	Pilný			62	důchodce	Prácheň	99	80	0	M
5101	561681	1	3	901	14	Jiří	Siedek			51	podnikatel	Kamenický Šenov	99	80	0	M
5101	561681	1	4	53	14	Ivo	Šrajbr		DiS.	40	elektromechanik	Prácheň	99	53	0	M
5101	561681	1	5	902	14	Karolína	Kopřivová	MgA.		40	učitel, výtvarník	Kamenický Šenov	99	80	0	F
5101	561681	1	6	47	14	Oldřich	Dvořák			60	prodavač pr. zb.	Kamenický Šenov	99	47	0	M
5101	561681	1	1	7	15	Petra	Majcherová			36	učitelka MŠ	Kamenický Šenov	99	7	0	F
5101	561681	1	2	903	15	Michaela	Skalická			37	referentka	Kamenický Šenov	99	80	0	F
5101	561681	1	3	901	15	Hana	Bláhová			36	zdravotní sestra, t.č. na m.d.	Kamenický Šenov	99	80	0	F
5101	561681	1	4	53	15	Hana	Dutá			47	vychovatelka	Kamenický Šenov	99	53	0	F
5101	561681	1	5	902	15	Radim	Vácha	Bc.		39	pracovník Ústavu památ. péče	Kamenický Šenov	99	80	0	M
5101	561681	1	6	47	15	Bohumil	Bártl			56	brusič skla	Kamenický Šenov	99	47	0	M
