OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5301	572462	1	1	902	1	Monika	Vacková			35	starostka	Včelákov	99	80	0	F
5301	572462	1	2	906	1	Zuzana	Kekulová	Ing.		33	správce daně	Včelákov-Příkrakov	99	80	0	F
5301	572462	1	3	901	1	Jiří	Jindřichovský			27	metrolog-technik	Dolní Babákov	99	80	0	M
5301	572462	1	4	904	1	Jan	Pejcha			41	řidič-SUS PK	Včelákov	99	80	0	M
5301	572462	1	5	903	1	Ondřej	Janáček			46	strážník	Včelákov	99	80	0	M
5301	572462	1	6	905	1	Libor	Doležal			29	elektrikář-HUKY Elektro	Včelákov	99	80	0	M
5301	572462	1	1	902	2	Jaroslav	Prodělal	Mgr.		45	ředitel základní školy	Včelákov	99	80	0	M
5301	572462	1	2	906	2	Marcela	Blažková			30	na mateřské dovolené	Včelákov	99	80	0	F
5301	572462	1	3	901	2	Libor	Kekula			34	obchodní zástupce	Příkrakov	99	80	0	M
5301	572462	1	4	904	2	Aneta	Pelikánová	Ing. Bc.		27	sociální kurátorka-MěÚ Chrudim	Včelákov	99	80	0	F
5301	572462	1	5	903	2	Miroslav	Šikl			52	jednatel společnosti	Včelákov	99	80	0	M
5301	572462	1	6	905	2	Jaroslav	Coufal			37	OSVČ	Včelákov	99	80	0	M
5301	572462	1	1	902	3	Roman	Pacetti	Mgr.		37	učitel základní školy	Včelákov	99	80	0	M
5301	572462	1	2	906	3	Edita	Chvojková			60	důchodce	Včelákov	47	80	0	F
5301	572462	1	3	901	3	Petr	Hudec			34	řidič-silniční dělník	Dolní Babákov	99	80	0	M
5301	572462	1	4	904	3	Václav	Pelikán ml.			29	policista	Včelákov	99	80	0	M
5301	572462	1	5	903	3	Kamil	Blažek			34	skladník	Bystřice	99	80	0	M
5301	572462	1	6	905	3	Karel	Rouha			30	skladník-ETA Hlinsko	Včelákov	99	80	0	M
5301	572462	1	1	902	4	Pavel	Kropáček			45	vedoucí výroby	Vyhnánov	99	80	0	M
5301	572462	1	2	906	4	Lenka	Jeřábková			33	účetní	Včelákov	99	80	0	F
5301	572462	1	3	901	4	Zbyněk	Oplištil			29	truhlář	Vyhnánov	99	80	0	M
5301	572462	1	4	904	4	Jaroslav	Zavřel			48	řidič-lom Matula	Včelákov	99	80	0	M
5301	572462	1	5	903	4	Petra	Gregorová			31	vedoucí školní jídelny	Včelákov	99	80	0	F
5301	572462	1	6	905	4	Gabriela	Bartoňová			36	v domácnosti	Včelákov	99	80	0	F
5301	572462	1	1	902	5	Pavel	Dostál			49	řidič	Včelákov	99	80	0	M
5301	572462	1	2	906	5	Veronika	Suchá			32	pečovatelka	Včelákov	99	80	0	F
5301	572462	1	3	901	5	Petr	Slavík			25	pokrývač	Dolní Babákov	99	80	0	M
5301	572462	1	4	904	5	Martin	Jeřábek			37	policista	Včelákov	99	80	0	M
5301	572462	1	5	903	5	Karel	Kašpar			52	řidič	Včelákov	99	80	0	M
5301	572462	1	6	905	5	Aleš	Malina			29	řidič-REAL Slatiňany	Včelákov	99	80	0	M
5301	572462	1	1	902	6	Stanislav	Zrebený			59	důchodce	Bystřice	99	80	0	M
5301	572462	1	2	906	6	Anežka	Culková			54	prodavačka	Včelákov-Střítež	99	80	0	F
5301	572462	1	3	901	6	Martin	Semerád			33	technik	Příkrakov	99	80	0	M
5301	572462	1	4	904	6	Jan	Zavřel			22	dělník-lom Matula	Včelákov	99	80	0	M
5301	572462	1	5	903	6	Monika	Šťulíková			32	prodavačka	Včelákov	99	80	0	F
5301	572462	1	6	905	6	Ondřej	Doležal			31	skladník-ROVI Hlinsko	Včelákov	99	80	0	M
5301	572462	1	1	902	7	Marcel	Pacetti			40	skladník	Včelákov	99	80	0	M
5301	572462	1	2	906	7	Jana	Ticháčková			34	učitelka MŠ	Včelákov-Vyhnánov	99	80	0	F
5301	572462	1	3	901	7	Roman	Ticháček			38	dělník	Vyhnánov	99	80	0	M
5301	572462	1	4	904	7	František	Rouha ml.			28	střelmistr-lom Matula	Včelákov	99	80	0	M
5301	572462	1	5	903	7	Jiří	Kysela			36	strážník	Dolní Babákov	99	80	0	M
5301	572462	1	6	905	7	Jan	Dostál			40	dělník-RENOS Hlinsko	Včelákov	99	80	0	M
5301	572462	1	1	902	8	Václav	Vacek			40	dělník	Včelákov	99	80	0	M
5301	572462	1	2	906	8	Iva	Zlesáková			49	soukromý podnikatel	Včelákov-Bystřice	99	80	0	F
5301	572462	1	5	903	8	Jiří	Dachovský			31	truhlář	Včelákov	99	80	0	M
