OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
8102	598089	1	1	7	1	Tomáš	Vojtovič	M			37	vedoucí zásobování	Dobrá	7	7	0
8102	598089	1	1	7	2	Milan	Kwaczek	M			53	podnikatel	Dobrá	99	7	0
8102	598089	1	1	7	3	Vítězslav	Pantlík	M	Mgr.		32	právník	Dobrá	99	7	0
8102	598089	1	1	7	4	Bronislava	Rafajová	F	Bc.		48	referent	Dobrá	7	7	0
8102	598089	1	1	7	5	Václav	Moskva	M	Ing.		42	policista	Dobrá	99	7	0
8102	598089	1	1	7	6	Michaela	Musiolková	F			42	samostatný referent	Dobrá	7	7	0
8102	598089	1	1	7	7	Lukáš	Pantlík	M	Bc.		30	správce rozpočtu	Dobrá	99	7	0
8102	598089	1	1	7	8	Jakub	Musiolek	M			22	operátor linky	Dobrá	7	7	0
8102	598089	1	1	7	9	Jiří	Hofman	M			59	důchodce	Dobrá	7	7	0
8102	598089	1	1	7	10	Františka	Gomolová	F			68	důchodce	Dobrá	7	7	0
8102	598089	1	1	7	11	Libor	Kašperlík	M			39	stavbyvedoucí	Dobrá	99	7	0
8102	598089	1	1	7	12	Petr	Čermák	M			23	závozník	Dobrá	99	7	0
8102	598089	1	1	7	13	Radka	Zitová	F	Mgr.		34	lékárník	Dobrá	99	7	0
8102	598089	1	1	7	14	Dalibor	Gomola	M			48	podnikatel	Dobrá	7	7	0
8102	598089	1	1	7	15	Dominika	Gomolová	F		DiS.	22	student	Dobrá	99	7	0
8102	598089	1	2	47	1	Ladislav	Žurek	M			61	místostarosta	Dobrá	47	47	0
8102	598089	1	2	47	2	Jiří	Kaňok	M			61	vedoucí STK	Dobrá	47	47	0
8102	598089	1	2	47	3	Martin	Tvardek	M			36	bezpečnostní technik	Dobrá	99	47	0
8102	598089	1	2	47	4	Radim	Bűrger	M			34	automechanik	Dobrá	99	47	0
8102	598089	1	2	47	5	Jana	Chroboková	F			56	prodavačka	Dobrá	47	47	0
8102	598089	1	2	47	6	Oldřich	Carbol	M	JUDr.		70	důchodce	Dobrá	47	47	0
8102	598089	1	2	47	7	Milada	Vojkovská	F			63	zdravotní sestra	Dobrá	47	47	0
8102	598089	1	2	47	8	Jaromír	Carbol	M			65	podnikatel	Dobrá	47	47	0
8102	598089	1	2	47	9	Drahomíra	Gryžboňová	F			61	důchodce	Dobrá	99	47	0
8102	598089	1	2	47	10	Libuše	Capuličová	F			60	důchodce	Dobrá	99	47	0
8102	598089	1	2	47	11	Jarmila	Pastorová	F			62	důchodce	Dobrá	47	47	0
8102	598089	1	2	47	12	Dagmar	Čermáková	F			60	důchodce	Dobrá	47	47	0
8102	598089	1	2	47	13	František	Hamada	M			64	důchodce	Dobrá	47	47	0
8102	598089	1	2	47	14	Leopold	Carbol	M			64	důchodce	Dobrá	47	47	0
8102	598089	1	2	47	15	Bohumil	Matušek	M			62	důchodce	Dobrá	47	47	0
8102	598089	1	3	902	1	Vítězslav	Frischtok	M			52	OSVČ	Dobrá	99	80	0
8102	598089	1	3	902	2	Pavel	Baran	M			34	obchodní manažer	Dobrá	99	80	0
8102	598089	1	3	902	3	Magda	Otčenášková	F			60	účetní	Dobrá	99	80	0
8102	598089	1	3	902	4	Jaroslava	Velčovská	F			59	důchodce	Dobrá	99	80	0
8102	598089	1	3	902	5	Jaroslava	Frischtoková	F			48	úřednice	Dobrá	99	80	0
8102	598089	1	3	902	6	Eduard	Mališ	M			40	skladník	Dobrá	99	80	0
8102	598089	1	3	902	7	Kristýna	Březinová	F	Ing.		26	bankovní poradce	Dobrá	99	80	0
8102	598089	1	3	902	8	Alena	Legutová	F			33	obchodní zástupce	Dobrá	99	80	0
8102	598089	1	3	902	9	Kamil	Zícha	M			33	servisní technik	Dobrá	99	80	0
8102	598089	1	3	902	10	Robert	Foldyna	M	Mgr.		37	OSVČ	Dobrá	99	80	0
8102	598089	1	3	902	11	Lucie	Tesarčíková	F			34	obchodní zástupce	Dobrá	99	80	0
8102	598089	1	3	902	12	David	Hernik	M			23	administrativní pracovník	Dobrá	99	80	0
8102	598089	1	3	902	13	Filip	Tyleček	M			32	obchodní manažer	Dobrá	99	80	0
8102	598089	1	3	902	14	Martin	Imričko	M			25	servisní technik	Dobrá	99	80	0
8102	598089	1	3	902	15	Tomáš	Zářický	M	Ing.	MBA	45	finanční ředitel	Dobrá	99	80	0
8102	598089	1	4	721	1	Alice	Tancerová	F	Bc.		37	starosta obce Dobrá	Dobrá	721	721	0
8102	598089	1	4	721	2	Jaroslav	Kielar	M	Ing.		45	systémový inženýr	Dobrá	99	721	0
8102	598089	1	4	721	3	Pavel	Bařina	M			37	předák středofrekv.tavírny AMO	Dobrá	99	721	0
8102	598089	1	4	721	4	Tomáš	Lepík	M			40	řidič	Dobrá	99	721	0
8102	598089	1	4	721	5	Ivana	Bürgerová	F			36	po mateř.dov. v evidenci na ÚP	Dobrá	99	721	0
8102	598089	1	4	721	6	Monika	Legerská	F			25	řidič, strojník u TS a.s.	Dobrá	99	721	0
8102	598089	1	4	721	7	Miroslav	Pavlásek	M	Bc.		38	zaměstnanec Minist. spravedl.	Dobrá	99	721	0
8102	598089	1	4	721	8	Ivo	Janulek	M			41	živnostník-autoservis	Dobrá	99	721	0
8102	598089	1	4	721	9	Jarmila	Dordová	F			49	logistik u fa Dymos	Dobrá	99	721	0
8102	598089	1	4	721	10	Václav	Tesarčík	M			63	důchodce	Dobrá	99	721	0
8102	598089	1	4	721	11	Dana	Skokanová	F			29	kreditní analytik pivovar Noš.	Dobrá	99	721	0
8102	598089	1	4	721	12	Jakub	Milata	M			28	podnikatel-autovrakoviště	Dobrá	99	721	0
8102	598089	1	4	721	13	Walter	Sendler	M			70	důchodce	Dobrá	99	721	0
8102	598089	1	4	721	14	Vladimír	Hampl	M	Ing.		61	podnikatel	Dobrá	99	721	0
8102	598089	1	4	721	15	Vladimír	Pastor	M	Ing.		35	technik	Dobrá	99	721	0
8102	598089	1	5	355	1	Jiří	Carbol	M	Ing.		51	vedoucí projektu	Dobrá	1	1	0
8102	598089	1	5	355	2	Ondřej	Novák	M			22	student	Dobrá	99	80	0
8102	598089	1	5	355	3	Drahomíra	Gongolová	F	Ing.		51	ekonom	Dobrá	1	1	0
8102	598089	1	5	355	4	Jakub	Gryžboň	M	Bc.		23	student	Dobrá	99	80	0
8102	598089	1	5	355	5	Antonín	Gryžboň	M	Ing.		49	vedoucí odboru fakturace	Dobrá	1	1	0
8102	598089	1	5	355	6	Vojtěch	Mališ	M			20	student	Dobrá	99	80	0
8102	598089	1	5	355	7	Václav	Lehnert	M	Mgr.		49	učitel	Dobrá	99	80	0
8102	598089	1	5	355	8	Pavel	Peterek	M			18	student	Dobrá	99	80	0
8102	598089	1	5	355	9	Marie	Žižková	F			57	ekonom	Dobrá	99	80	0
8102	598089	1	5	355	10	Miroslav	Návrat	M			19	student	Dobrá	1	1	0
8102	598089	1	5	355	11	Jan	Mališ	M			49	sladovník	Dobrá	99	80	0
8102	598089	1	5	355	12	Anna	Muroňová	F			57	pracovník mateřské školky	Dobrá	1	1	0
