OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
8102	512176	1	1	901	1	Josef	Byrtus	M			56	soukromý podnikatel	Hrádek	99	80	0
8102	512176	1	1	901	2	Pavel	Malik	M			51	hutník	Hrádek	99	80	0
8102	512176	1	1	901	3	Marcela	Klusová	F			51	vedoucí školní jídelny	Hrádek	99	80	0
8102	512176	1	1	901	4	Radek	Dorda	M			25	operátor TŽ	Hrádek	99	80	0
8102	512176	1	1	901	5	Rostislav	Klus	M			46	hutní operátor	Hrádek	99	80	0
8102	512176	1	1	901	6	Rudolf	Mlčoch	M	Mgr.		45	středoškolský učitel	Hrádek	99	80	0
8102	512176	1	1	901	7	Petr	Szotkowski	M			40	soukromý podnikatel	Hrádek	99	80	0
8102	512176	1	1	901	8	Michal	Adamik	M	Ing.		50	technolog	Hrádek	99	80	0
8102	512176	1	1	901	9	Darina	Heczková	F			21	sekretářka	Hrádek	99	80	0
8102	512176	1	1	901	10	Jan	Bojko	M	MVDr.		58	veterinární lékař	Hrádek	99	80	0
8102	512176	1	1	901	11	Roman	Husar	M			31	soustružník	Hrádek	99	80	0
8102	512176	1	1	901	12	Jaroslav	Pezda	M			58	mistr	Hrádek	99	80	0
8102	512176	1	1	901	13	Miroslav	Klus	M			44	mistr	Hrádek	99	80	0
8102	512176	1	1	901	14	Karel	Hazuka	M			56	elektromontér	Hrádek	99	80	0
8102	512176	1	1	901	15	Jan	Sztefka	M			25	soukromý podnikatel	Hrádek	99	80	0
8102	512176	1	2	72	1	Pavel	Pilch	M			50	výpravčí/zawiadowca	Hrádek	72	72	0
8102	512176	1	2	72	2	Dana	Cieślarová	F	Ing.		53	ekonom/ekonom	Hrádek	99	72	0
8102	512176	1	2	72	3	Roman	Polok	M	MVDr.		38	veterinář/weterynarz	Hrádek	99	72	0
8102	512176	1	2	72	4	Stanislav	Wolny	M	Ing.		53	technik	Hrádek	99	72	0
8102	512176	1	2	72	5	Stanislav	Kantor	M			41	řidič/kierowca	Hrádek	99	72	0
8102	512176	1	2	72	6	Daniel	Szotkowski	M	Ing.		36	ved. střediska	Hrádek	99	72	0
8102	512176	1	2	72	7	Robert	Drong	M			38	strojník/mechanik	Hrádek	99	72	0
8102	512176	1	2	72	8	Anna	Sztefková	F			50	ošetřovatelka/opiekunka	Hrádek	99	72	0
8102	512176	1	2	72	9	Jan	Raszka	M	Ing.		58	technik	Hrádek	99	72	0
8102	512176	1	2	72	10	Helena	Martynková	F			37	strážník/policjant	Hrádek	99	72	0
8102	512176	1	2	72	11	Bohuslav	Czudek	M			50	podnikatel/przedsiębiorca	Hrádek	99	72	0
8102	512176	1	2	72	12	Irena	Worková	F			43	fin. poradce/doradca finansowy	Hrádek	99	72	0
8102	512176	1	2	72	13	Irena	Medková	F			44	prodavačka/sprzedawczyni	Hrádek	99	72	0
8102	512176	1	2	72	14	Anna	Szkanderová	F			50	staniční/pielęgniarka	Hrádek	99	72	0
8102	512176	1	2	72	15	Jiří	Lacek	M			48	podnikatel/przedsiębiorca	Hrádek	99	72	0
