OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
8102	598445	1	1	902	1	Petr	Stachura			33	živnostník	Morávka	99	80	0	M
8102	598445	1	2	167	1	Jaromír	Král			51	provozní zámečník	Morávka	99	167	0	M
8102	598445	1	3	901	1	Zdeněk	Ševčík	Ing.		53	starosta obce	Morávka	99	80	0	M
8102	598445	1	4	903	1	Štěpán	Bystřičan			57	samostatný projektant	Morávka	99	80	0	M
8102	598445	1	5	1	1	Jan	Legerský	Ing.		52	projektový manažer	Morávka	1	1	0	M
8102	598445	1	1	902	2	Jaromír	Vlček			43	živnostník	Morávka	99	80	0	M
8102	598445	1	2	167	2	Karel	Štefek	Bc.		27	projektant PBS	Morávka	99	167	0	M
8102	598445	1	3	901	2	Lenka	Kotásková			44	účetní	Morávka	99	80	0	F
8102	598445	1	4	903	2	Gabriela	Daňková	Mgr.		43	zástupce ředitele ZŠ	Morávka	99	80	0	F
8102	598445	1	5	1	2	Vítězslav	Höger			55	vedoucí střediska	Morávka	99	1	0	M
8102	598445	1	1	902	3	Petr	Pavlásek	Ing.		41	ředitel a.s.	Morávka	99	80	0	M
8102	598445	1	2	167	3	René	Pavlík			39	provozní elektrikář	Morávka	99	167	0	M
8102	598445	1	3	901	3	Martin	Foldyna	Ing.arch.		28	projektant	Morávka	99	80	0	M
8102	598445	1	4	903	3	Martin	Špok	Ing.		45	vedoucí metalurg	Morávka	99	80	0	M
8102	598445	1	5	1	3	Pavlína	Tošenovjanová	Bc.		38	personální referentka	Morávka	99	1	0	F
8102	598445	1	1	902	4	Lenka	Carbolová	MUDr.		37	lékařka	Morávka	99	80	0	F
8102	598445	1	2	167	4	Marie	Židková			53	dělnice	Morávka	99	167	0	F
8102	598445	1	3	901	4	Přemysl	Skotnica	Bc.		27	konstruktér	Morávka	99	80	0	M
8102	598445	1	4	903	4	Otto	Holoubek	Ing.		48	agronom	Morávka	99	80	0	M
8102	598445	1	5	1	4	Jaroslav	Kopřiva			37	montér plynovodů	Morávka	99	1	0	M
8102	598445	1	1	902	5	Hana	Zbořilová			29	zdrav. sestra	Morávka	99	80	0	F
8102	598445	1	2	167	5	Kamil	Poláček			38	OSVČ	Morávka	99	167	0	M
8102	598445	1	3	901	5	Miloš	Bulko			49	podnikatel	Morávka	99	80	0	M
8102	598445	1	4	903	5	Helena	Gřundělová			54	OSVČ	Morávka	99	80	0	F
8102	598445	1	5	1	5	Veronika	Velčovská			21	studentka	Morávka	99	1	0	F
8102	598445	1	1	902	6	Michal	Babulík	Ing.		31	zprostředkovatel leas.	Morávka	99	80	0	M
8102	598445	1	2	167	6	Radek	Muroň			25	podnikatel	Morávka	99	167	0	M
8102	598445	1	3	901	6	Bohuslav	Dujka			53	referent odb. dopravy	Morávka	99	80	0	M
8102	598445	1	4	903	6	Lubomír	Skotnica			36	OSVČ	Morávka	99	80	0	M
8102	598445	1	5	1	6	Františka	Kaňoková			57	v důchodu	Morávka	99	1	0	F
8102	598445	1	1	902	7	Karel	Koloničný			48	živnostník	Morávka	99	80	0	M
8102	598445	1	2	167	7	Petr	Kotásek			42	řidič silničář	Morávka	99	167	0	M
8102	598445	1	3	901	7	Alena	Burdová			56	účetní	Morávka	99	80	0	F
8102	598445	1	4	903	7	Jiří	Kubín			52	OSVČ	Morávka	99	80	0	M
8102	598445	1	5	1	7	Eduard	Foldyna			50	truhlář	Morávka	99	1	0	M
8102	598445	1	2	167	8	Roman	Černý			40	reviz. zámečník pro důl Paskov	Morávka	99	167	0	M
8102	598445	1	4	903	8	Jan	Carbol			55	OSVČ	Morávka	99	80	0	M
8102	598445	1	5	1	8	Václav	Kolek			56	školník	Morávka	99	1	0	M
8102	598445	1	2	167	9	Karel	Šebesta			63	důchodce	Morávka	99	167	0	M
8102	598445	1	4	903	9	Jan	Loryš			59	OSVČ	Morávka	99	80	0	M
8102	598445	1	5	1	9	Jiří	Hlisnikovský			58	zaměstnanec obce	Morávka	1	1	0	M
