OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6101	548260	1	1	808	1	Radim	Pešl	M			33	ved. skupiny vývoj. zkušebny	Bartoušov	99	80	0
6101	548260	1	2	805	1	Miloš	Fišar	M			36	zásobovač u stav. firmy	Bartoušov	99	80	0
6101	548260	1	3	804	1	Jaroslav	Fialka	M			35	zámečník	Bartoušov	99	80	0
6101	548260	1	4	803	1	Rudolf	Juhaňák	M			28	řidič	Bartoušov	99	80	0
6101	548260	1	5	810	1	Martin	Krečman	M			35	traktorista	Bartoušov	99	80	0
6101	548260	1	6	801	1	Zlatuše	Pátková	F			48	dělnice	Bartoušov	99	80	0
6101	548260	1	7	806	1	Lenka	Svobodová	F			40	laborantka	Bartoušov	99	80	0
6101	548260	1	8	802	1	Michala	Pátková	F		DiS.	27	administrativní pracovník	Bartoušov	99	80	0
6101	548260	1	9	809	1	Josef	Krečman	M			58	zedník	Bartoušov	99	80	0
6101	548260	1	10	807	1	Ivana	Fišarová	F			37	dělník	Bartoušov	99	80	0
