OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6205	586455	1	1	901	1	Josef	Holeš			46	OSVČ	Nová Lhota	99	80	0	M
6205	586455	1	2	902	1	Jan	Balada			54	zedník	Nová Lhota	99	80	0	M
6205	586455	1	3	905	1	Vlastimil	Pomajbík	Bc.		55	nezaměstnaný	Nová Lhota	99	80	0	M
6205	586455	1	4	903	1	Josef	Štipčák			53	OSVČ	Nová Lhota	99	80	0	M
6205	586455	1	5	904	1	Antonín	Okénka	Mgr.		30	starosta obce	Nová Lhota	99	80	0	M
6205	586455	1	6	1	1	Pavel	Malár			36	zedník	Nová Lhota	99	1	0	M
6205	586455	1	1	901	2	Josef	Bajko			56	řidič	Nová Lhota	99	80	0	M
6205	586455	1	2	902	2	Lukáš	Huserek		DiS.	28	administrativní pracovník	Nová Lhota	99	80	0	M
6205	586455	1	3	905	2	Antonín	Janás			40	OSVČ	Nová Lhota	99	80	0	M
6205	586455	1	4	903	2	Jan	Mlýnek			48	OSVČ	Nová Lhota	99	80	0	M
6205	586455	1	5	904	2	Jan	Bajko			52	OSVČ	Nová Lhota	99	80	0	M
6205	586455	1	6	1	2	Pavel	Fojtík			42	elektromechanik	Nová Lhota	1	1	0	M
6205	586455	1	1	901	3	Kamil	Kubík			29	stavební technik	Nová Lhota	99	80	0	M
6205	586455	1	2	902	3	Marie	Lukšíková			37	nezaměstnaná	Nová Lhota	99	80	0	F
6205	586455	1	3	905	3	Dušan	Weber			52	řidič	Nová Lhota	99	80	0	M
6205	586455	1	4	903	3	Libor	Klimek			40	OSVČ	Nová Lhota	99	80	0	M
6205	586455	1	5	904	3	Robin	Štipčák		DiS.	30	stavbyvedoucí	Nová Lhota	99	80	0	M
6205	586455	1	6	1	3	Zdeněk	Šajdler			38	automechanik	Nová Lhota	99	1	0	M
6205	586455	1	1	901	4	Petr	Špaček			33	lesní	Nová Lhota	99	80	0	M
6205	586455	1	2	902	4	Josef	Pinkava			34	stolař	Nová Lhota	99	80	0	M
6205	586455	1	3	905	4	Vlasta	Sobková			48	dělnice	Nová Lhota	99	80	0	F
6205	586455	1	4	903	4	Josef	Leskovan			44	dělník	Nová Lhota	99	80	0	M
6205	586455	1	5	904	4	Petr	Fusek	Bc.		24	student	Nová Lhota	99	80	0	M
6205	586455	1	6	1	4	Zdenek	Zemčík			60	důchodce	Nová Lhota	99	1	0	M
6205	586455	1	1	901	5	Miroslav	Norek			42	řidič	Nová Lhota	99	80	0	M
6205	586455	1	2	902	5	Josef	Režňák			26	plánovač výroby	Nová Lhota	99	80	0	M
6205	586455	1	3	905	5	Hana	Pomajbíková			50	obsluha čerp.stanice	Nová Lhota	99	80	0	F
6205	586455	1	4	903	5	Andrea	Štipčáková			29	administrativní pracovnice	Nová Lhota	99	80	0	F
6205	586455	1	5	904	5	Hana	Duráková			37	nezaměstnaný	Nová Lhota	99	80	0	F
6205	586455	1	6	1	5	Jan	Janás			49	zámečník	Nová Lhota	1	1	0	M
6205	586455	1	1	901	6	Marie	Štipčáková			49	pomocná kuchařka	Nová Lhota	99	80	0	F
6205	586455	1	2	902	6	Petr	Koláček			28	nezaměstnaný	Nová Lhota	99	80	0	M
6205	586455	1	3	905	6	Zdeněk	Vojtek			47	OSVČ	Nová Lhota	99	80	0	M
6205	586455	1	4	903	6	Josef	Mikeska			35	OSVČ	Nová Lhota	99	80	0	M
6205	586455	1	5	904	6	Marcel	Mikeska			30	OSVČ	Nová Lhota	99	80	0	M
6205	586455	1	6	1	6	František	Kazík			63	důchodce	Nová Lhota	99	1	0	M
6205	586455	1	1	901	7	Jan	Kubík			53	instalatér	Nová Lhota	99	80	0	M
6205	586455	1	2	902	7	Petra	Pavlačková			29	prodavačka	Nová Lhota	99	80	0	F
6205	586455	1	3	905	7	Jan	Šajdler			36	dělník	Nová Lhota	99	80	0	M
6205	586455	1	4	903	7	Ludmila	Fojtíková			34	dělník	Nová Lhota	99	80	0	F
6205	586455	1	5	904	7	Anděla	Čambalová			48	dělnice	Nová Lhota	99	80	0	F
6205	586455	1	6	1	7	Josef	Šajdler			46	řidič	Nová Lhota	99	1	0	M
6205	586455	1	1	901	8	Tomáš	Mikeska			40	OSVČ	Nová Lhota	99	80	0	M
6205	586455	1	2	902	8	Jan	Tokoš			22	automechanik	Nová Lhota	99	80	0	M
6205	586455	1	4	903	8	František	Janůš			41	stolař	Nová Lhota	99	80	0	M
6205	586455	1	5	904	8	Jan	Štipčák			38	OSVČ	Nová Lhota	99	80	0	M
6205	586455	1	6	1	8	Anna	Kazíková			60	důchodce	Nová Lhota	99	1	0	F
6205	586455	1	1	901	9	Jaroslav	Štipčák	Ing.		24	technolog	Nová Lhota	99	80	0	M
6205	586455	1	2	902	9	Ondřej	Čech			29	pekař	Nová Lhota	99	80	0	M
6205	586455	1	4	903	9	Marián	Mikéska			24	OSVČ	Nová Lhota	99	80	0	M
6205	586455	1	5	904	9	Jindřich	Bajko	Bc.		26	student	Nová Lhota	99	80	0	M
6205	586455	1	6	1	9	Ondřej	Štipčák			65	důchodce	Nová Lhota	99	1	0	M
