OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6205	586790	1	1	902	1	Jaroslav	Válka	M			39	o.s.v.č.	Žarošice	99	80	0
6205	586790	1	1	902	2	Petr	Plachý	M	Ing.		30	konstruktér	Žarošice	99	80	0
6205	586790	1	1	902	3	Petr	Moleš	M			26	profesionální hasič	Žarošice	99	80	0
6205	586790	1	1	902	4	Raimund	Miksl	M	MUDr.		53	lékař	Žarošice	99	80	0
6205	586790	1	1	902	5	Jiří	Kacer	M	Ing.	Ph.D.	38	vysokoškolský učitel	Žarošice	99	80	0
6205	586790	1	1	902	6	František	Plachý	M			39	telekomunikační technik	Žarošice	99	80	0
6205	586790	1	1	902	7	Martin	Šašinka	M			41	montér	Žarošice	99	80	0
6205	586790	1	1	902	8	Jana	Horáčková	F			22	studentka	Žarošice	99	80	0
6205	586790	1	1	902	9	Martin	Belák	M			35	autoklempíř	Žarošice	99	80	0
6205	586790	1	1	902	10	Stanislav	Vágner	M			31	automechanik	Žarošice	99	80	0
6205	586790	1	1	902	11	Michal	Barva	M			32	automechanik	Žarošice	99	80	0
6205	586790	1	1	902	12	Karel	Piskoř	M			30	státní zaměstnanec	Žarošice	99	80	0
6205	586790	1	1	902	13	Jan	Kröner ml.	M			27	policista	Žarošice	99	80	0
6205	586790	1	1	902	14	Marie	Lisalová	F			25	učitelka MŠ	Žarošice	99	80	0
6205	586790	1	1	902	15	Jaroslav	Šmerda	M			35	opravář zemědělských strojů	Žarošice	99	80	0
6205	586790	1	2	7	1	Jana	Mackrlová	F	Ing.		47	ekonomka	Žarošice	7	7	0
6205	586790	1	2	7	2	Marek	Pavlica	M			41	manažer	Žarošice	7	7	0
6205	586790	1	2	7	3	Radim	Sedláček	M			32	vedoucí výroby	Žarošice	7	7	0
6205	586790	1	2	7	4	Roman	Lattenberg	M			44	dělník	Žarošice	7	7	0
6205	586790	1	2	7	5	Pavel	Řičánek	M			37	dělník	Žarošice	7	7	0
6205	586790	1	2	7	6	Radek	Fiala	M			41	technik	Žarošice	7	7	0
6205	586790	1	2	7	7	Jaroslav	Hroudný	M			47	strážný	Žarošice	7	7	0
6205	586790	1	2	7	8	Jana	Sedláčková	F			34	prodavačka	Žarošice	7	7	0
6205	586790	1	2	7	9	Marie	Valášková	F			47	fakturantka	Žarošice	99	7	0
6205	586790	1	2	7	10	Jiří	Sedláček	M			39	vodař	Žarošice	7	7	0
6205	586790	1	2	7	11	Roman	Muroň	M			33	správce muzea	Žarošice	7	7	0
6205	586790	1	2	7	12	Věra	Loskotová	F	Mgr.		62	důchodkyně	Žarošice	99	7	0
6205	586790	1	2	7	13	Martin	Plachý	M			32	technik	Žarošice	99	7	0
6205	586790	1	2	7	14	Vladimír	Mackrle	M	Ing.		48	podnikatel	Žarošice	7	7	0
6205	586790	1	2	7	15	Petr	Šilder	M			27	zedník	Žarošice	7	7	0
6205	586790	1	3	901	1	Václav	Vágner	M			53	ekonomický ředitel	Žarošice	99	80	0
6205	586790	1	3	901	2	Zdeněk	Šťastný	M	Ing.		61	stavební technik	Žarošice	99	80	0
6205	586790	1	3	901	3	Pavel	Hanák	M	Ing.		47	geodet	Žarošice	99	80	0
6205	586790	1	3	901	4	Miloš	Křížka	M	Ing.		38	projektant	Žarošice	99	80	0
6205	586790	1	3	901	5	Jiří	Maleňák	M			38	vedoucí obchodu logistiky	Žarošice	99	80	0
6205	586790	1	3	901	6	Dušan	Adamec	M			36	technik	Žarošice	99	80	0
6205	586790	1	3	901	7	Zdeněk	Žaroský	M			50	dělník	Žarošice	99	80	0
6205	586790	1	3	901	8	Zbyněk	Válka	M			37	dělník	Žarošice	99	80	0
6205	586790	1	3	901	9	Jana	Halasová	F			44	účetní	Žarošice	99	80	0
6205	586790	1	3	901	10	Ladislav	Ravas	M	Ing.		35	projektant	Žarošice	99	80	0
6205	586790	1	3	901	11	Jaroslav	Luskač	M			39	státní zaměstnanec	Žarošice	99	80	0
6205	586790	1	3	901	12	Miroslav	Polcr	M			54	technik	Žarošice	99	80	0
6205	586790	1	3	901	13	Luděk	Živěla	M			42	soukromý podnikatel	Žarošice	99	80	0
6205	586790	1	3	901	14	Vladimír	Mazal	M			50	zedník	Žarošice	99	80	0
6205	586790	1	3	901	15	Petra	Flodrová	F	Ing.		32	technik	Žarošice	99	80	0
6205	586790	1	4	1	1	Jan	Vrzal	M			47	osoba samostat.výděl.činná	Žarošice	1	1	0
6205	586790	1	4	1	2	Marta	Vachová	F			55	úřednice	Žarošice	1	1	0
6205	586790	1	4	1	3	Marcela	Buchlovská	F			37	mistrová	Žarošice	1	1	0
6205	586790	1	4	1	4	Marie	Dohnalíková	F			42	účetní	Žarošice	99	1	0
6205	586790	1	4	1	5	Marie	Křetinská	F			63	důchodkyně	Žarošice	99	1	0
6205	586790	1	4	1	6	Vladimír	Plachý	M			56	konstruktér	Žarošice	99	1	0
6205	586790	1	4	1	7	František	Plachý	M			63	důchodce	Žarošice	1	1	0
6205	586790	1	4	1	8	Stanislav	Vágner	M			63	důchodce	Žarošice	1	1	0
6205	586790	1	4	1	9	Jaroslav	Moleš	M			52	dělník	Žarošice	99	1	0
6205	586790	1	4	1	10	František	Černý	M			44	dělník	Žarošice	1	1	0
6205	586790	1	4	1	11	Pavel	Šeffer	M			49	tesař	Žarošice	1	1	0
6205	586790	1	4	1	12	Václav	Ždánský	M			41	dělník	Žarošice	1	1	0
6205	586790	1	4	1	13	Miroslav	Švábík	M			52	dělník	Žarošice	1	1	0
6205	586790	1	4	1	14	Ludmila	Beláková	F			58	důchodkyně	Žarošice	99	1	0
6205	586790	1	4	1	15	Jakub	Valian	M			33	dělník	Žarošice	99	1	0
