OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5201	570672	1	1	7	1	Vladimír	Vyleťal	M			47	podnikatel	Předměřice nad Labem	99	7	0
5201	570672	1	1	7	2	Jaroslav	Zemek	M			44	mechanik elektron. zařízení	Předměřice nad Labem	99	7	0
5201	570672	1	1	7	3	Karel	Bareš	M			37	technik	Předměřice nad Labem	99	7	0
5201	570672	1	1	7	4	Petr	Krejčík	M			44	automechanik	Předměřice nad Labem	99	7	0
5201	570672	1	1	7	5	Petr	Šimrád	M	Ing.		53	odborný technik	Předměřice nad Labem	99	7	0
5201	570672	1	1	7	6	Libor	Filip	M			31	IT technik	Předměřice nad Labem	99	7	0
5201	570672	1	1	7	7	Ivana	Žižková	F			45	poštovní doručovatelka	Předměřice nad Labem	99	7	0
5201	570672	1	1	7	8	Petr	Vrbata	M			64	podnikatel	Předměřice nad Labem	99	7	0
5201	570672	1	1	7	9	Karel	Šperk	M			60	podnikatel	Předměřice nad Labem	99	7	0
5201	570672	1	1	7	10	Eva	Ludvíková	F			61	podnikatelka v pohostinství	Předměřice nad Labem	99	7	0
5201	570672	1	1	7	11	Jan	Zadrobílek	M			31	automechanik	Předměřice nad Labem	99	7	0
5201	570672	1	1	7	12	Ladislav	Konrád	M			68	důchodce	Předměřice nad Labem	7	7	0
5201	570672	1	1	7	13	Milan	Fabo	M			42	podnikatel	Předměřice nad Labem	99	7	0
5201	570672	1	1	7	14	Karel	Krejčík	M			80	důchodce	Předměřice nad Labem	7	7	0
5201	570672	1	1	7	15	Karel	Bareš	M			62	podnikatel	Předměřice nad Labem	7	7	0
5201	570672	1	2	53	1	Stanislava	Marková	F			55	úřednice	Předměřice nad Labem	99	53	0
5201	570672	1	2	53	2	Jiří	Kliment	M	Ing.		36	technik	Předměřice nad Labem	53	53	0
5201	570672	1	2	53	3	Pavlína	Trousilová	F			41	farmaceutický asistent	Předměřice nad Labem	53	53	0
5201	570672	1	2	53	4	Miroslav	Všetečka	M			60	důchodce	Předměřice nad Labem	53	53	0
5201	570672	1	2	53	5	Tomáš	Mikolášek	M	Ing.		36	ekonom	Předměřice nad Labem	99	53	0
5201	570672	1	2	53	6	Jan	Čásenský	M	Ing.		47	ekonom	Předměřice nad Labem	99	53	0
5201	570672	1	2	53	7	Stanislava	Hrušková	F			46	zdravotní sestra	Předměřice nad Labem	99	53	0
5201	570672	1	2	53	8	Robert	Hegedüs	M			35	technik	Předměřice nad Labem	99	53	0
5201	570672	1	2	53	9	Ivan	Uher	M			49	technik	Předměřice nad Labem	99	53	0
5201	570672	1	2	53	10	Miroslav	Sládek	M			64	podnikatel	Předměřice nad Labem	99	53	0
5201	570672	1	2	53	11	Pavel	Bartoš	M			32	plynárenský technik	Předměřice nad Labem	99	53	0
5201	570672	1	2	53	12	Jaroslav	Bouček	M			31	řidič	Předměřice nad Labem	99	53	0
5201	570672	1	2	53	13	Martin	Rob	M			41	řidič	Předměřice nad Labem	99	53	0
5201	570672	1	2	53	14	Jana	Ondejčíková	F			69	důchodce	Předměřice nad Labem	99	53	0
5201	570672	1	2	53	15	Michal	Vančík	M	MUDr.		74	důchodce	Předměřice nad Labem	99	53	0
