OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5201	570869	1	1	88	1	Ladislav	Hořejšek			64	technický pracovník	Smidary	99	88	0	M
5201	570869	1	2	901	1	Vladimír	Suchánek			52	úředník	Smidary	99	80	0	M
5201	570869	1	3	47	1	Jiří	Vobořil			63	důchodce	Loučná Hora	99	47	0	M
5201	570869	1	4	129	1	Dana	Draštíková			51	starostka	Smidary	99	129	0	F
5201	570869	1	1	88	2	Zdeněk	Berný			59	provozář	Chotělice	99	88	0	M
5201	570869	1	2	901	2	Milan	Nosek			44	technik rostl. výroby	Červeněves	99	80	0	M
5201	570869	1	3	47	2	Marie	Rajmová			54	prac. soc. sl.	Červeněves	99	47	0	F
5201	570869	1	4	129	2	Aleš	Gracík	Mgr.		38	advokát	Chotělice	99	129	0	M
5201	570869	1	1	88	3	Josef	Řeháček			28	vedoucí expedice	Chotělice	99	88	0	M
5201	570869	1	2	901	3	Jaroslava	Šafková			39	učitelka	Smidary	99	80	0	F
5201	570869	1	3	47	3	Věra	Orlová			30	asistent pedag.	Červeněves	99	47	0	F
5201	570869	1	4	129	3	Jana	Šedivá			58	vychovatelka	Loučná Hora	99	129	0	F
5201	570869	1	1	88	4	Martin	Břízek			28	OSVČ	Loučná Hora	99	88	0	M
5201	570869	1	2	901	4	Alena	Purmová			32	ekonomka	Křičov	99	80	0	F
5201	570869	1	3	47	4	Vladimír	Horák			63	důchodce	Smidary	99	47	0	M
5201	570869	1	4	129	4	Radek	Ságner			29	vedoucí logistiky	Křičov	99	129	0	M
5201	570869	1	1	88	5	Václav	Kutifel			48	technický pracovník	Smidary	99	88	0	M
5201	570869	1	2	901	5	Jan	Šefara			48	vedoucí provozu	Smidary	99	80	0	M
5201	570869	1	3	47	5	Soňa	Šenková			46	kontrolorka	Smidary	99	47	0	F
5201	570869	1	4	129	5	Lenka	Bartáková			36	projektantka	Červeněves	99	129	0	F
5201	570869	1	1	88	6	Milan	Medek			36	team leader	Chotělice	99	88	0	M
5201	570869	1	2	901	6	Olga	Rohlíčková			44	ekonomka	Červeněves	99	80	0	F
5201	570869	1	3	47	6	Petr	Vaníček			44	pracovník bezp. agentury	Smidary	99	47	0	M
5201	570869	1	4	129	6	Jaroslav	Mareš			39	podnikatel	Smidary	99	129	0	M
5201	570869	1	1	88	7	Václav	Hlásek			59	podnikatel	Smidary	99	88	0	M
5201	570869	1	2	901	7	Dana	Záveská			34	prodavačka	Smidary	99	80	0	F
5201	570869	1	3	47	7	Marie	Rychterová			60	důchodkyně	Červeněves	99	47	0	F
5201	570869	1	4	129	7	Jiří	Slavík			38	zámečník	Chotělice	99	129	0	M
5201	570869	1	1	88	8	Petr	Trejbal			53	hasič	Smidary	99	88	0	M
5201	570869	1	2	901	8	Vít	Dostál			37	zahradník	Chotělice	99	80	0	M
5201	570869	1	3	47	8	Miloslava	Kulichová			50	prodavačka	Loučná Hora	99	47	0	F
5201	570869	1	4	129	8	Miroslav	Svoboda			45	pracovník OÚ	Loučná Hora	99	129	0	M
5201	570869	1	1	88	9	Zuzana	Maternová			22	vlakvedoucí	Smidary	99	88	0	F
5201	570869	1	2	901	9	Bohumír	Šedivý			34	prac. bezpeč. agentury	Červeněves	99	80	0	M
5201	570869	1	3	47	9	Václav	Pešek			69	důchodce	Loučná Hora	99	47	0	M
5201	570869	1	4	129	9	Miloslav	Fučík			39	elektrikář	Smidary	99	129	0	M
5201	570869	1	1	88	10	Jaroslava	Charizanová			41	vlakvedoucí	Smidary	99	88	0	F
5201	570869	1	2	901	10	Šárka	Trejbalová			30	prodavačka	Loučná Hora	99	80	0	F
5201	570869	1	3	47	10	Josef	Absolon			46	důchodce	Smidary	99	47	0	M
5201	570869	1	4	129	10	Zdeněk	Purma			40	elektrikář	Smidary	99	129	0	M
5201	570869	1	1	88	11	Jiří	Charizan			46	dělník	Smidary	99	88	0	M
5201	570869	1	2	901	11	Ivo	Kulich			52	řidič	Loučná Hora	99	80	0	M
5201	570869	1	3	47	11	Markéta	Štroblová			29	úřednice	Loučná Hora	99	47	0	F
5201	570869	1	4	129	11	Eva	Břízková			48	pracovník sociální péče	Loučná Hora	99	129	0	F
5201	570869	1	1	88	12	Josef	Šusta			61	invalidní důchodce	Smidary	99	88	0	M
5201	570869	1	2	901	12	Miloslav	Záveský			37	podnikatel	Křičov	99	80	0	M
5201	570869	1	3	47	12	Zdeněk	Novotný			48	nezaměstnaný	Smidary	99	47	0	M
5201	570869	1	4	129	12	Zdeněk	Berný			32	řidič	Chotělice	99	129	0	M
5201	570869	1	1	88	13	Aleš	Záveský			35	automechanik	Smidary	99	88	0	M
5201	570869	1	2	901	13	Martina	Karbanová			21	studentka	Smidary	99	80	0	F
5201	570869	1	4	129	13	Lenka	Hušková			48	účetní	Smidary	99	129	0	F
5201	570869	1	1	88	14	Josef	Frýda			64	invalidní důchodce	Smidary	99	88	0	M
5201	570869	1	2	901	14	Jiří	Šulc			40	dělník	Křičov	99	80	0	M
5201	570869	1	4	129	14	Richard	Zábranský			23	student	Smidary	99	129	0	M
5201	570869	1	1	88	15	Martin	Řeháček			26	dělník	Chotělice	99	88	0	M
5201	570869	1	2	901	15	Martin	Hloucal			35	konstruktér	Smidary	99	80	0	M
5201	570869	1	4	129	15	Ondřej	Havlíček	Bc.		25	student	Smidary	99	129	0	M
