OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5102	563790	1	1	389	1	Martin	Vágner	Ing.		38	bankovní specialista	Rychnov u Jablonce nad Nisou	53	53	0	M
5102	563790	1	2	901	1	František	Chlouba	Ing.		56	t.č. starosta	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	3	144	1	Ludmila	Rellichová			47	majitelka SUŠ,taneční pedagog	Rychnov u Jablonce nad Nisou	144	144	0	F
5102	563790	1	4	7	1	Miroslav	Janoušek			29	technik IT	Rychnov u Jablonce nad Nisou	7	7	0	M
5102	563790	1	5	137	1	Miroslav	Fadrhons	Ing.		49	obchodní ředitel	Rychnov u Jablonce nad Nisou	99	137	0	M
5102	563790	1	6	419	1	Tomáš	Hofrichter	RNDr.	Ph.D.	41	ředitel školy	Rychnov u Jablonce nad Nisou	99	129	0	M
5102	563790	1	7	902	1	Iveta	Čaňková	Mgr.		41	advokátka	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	1	389	2	Jaromír	Palán	Ing.		34	projektový manažer	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	2	901	2	Oldřich	Preisler			60	výrobce forem na sklo	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	3	144	2	Libor	Hanyk			26	skladník	Rychnov u Jablonce nad Nisou	99	144	0	M
5102	563790	1	4	7	2	Jaroslava	Benešová			41	vrchní sestra interního odděl.	Rychnov u Jablonce nad Nisou	99	7	0	F
5102	563790	1	5	137	2	Ludvík	Hasík			47	obchodní manager	Rychnov u Jablonce nad Nisou	99	137	0	M
5102	563790	1	6	419	2	David	Hofrichter	Ing.		36	technický ředitel	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	7	902	2	František	Polesný			44	podnikatel	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	1	389	3	Miroslav	Žabka	Ing.		33	produktový manažer	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	2	901	3	Radek	Veverka			49	pracovník pojišťovny	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	3	144	3	Jan	Stuchlík			36	produktový manažer	Rychnov u Jablonce nad Nisou	99	144	0	M
5102	563790	1	4	7	3	Walter	Pecher			66	důchodce	Rychnov u Jablonce nad Nisou	99	7	0	M
5102	563790	1	5	137	3	Iveta	Gertnerová			41	referent Tourist service	Rychnov u Jablonce nad Nisou	99	137	0	F
5102	563790	1	6	419	3	Leoš	Adler	Ing.		35	výrobní ekonom	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	7	902	3	Olga	Hrdinová			35	podnikatelka	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	1	389	4	Jiří	Melichar			33	řezník	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	2	901	4	Pavel	Hořejš	Ing.		57	technik	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	3	144	4	Radomír	Vacek	Prom.Mat.		46	analytik	Rychnov u Jablonce nad Nisou	99	144	0	M
5102	563790	1	4	7	4	Jindřich	Kurfiřt	Mgr.		72	důchodce	Rychnov u Jablonce nad Nisou	99	7	0	M
5102	563790	1	5	137	4	Lucie	Šmídová	Ing.		27	vedoucí marketingu	Rychnov u Jablonce nad Nisou	99	137	0	F
5102	563790	1	6	419	4	Radek	Čermák	Bc.		36	vedoucí výroby	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	7	902	4	František	Dědek			58	soustružník	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	1	389	5	Jana	Margolusová			52	živnostnice	Rychnov u Jablonce nad Nisou	53	53	0	F
5102	563790	1	2	901	5	Milada	Žabková			64	chemik	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	3	144	5	Petr	Patka		Dis.	28	mistr v České mincovně	Rychnov u Jablonce nad Nisou	99	144	0	M
5102	563790	1	4	7	5	Alena	Karešová		DiS.	26	státní zaměstnanec	Rychnov u Jablonce nad Nisou	7	7	0	F
5102	563790	1	5	137	5	Ivana	Landová			43	obchodní zástupce	Rychnov u Jablonce nad Nisou	99	137	0	F
5102	563790	1	6	419	5	Martin	Poláček			42	soukromý podnikatel v oboru sl	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	7	902	5	Karel	Špelina			41	státní zaměstnanec	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	1	389	6	Petra	Svobodová	Mgr.		35	učitelka na základní škole	Rychnov u Jablonce nad Nisou	99	53	0	F
5102	563790	1	2	901	6	Jaroslav	Kovářík			67	technický ředitel FC Slovan L.	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	3	144	6	David	Fučík			36	zaměstnanec cestovní kanceláře	Rychnov u Jablonce nad Nisou	99	144	0	M
5102	563790	1	4	7	6	Petra	Rejfová			36	mateřská dovolená	Rychnov u Jablonce nad Nisou	99	7	0	F
5102	563790	1	6	419	6	Jan	Kuchynka			37	technický ředitel	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	7	902	6	Rostislav	Mocko			37	vedoucí střediska MHD	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	1	389	7	Filip	Vrátný			27	zlatník	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	2	901	7	Jaroslav	Dvořák			46	živnostník	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	3	144	7	Ivanka	Pořízková	Ing.		60	důchodce	Rychnov u Jablonce nad Nisou	99	144	0	F
5102	563790	1	4	7	7	Jarmila	Sochorová			36	administrativní a spisový pr.	Rychnov u Jablonce nad Nisou	99	7	0	F
5102	563790	1	6	419	7	Miroslav	Hozák			41	vedoucí správy majetku	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	7	902	7	Věra	Skořepová			63	úřednice	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	1	389	8	Martin	Kaufmann			45	autodopravce	Rychnov u Jablonce nad Nisou	53	53	0	M
5102	563790	1	2	901	8	Petr	Bartoň	Ing.		42	hasič- ředitel územního odboru	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	3	144	8	Miroslav	Ptáček			52	podnikatel	Rychnov u Jablonce nad Nisou	99	144	0	M
5102	563790	1	6	419	8	Miroslav	Puchrík			37	vedoucí výroby	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	7	902	8	Josef	Kučera			50	obchodní ředitel	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	1	389	9	Tomáš	Levinský			32	státní zaměstnanec	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	2	901	9	Hana	Topinková			36	matka v domácnosti	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	3	144	9	Dana	Kozáková			49	učitelka MŠ	Rychnov u Jablonce nad Nisou	99	144	0	F
5102	563790	1	6	419	9	Zuzana	Kuchynkova			34	živnostnice v oboru zpracování	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	7	902	9	Jaroslava	Kopová			43	prodejce aut	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	1	389	10	Tomáš	Hašek			34	marketingový specialista	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	2	901	10	Simona	Rašínová	MUDr.		41	lékařka	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	3	144	10	Vladana	Preislerová			33	trenérka atletického oddílu	Rychnov u Jablonce nad Nisou	99	144	0	F
5102	563790	1	6	419	10	Michal	Poláček			35	živnostník v oboru elektromon.	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	7	902	10	Ladislav	Zítka			48	strojní zámečník	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	1	389	11	Jiří	Manhart			34	vedoucí výroby	Rychnov u Jablonce nad Nisou	99	53	0	M
5102	563790	1	2	901	11	Jan	Patočka	Ing.		43	bankovní specialista - ředitel	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	3	144	11	Lucie	Tomíčková			25	podnikatelka	Rychnov u Jablonce nad Nisou	99	144	0	F
5102	563790	1	6	419	11	Vojtěch	Žabka	Ing.		36	technický manažer	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	7	902	11	Milan	Feix			57	podnikatel	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	1	389	12	Miroslav	Knotek	Ing.		48	jednatel kovoobráběčské firmy	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	2	901	12	Lenka	Paldusová			47	zásobovačka	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	3	144	12	Pavel	Janda			49	podnikatel	Rychnov u Jablonce nad Nisou	99	144	0	M
5102	563790	1	6	419	12	Radek	Liška			36	zámečník	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	7	902	12	Josef	Drobník			63	frézař	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	1	389	13	Petr	Flodrman			46	sportovní ředitel fotbal.klubu	Rychnov u Jablonce nad Nisou	99	53	0	M
5102	563790	1	2	901	13	Kateřina	Kroisová			36	podnikatelka	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	3	144	13	Drahomíra	Jakubčáková			53	školnice	Pelíkovice	99	144	0	F
5102	563790	1	6	419	13	Pavla	Filipi	Ing.		40	bankovní poradce	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	7	902	13	Jaroslav	Šťovíček			66	sklář	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	1	389	14	Dagmar	Zvonařová			57	učitelka v mateřské škole	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	2	901	14	Aleš	Dostál			57	živnostník	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	3	144	14	Šárka	Hauerová			35	ekonom	Rychnov u Jablonce nad Nisou	99	144	0	F
5102	563790	1	6	419	14	Václav	Kalaš			36	zámečník	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	7	902	14	Miroslav	Skřivánek			41	technik	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	1	389	15	Zdeněk	Dvořák			52	živnostník	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	2	901	15	Miluše	Bubeníková	Mgr.		49	učitelka	Rychnov u Jablonce nad Nisou	99	80	0	F
5102	563790	1	3	144	15	Jaroslav	Jakubec			64	majitel výrobny pařených sýrů	Rychnov u Jablonce nad Nisou	99	144	0	M
5102	563790	1	6	419	15	Jiří	Horváth	Ing.		34	finanční ředitel	Rychnov u Jablonce nad Nisou	99	80	0	M
5102	563790	1	7	902	15	Pavel	Černý			59	elektromechanik	Rychnov u Jablonce nad Nisou	99	80	0	M
