OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7101	536148	1	1	129	1	Jiří	Jura	M			42	starosta	Javorník	99	129	0
7101	536148	1	1	129	2	Ivana	Konečná	F	Mgr.		46	státní zaměstnanec	Javorník	99	129	0
7101	536148	1	1	129	3	Zbyněk	Hanzl	M	Bc.		51	technik	Javorník	99	129	0
7101	536148	1	1	129	4	Kateřina	Danielová	F	Bc.		31	správce památkového objektu	Javorník	99	129	0
7101	536148	1	1	129	5	Petr	Bednařík	M	Mgr.		47	státní zaměstnanec	Javorník	99	129	0
7101	536148	1	1	129	6	Robin	Daňa	M			29	podnikatel	Javorník	99	129	0
7101	536148	1	1	129	7	Antonín	Zourek ml.	M			24	podnikatel	Javorník	99	129	0
7101	536148	1	1	129	8	Dominik	Caha	M	Ing.		33	podnikatel	Javorník	99	129	0
7101	536148	1	1	129	9	Vladimír	Schubert	M			48	podnikatel	Javorník	99	129	0
7101	536148	1	1	129	10	Ivana	Danielová	F	Bc.		34	státní úředník	Javorník	99	129	0
7101	536148	1	1	129	11	Jiří	Švábek	M			61	důchodce	Javorník	99	129	0
7101	536148	1	1	129	12	Radek	Kubinec	M			38	technik elektro	Javorník	99	129	0
7101	536148	1	1	129	13	Jarmila	Gondeková	F			44	živnostník	Javorník	99	129	0
7101	536148	1	1	129	14	Zdeněk	Kadlec	M			51	strojvůdce ČD	Javorník	99	129	0
7101	536148	1	1	129	15	Vlastimil	Buryánek	M			38	mistr trati ČD	Javorník	99	129	0
7101	536148	1	2	7	1	Petr	Mimra	M	Ing.		52	místostarosta, krajský zastup.	Javorník	7	7	0
7101	536148	1	2	7	2	Vlastimil	Daňa	M			56	elektromontér	Javorník	99	7	0
7101	536148	1	2	7	3	Lenka	Hečková	F			45	doručovatelka tisku	Javorník	7	7	0
7101	536148	1	2	7	4	Kamil	Surovík	M	Ing.		41	ekonom	Javorník	99	7	0
7101	536148	1	2	7	5	Jana	Záhorská	F			45	zprostředkovatelka ÚP	Javorník	99	7	0
7101	536148	1	2	7	6	Miroslav	Gavlas	M	Ing.		54	učitel	Javorník	99	7	0
7101	536148	1	2	7	7	Marko	Argirovský	M			38	konstruktér	Javorník	99	7	0
7101	536148	1	2	7	8	Pavel	Kozub	M			62	důchodce	Javorník	99	7	0
