OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3103	546127	1	1	7	1	Jan	Tůma	M			28	regionální obchodní zástupce	Dačice	7	7	0
3103	546127	1	1	7	2	Luboš	Stejskal	M	Ing.		45	zástupce ředitele školy	Dačice	99	7	0
3103	546127	1	1	7	3	Miloš	Krejcar	M	Bc.		24	student	Dačice	99	7	0
3103	546127	1	1	7	4	Vladislav	Říha	M			62	důchodce	Dačice	7	7	0
3103	546127	1	1	7	5	Miroslav	Tuček	M			58	důchodce	Dačice	99	7	0
3103	546127	1	1	7	6	Ludvík	Fabeš	M	MVDr.		66	veterinární lékař	Dačice	99	7	0
3103	546127	1	1	7	7	Antonín	Procházka	M			52	podnikatel	Dačice	99	7	0
3103	546127	1	1	7	8	Jana	Junková	F			61	důchodkyně	Hostkovice	99	7	0
3103	546127	1	1	7	9	Jaromír	Krupka	M	PaedDr.		65	pedagog	Dačice	99	7	0
3103	546127	1	1	7	10	Milan	Chalupa	M	Ing.		28	technik	Dačice	99	7	0
3103	546127	1	1	7	11	Jaroslava	Hejnová	F			33	zdravotní sestra	Dačice	99	7	0
3103	546127	1	1	7	12	Jiří	Marek	M			58	vedoucí střediska	Dačice	99	7	0
3103	546127	1	1	7	13	Ladislava	Fabešová	F	MUDr.		58	lékařka	Dačice	99	7	0
3103	546127	1	1	7	14	Radek	Lindner	M			40	dělník	Dačice	99	7	0
3103	546127	1	1	7	15	Marta	Sekaninová	F			52	podnikatelka	Dačice	99	7	0
3103	546127	1	1	7	16	Karel	Pfeifer	M	Ing.		64	konzultant prodeje	Dačice	7	7	0
3103	546127	1	1	7	17	Miloš	Papež	M			25	dělník	Dačice	99	7	0
3103	546127	1	1	7	18	Irena	Krejčová	F			36	účetní	Dolní Němčice	99	7	0
3103	546127	1	1	7	19	Antonín	Tovačovský	M			23	prodavač	Dačice	99	7	0
3103	546127	1	1	7	20	Alžběta	Ficová	F			69	důchodkyně	Dačice	7	7	0
3103	546127	1	1	7	21	Radek	Povalač	M			33	řidič	Dačice	99	7	0
3103	546127	1	2	901	1	Milan	Bastl	M			40	podnikatel	Dačice	99	80	0
3103	546127	1	2	901	2	Lubomír	Kloiber	M			53	obchodní zástupce	Dačice	99	80	0
3103	546127	1	2	901	3	Ctibor	Blaha	M	MUDr.		60	lékař	Dačice	99	80	0
3103	546127	1	2	901	4	Sylva	Mrkvičková	F			59	podnikatelka	Dačice	99	80	0
3103	546127	1	2	901	5	Vladimír	Tůma	M	Ing.		29	živnostník	Dačice	99	80	0
3103	546127	1	2	901	6	Ladislav	Stejskal	M			48	policista	Dačice	99	80	0
3103	546127	1	2	901	7	Jaroslav	Němec	M			66	technik	Dačice	99	80	0
3103	546127	1	2	901	8	Eva	Homolková	F			44	podnikatelka	Borek	99	80	0
3103	546127	1	2	901	9	Tereza	Stejskalová	F			21	studentka	Dačice	99	80	0
3103	546127	1	2	901	10	Hana	Maťáková	F			42	floristka	Dačice	99	80	0
3103	546127	1	2	901	11	Radka	Šimurdová	F	Ing.		26	projektantka	Dačice	99	80	0
3103	546127	1	2	901	12	Jiří	Němec	M			31	skladník	Dačice	99	80	0
3103	546127	1	2	901	13	Antonín	Dvořák	M	Ing.	CSc.	65	podnikatel	Dačice	99	80	0
3103	546127	1	2	901	14	František	Beníček	M	Ing.		75	podnikatel	Bílkov	99	80	0
3103	546127	1	2	901	15	Josef	Šamal	M			62	podnikatel	Dolní Němčice	99	80	0
3103	546127	1	2	901	16	Ludvík	Budíček	M			64	zásobovač	Dačice	99	80	0
3103	546127	1	2	901	17	Lenka	Němcová	F	Bc.		32	administrativní pracovnice	Dačice	99	80	0
3103	546127	1	2	901	18	Marta	Baštářová	F			60	zdravotní sestra	Dačice	99	80	0
3103	546127	1	2	901	19	Vlastimil	Břečka	M			62	živnostník	Dačice	99	80	0
3103	546127	1	2	901	20	Tomáš	Petrů	M			43	podnikatel	Dačice	99	80	0
3103	546127	1	2	901	21	Vladimír	Tůma	M			56	živnostník	Dačice	99	80	0
3103	546127	1	3	47	1	Vlastislav	Švec	M			32	hasič	Dačice	99	47	0
3103	546127	1	3	47	2	Josef	Marek	M			63	důchodce	Dačice	47	47	0
3103	546127	1	3	47	3	Stanislav	Kadrnožka	M			67	důchodce	Dačice	47	47	0
