OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
8103	598968	1	1	392	1	Josef	Tobola	Ing.		58	podnikatel	Věřňovice	72	72	0	M
8103	598968	1	2	88	1	Jan	Fismol	Bc.		63	místostarosta	Dolní Lutyně	88	88	0	M
8103	598968	1	3	1	1	Jana	Josieková	Mgr.		46	ředitelka ZŠ	Dolní Lutyně	99	1	0	F
8103	598968	1	4	7	1	Iveta	Nováková			45	zdravotní sestra	Dolní Lutyně	7	7	0	F
8103	598968	1	5	53	1	Pavel	Buzek	Mgr.		44	starosta	Dolní Lutyně	53	53	0	M
8103	598968	1	6	47	1	Miloslav	Mžyk	Ing.		65	důchodce	Dolní Lutyně	99	47	0	M
8103	598968	1	1	392	2	Jan	Czapek	Mgr.		31	právník	Dolní Lutyně	99	72	0	M
8103	598968	1	2	88	2	Zdeňka	Rončková	Mgr.		49	zástupce ředitele ZŠ	Věřňovice	99	88	0	F
8103	598968	1	3	1	2	Petr	Kovařík	Mgr.		66	důchodce	Dolní Lutyně	99	1	0	M
8103	598968	1	4	7	2	Pavla	Petrová			57	kulturní pracovnice	Dolní Lutyně	7	7	0	F
8103	598968	1	5	53	2	Pavel	Lukaštík	Ing.		48	jednatel firmy	Dolní Lutyně	53	53	0	M
8103	598968	1	6	47	2	Vladimír	Nemec			48	OSVČ	Dolní Lutyně	99	47	0	M
8103	598968	1	1	392	3	Radomír	Sztwiertnia	Mgr.		27	vysokoškolský pedagog	Dolní Lutyně	99	72	0	M
8103	598968	1	2	88	3	Pavla	Hasprúnová	MUDr.		50	praktický zubní lékař	Dolní Lutyně	99	88	0	F
8103	598968	1	3	1	3	Eustasie	Mrákavová			67	důchodkyně	Dolní Lutyně	1	1	0	F
8103	598968	1	4	7	3	Filip	Gavlas			34	administrátor exportu	Dolní Lutyně	99	7	0	M
8103	598968	1	5	53	3	Jana	Drobilová	Ing.		36	pracovník odboru	Dolní Lutyně	53	53	0	F
8103	598968	1	6	47	3	Vladimíra	Karasová	Mgr.		46	referent	Dolní Lutyně	47	47	0	F
8103	598968	1	1	392	4	Boleslav	Sosna			58	podnikatel	Dolní Lutyně	99	72	0	M
8103	598968	1	2	88	4	Radomír	Kaňa	Ing.	Ph.D.	42	vysokoškolský pedagog	Dolní Lutyně	99	88	0	M
8103	598968	1	3	1	4	Petr	Semer	Ing.		52	technik ČD	Dolní Lutyně	99	1	0	M
8103	598968	1	4	7	4	Terezie	Kantorová			40	ekonomka	Dolní Lutyně	99	7	0	F
8103	598968	1	5	53	4	Jan	Wolf			40	obchodní referent	Dolní Lutyně	99	53	0	M
8103	598968	1	6	47	4	Miroslav	Lukaščík			37	pracovník ČD	Dolní Lutyně	47	47	0	M
8103	598968	1	1	392	5	Eva	Adamčíková		DiS.	30	energoterapeutka	Dolní Lutyně	99	80	0	F
8103	598968	1	2	88	5	Karel	Hok			45	elektromechanik	Dolní Lutyně	88	88	0	M
8103	598968	1	3	1	5	Pavel	Sikora			21	student	Dolní Lutyně	99	1	0	M
8103	598968	1	4	7	5	Pavel	Malcharek			47	dělnická profese	Věřňovice	99	7	0	M
8103	598968	1	5	53	5	Eva	Šipulová	Mgr.		56	učitelka ZŠ Dolní Lutyně	Dolní Lutyně	99	53	0	F
8103	598968	1	6	47	5	Tomáš	Karas	Ing.		24	nezaměstnaný	Dolní Lutyně	99	47	0	M
8103	598968	1	1	392	6	Tadeáš	Chorzempa			58	ředitel společnosti	Věřňovice	99	80	0	M
8103	598968	1	2	88	6	Alena	Marcalíková	Mgr.		55	vedoucí učitelka ZŠ	Dolní Lutyně	99	88	0	F
8103	598968	1	3	1	6	Karel	Drobil			44	podnikatel	Dolní Lutyně	1	1	0	M
8103	598968	1	4	7	6	Marcela	Marcolová	Ing.	DiS.	31	vedoucí klientského centra	Věřňovice	99	7	0	F
8103	598968	1	5	53	6	Zdeněk	Kolibáč	Ing.		40	vedoucí  střediska	Dolní Lutyně	53	53	0	M
8103	598968	1	6	47	6	Richard	Finda	Ing.		61	technik ČEZ	Dolní Lutyně	99	47	0	M
8103	598968	1	1	392	7	Česlav	Gałuszka	Ing.		47	obchodní zástupce	Dolní Lutyně	99	80	0	M
8103	598968	1	2	88	7	Tomáš	Marcol			46	podnikatel	Věřňovice	99	88	0	M
8103	598968	1	3	1	7	Ivona	Niemczyková			47	techn.pracovník	Dolní Lutyně	99	1	0	F
8103	598968	1	4	7	7	Šárka	Galusková	Mgr.		47	učitelka	Dolní Lutyně	99	7	0	F
8103	598968	1	5	53	7	Patricie	Labojová	Bc.		44	pracovnice ÚP	Dolní Lutyně	53	53	0	F
8103	598968	1	6	47	7	Eva	Lukaščíková	Bc.		40	soc.pracovnice	Dolní Lutyně	99	47	0	F
8103	598968	1	1	392	8	Robert	Balcarek			27	soustružník	Věřňovice	99	72	0	M
8103	598968	1	2	88	8	Jaroslav	Svoboda			31	velitel dobrovolných hasičů	Dolní Lutyně	99	88	0	M
8103	598968	1	3	1	8	Květoslava	Skupníková			52	dětská zdrav.sestra	Věřňovice	99	1	0	F
8103	598968	1	4	7	8	Pavla	Rosická	MUDr.		61	lékařka	Dolní Lutyně	99	7	0	F
8103	598968	1	5	53	8	Rostislav	Čopík			42	obchodní ředitel	Dolní Lutyně	99	53	0	M
8103	598968	1	6	47	8	Tadeáš	Janiczek			49	úředník	Dolní Lutyně	47	47	0	M
8103	598968	1	1	392	9	Česlav	Sztwiertnia	Ing.		26	konstruktér	Dolní Lutyně	99	72	0	M
8103	598968	1	2	88	9	Robert	Honek	Ing.		70	technik	Dolní Lutyně	88	88	0	M
8103	598968	1	3	1	9	Danuše	Pilchová			63	důchodkyně	Věřňovice	99	1	0	F
8103	598968	1	4	7	9	Josef	Moravec			66	školník	Dolní Lutyně	7	7	0	M
8103	598968	1	5	53	9	Aleš	Kubínek			21	student VŠ	Dolní Lutyně	53	53	0	M
8103	598968	1	6	47	9	Lydie	Červencová			66	důchodce	Dolní Lutyně	99	47	0	F
8103	598968	1	1	392	10	Anna	Šertlerová			48	učitelka	Dolní Lutyně	99	80	0	F
8103	598968	1	2	88	10	Petra	Kolibačová Guzdková			38	organiz.ved.souboru Radost	Dolní Lutyně	99	88	0	F
8103	598968	1	3	1	10	Beata	Drobilová			41	zdravotní sestra	Dolní Lutyně	99	1	0	F
8103	598968	1	4	7	10	Jana	Gavlasová	MUDr.		59	lékařka	Dolní Lutyně	7	7	0	F
8103	598968	1	5	53	10	Kamil	Černý	Ing.		46	majitel firmy	Dolní Lutyně	99	53	0	M
8103	598968	1	6	47	10	Radim	Szypula			31	soc.pracovník	Dolní Lutyně	99	47	0	M
8103	598968	1	1	392	11	Maja	Tobolová	Mgr.		29	manager marketingu	Věřňovice	99	72	0	F
8103	598968	1	2	88	11	Eva	Křemenová			56	vedoucí učitelka MŠ	Dolní Lutyně	99	88	0	F
8103	598968	1	3	1	11	Martin	Grejták			43	ČD DKV	Věřňovice	99	1	0	M
8103	598968	1	4	7	11	Gabriela	Beránková	Ing.		27	referentka	Dolní Lutyně	7	7	0	F
8103	598968	1	5	53	11	Vlastimil	Bobrek	Ing.		44	projektant	Dolní Lutyně	99	53	0	M
8103	598968	1	6	47	11	Vlastimil	Štěrba			62	důchodce	Dolní Lutyně	99	47	0	M
8103	598968	1	1	392	12	Irena	Hilová			61	důchodkyně	Dolní Lutyně	99	72	0	F
8103	598968	1	2	88	12	Zuzana	Plutová	Bc.		27	ekolog	Dolní Lutyně	99	88	0	F
8103	598968	1	3	1	12	Vladimír	Staníček			60	podnikatel	Dolní Lutyně	1	1	0	M
8103	598968	1	4	7	12	Arnošt	Novák			50	horník	Dolní Lutyně	7	7	0	M
8103	598968	1	5	53	12	Martin	Mazurek			34	obchodní manažer	Dolní Lutyně	53	53	0	M
8103	598968	1	6	47	12	Cyril	Holý			63	důchodce	Dolní Lutyně	47	47	0	M
8103	598968	1	1	392	13	Josef	Kubatko			62	strojvedoucí	Věřňovice	99	72	0	M
8103	598968	1	2	88	13	Ladislav	Lukša			72	elektrotechnik	Dolní Lutyně	88	88	0	M
8103	598968	1	3	1	13	Marcela	Postuwková			32	prodavačka	Dolní Lutyně	99	1	0	F
8103	598968	1	4	7	13	Anna	Moravcová			63	důchodkyně	Dolní Lutyně	7	7	0	F
8103	598968	1	5	53	13	Rostislav	Lukša			42	vedoucí střediska	Dolní Lutyně	99	53	0	M
8103	598968	1	6	47	13	Zdeněk	Školoud	Bc.		76	důchodce	Dolní Lutyně	99	47	0	M
8103	598968	1	1	392	14	Rudolf	Niedźwiedź			68	důchodce	Dolní Lutyně	99	72	0	M
8103	598968	1	2	88	14	Michaela	Wotke			29	kosmetička	Věřňovice	99	88	0	F
8103	598968	1	3	1	14	Helena	Staníčková			58	důchodkyně	Dolní Lutyně	1	1	0	F
8103	598968	1	4	7	14	Kateřina	Nováková			21	nezaměstnaná	Dolní Lutyně	99	7	0	F
8103	598968	1	5	53	14	Miroslav	Adamčík			62	důchodce	Dolní Lutyně	99	53	0	M
8103	598968	1	6	47	14	Lumír	Twardzik			61	OSVČ	Věřňovice	99	47	0	M
8103	598968	1	1	392	15	Anna	Sztwiertniová			56	knihovnice	Dolní Lutyně	99	72	0	F
8103	598968	1	2	88	15	Pavel	Tanistra			43	vedoucí provozu	Dolní Lutyně	99	88	0	M
8103	598968	1	3	1	15	Bartolomej	Grejták			66	důchodce	Věřňovice	1	1	0	M
8103	598968	1	4	7	15	Anna	Widenková			57	důchodkyně	Věřňovice	99	7	0	F
8103	598968	1	5	53	15	Miroslav	Turák			45	živnostník	Dolní Lutyně	53	53	0	M
8103	598968	1	6	47	15	Tomáš	Truchlý			68	důchodce	Dolní Lutyně	99	47	0	M
