OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3202	542091	1	1	902	1	Vlastimil	Král	M	Ing.		46	soukromý podnikatel	Horská Kvilda	99	80	0
3202	542091	1	1	902	2	Jaromír	Chval	M			49	soukromý podnikatel	Horská Kvilda	99	80	0
3202	542091	1	1	902	3	Alena	Ryplová	F	Mgr.		45	státní zaměstnanec	Horská Kvilda	99	80	0
3202	542091	1	1	902	4	Martina	Králová	F	Ing.		46	daňový poradce	Horská Kvilda	99	80	0
3202	542091	1	1	902	5	Vladimír	Rypl	M			45	THP-lesník	Horská Kvilda	99	80	0
3202	542091	1	1	902	6	Pavla	Matulová	F			68	důchodce	Horská Kvilda	99	80	0
3202	542091	1	1	902	7	Kornelie	Štěrbová	F			63	důchodce	Horská Kvilda	99	80	0
3202	542091	1	2	903	1	Simona	Hnátková	F			44	středoškolský učitel	Horská Kvilda	99	80	0
3202	542091	1	2	903	2	Jiří	Slaba	M			62	OSVČ	Horská Kvilda	99	80	0
3202	542091	1	2	903	3	Anna	Matějů	F			61	OSVČ	Horská Kvilda	99	80	0
3202	542091	1	2	903	4	Eva	Buršíková	F			45	OSVČ	Horská Kvilda	99	80	0
3202	542091	1	2	903	5	Jaroslava	Šroubková	F			65	důchodkyně	Horská Kvilda	99	80	0
3202	542091	1	2	903	6	Gertruda	Honesová	F			72	důchodkyně	Horská Kvilda	99	80	0
3202	542091	1	2	903	7	Olga	Kaiferová	F			35	zaměstnanec N.P. Šumava	Horská Kvilda	99	80	0
3202	542091	1	3	901	1	Antonín	Schubert	M			25	student	Horská Kvilda	99	80	0
3202	542091	1	3	901	2	Jan	Janoušek	M			38	OSVČ	Horská Kvilda	99	80	0
3202	542091	1	3	901	3	Marian	Malík	M			37	OSVČ	Horská Kvilda	99	80	0
3202	542091	1	3	901	4	Helmut	Hones	M			67	důchodce	Horská Kvilda	99	80	0
3202	542091	1	3	901	5	Pavel	Wurst	M	RNDr.		45	hydrogeolog	Horská Kvilda	99	80	0
3202	542091	1	3	901	6	Miroslav	Svoboda	M			35	lesník	Horská Kvilda	99	80	0
3202	542091	1	3	901	7	Zbyněk	Sameš	M			33	údržbář	Horská Kvilda	99	80	0
3202	542091	1	3	901	8	Helena	Honesová	F			43	OSVČ	Horská Kvilda	99	80	0
3202	542091	1	3	901	9	Nikol	Chvalová	F			21	servírka	Horská Kvilda	99	80	0
