OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7201	506737	1	1	901	1	Antonín	Stodůlka	Ing.		57	starosta obce	Chvalčov	99	80	0	M
7201	542318	1	1	901	1	Martin	Nezdařilík			33	obchodní zástupce	Blazice	99	80	0	M
7201	542342	1	1	901	1	Milan	Přikryl			45	traktorista	Honětice	99	80	0	M
7201	542393	1	1	901	1	Bronislava	Ševčíková			47	doručovatelka	Vrbka	99	80	0	F
7201	549690	1	1	901	1	Jakub	Bednárek			25	konzultant,starosta obce	Bořenovice	53	80	0	M
7201	549720	1	1	47	1	Miloslav	Peška			77	důchodce	Přílepy	47	47	0	M
7201	553905	1	1	901	1	Pavel	Hynek			42	starosta	Mrlínek	99	80	0	M
7201	557188	1	1	1	1	Petr	Oborný			39	automechanik	Šelešovice	99	1	0	M
7201	587257	1	1	810	1	Marie	Bušová			39	nezaměstnaná	Zástřizly	99	80	0	F
7201	587354	1	1	901	1	Jiří	Kužma			31	servisní technik	Karolín	99	80	0	M
7201	587397	1	1	902	1	Jaroslav	Kupka	Bc.		36	OSVČ - autodopravce	Prasklice	99	80	0	M
7201	588296	1	1	7	1	Miloš	Malý	Mgr.		56	starosta	Kroměříž	7	7	0	M
7201	588300	1	1	801	1	Pavel	Chrastina	Ing.		36	ředitel Katastr.prac.Holešov	Velké Těšany	99	80	0	M
7201	588326	1	1	904	1	Tomáš	Krupař			36	technik	Bezměrov	99	80	0	M
7201	588377	1	1	903	1	Vratislav	Bílek			57	starosta	Brusné	99	80	0	M
7201	588385	1	1	901	1	Vít	Škrabal			39	montér	Břest	99	80	0	M
7201	588393	1	1	53	1	Vladislava	Bělíková	Mgr.		59	místostarosta města, etnograf	Bystřice pod Hostýnem	53	53	0	F
7201	588407	1	1	901	1	Eva	Váňová			57	úřednice	Cetechovice	99	80	0	F
7201	588431	1	1	1	1	Josef	Pospíšil			62	důchodce	Dřínov	1	1	0	M
7201	588458	1	1	137	1	Lenka	Lukešová			39	dělnice	Holešov	99	137	0	F
7201	588474	1	1	1	1	František	Kolečík			57	mechanizátor	Horní Lapač	1	1	0	M
7201	588482	1	1	901	1	Antonín	Procházka			60	agronom	Hoštice	47	80	0	M
7201	588491	1	1	47	1	Bohumil	Kuchařík	Ing.		47	technik	Hulín	47	47	0	M
7201	588504	1	1	902	1	Oldřich	Navrátil			62	starosta obce	Chomýž	99	80	0	M
7201	588512	1	1	413	1	František	Hrabal			68	tajemník TJ	Chropyně	102	102	0	M
7201	588521	1	1	902	1	Jana	Nešporová	Mgr.		63	důchodkyně	Kostelany	99	80	0	F
7201	588547	1	1	809	1	Blanka	Herodková			52	kuchařka	Chvalnov	99	80	0	F
7201	588555	1	1	901	1	Miloslava	Šišáková			50	úřednice	Jankovice	99	80	0	F
7201	588563	1	1	901	1	Pavel	Husařík			55	automechanik	Jarohněvice	99	80	0	M
7201	588598	1	1	902	1	Jaroslav	Sobek			41	živnostník	Komárno	99	80	0	M
7201	588601	1	1	1	1	Josef	Tvrdý			57	ředitel domova pro seniory	Koryčany	99	1	0	M
7201	588610	1	1	901	1	Luděk	Mlčák			37	elektromechanik	Kostelec u Holešova	99	80	0	M
7201	588628	1	1	901	1	Roman	Novotný		DiS.	28	úsekový technik	Kunkovice	99	80	0	M
7201	588636	1	1	902	1	Milan	Jurtík			55	starosta obce	Kurovice	53	80	0	M
7201	588644	1	1	53	1	Lubomír	Musil			54	starosta	Kvasice	99	53	0	M
7201	588652	1	1	470	1	Magda	Říkovská	Ing.		45	starostka	Kyselovice	99	166	0	F
7201	588661	1	1	1	1	Anna	Jakubíčková			50	vedoucí prodejny	Lechotice	99	1	0	F
7201	588695	1	1	901	1	Ctirad	Kopecký	Ing.		54	vedoucí stav. úřadu	Litenčice	99	80	0	M
7201	588709	1	1	166	1	Antonín	Zlámal	Ing.		54	ekonom	Libosváry	99	166	0	M
