OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7201	588920	1	1	387	1	Antonín	Uhřík	M			53	místostarosta	Rajnochovice	99	80	0
7201	588920	1	1	387	2	Martin	Hruška	M			39	podnikatel	Rajnochovice	99	47	0
7201	588920	1	1	387	3	Jaroslava	Jurčová	F			43	účetní	Rajnochovice	99	80	0
7201	588920	1	1	387	4	Petr	Blažek	M			32	elektromontér	Rajnochovice	99	80	0
7201	588920	1	1	387	5	Miroslava	Dubová	F			51	prodavačka	Rajnochovice	99	47	0
7201	588920	1	1	387	6	Renata	Staňková	F			38	podnikatelka	Rajnochovice	99	47	0
7201	588920	1	1	387	7	Josef	Mrázek	M			61	starosta	Rajnochovice	47	47	0
7201	588920	1	1	387	8	Jiří	Uhlíř	M			56	strážný	Rajnochovice	99	47	0
7201	588920	1	1	387	9	Milan	Staněk	M			38	řidič	Rajnochovice	99	47	0
7201	588920	1	1	387	10	Petr	Steinbauer	M			37	příslušník Policie ČR	Rajnochovice	99	47	0
7201	588920	1	1	387	11	Martin	Blažek	M			34	technik dřevovýroby	Rajnochovice	99	80	0
7201	588920	1	1	387	12	Eva	Dubová	F	Ing.		26	zástupce vedoucího prodejny	Rajnochovice	99	80	0
7201	588920	1	1	387	13	Zdeněk	Dytrych	M			64	důchodce	Rajnochovice	99	47	0
7201	588920	1	1	387	14	Jan	Hruška	M			68	důchodce	Rajnochovice	99	47	0
7201	588920	1	1	387	15	Jaroslav	Gajdušek	M			42	technik	Rajnochovice	99	47	0
7201	588920	1	2	7	1	Jiří	Hešlar	M			41	podnikatel	Rajnochovice	99	7	0
7201	588920	1	2	7	2	Leoš	Hildebrand	M			34	podnikatel	Rajnochovice	99	7	0
7201	588920	1	2	7	3	Jiří	Fojtík	M			23	obchodní referent	Rajnochovice	99	7	0
7201	588920	1	2	7	4	Tomáš	Svěch	M			24	adjunkt lesů ČR	Rajnochovice	99	7	0
7201	588920	1	2	7	5	Jan	Kobliha	M			22	podnikatel	Rajnochovice	99	7	0
7201	588920	1	2	7	6	Petr	Onderka	M			26	lakýrník	Rajnochovice	99	7	0
7201	588920	1	2	7	7	Jan	Gajdoš	M			20	studenst VŠ stavební	Rajnochovice	99	7	0
7201	588920	1	2	7	8	Jan	Durchan	M			21	elektromontér	Rajnochovice	99	7	0
7201	588920	1	2	7	9	Tomáš	Strapek	M			35	podnikatel	Rajnochovice	99	7	0
7201	588920	1	2	7	10	Petr	Čuba	M			21	student VŠ elektro	Rajnochovice	99	7	0
7201	588920	1	2	7	11	Michaela	Hildebrandová	F			32	prodavačka	Rajnochovice	99	7	0
7201	588920	1	2	7	12	Drahoslav	Dudík	M			30	podnikatel	Rajnochovice	99	7	0
7201	588920	1	2	7	13	Renata	Halajová	F			34	podnikatelka	Rajnochovice	99	7	0
7201	588920	1	2	7	14	Libor	Perůtka	M			42	podnikatel	Rajnochovice	99	7	0
