OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7102	552178	1	1	1	1	Arnošt	Vogel	M			42	výpravčí	Haňovice	1	1	0
7102	552178	1	1	1	2	Jaromír	Damovský	M			50	elektromontér	Kluzov	1	1	0
7102	552178	1	1	1	3	Jarmila	Smékalová	F			50	kuchařka	Haňovice	1	1	0
7102	552178	1	1	1	4	Ladislav	Šana	M	Ing.		45	bankovní poradce	Haňovice	99	1	0
7102	552178	1	1	1	5	Jiří	Přikryl	M			46	OSVČ	Haňovice	99	1	0
7102	552178	1	1	1	6	Martina	Bednaříková	F			23	učitelka v MŠ	Kluzov	99	1	0
7102	552178	1	1	1	7	Miroslava	Pokorná	F			39	dělnice v tiskárně	Haňovice	99	1	0
7102	552178	1	1	1	8	Lukáš	Damovský	M			23	mechanik-seřizovač CNC	Kluzov	99	1	0
7102	552178	1	1	1	9	Anna	Ťujíková	F			53	plánovačka	Haňovice	1	1	0
7102	552178	1	2	901	1	Vlastimil	Přidal	M			54	projektant	Haňovice	99	80	0
7102	552178	1	2	901	2	Aleš	Voříšek	M			51	prodavač	Haňovice	99	80	0
7102	552178	1	2	901	3	Alois	Přidal	M			50	agronom	Haňovice	99	80	0
7102	552178	1	2	901	4	Miloslav	Špunda	M			59	živnostník	Haňovice-Kluzov	99	80	0
7102	552178	1	2	901	5	Antonín	Čep	M			50	technik	Haňovice	99	80	0
7102	552178	1	2	901	6	Vlastimil	Přidal	M	Ing.		25	student	Haňovice	99	80	0
7102	552178	1	2	901	7	David	Voříšek	M			29	řidič	Haňovice	99	80	0
7102	552178	1	2	901	8	Břetislav	Ťujík	M			53	technolog	Haňovice	99	80	0
7102	552178	1	2	901	9	František	Přikryl	M			37	živnostník	Haňovice-Kluzov	99	80	0
7102	552178	1	3	902	1	Pavel	Grossmann	M			46	technik	Haňovice	99	80	0
7102	552178	1	3	902	2	Miloslav	Procháska	M			45	mechanik-seřizovač	Haňovice	99	80	0
7102	552178	1	3	902	3	Heřman	Grossman	M			72	důchodce	Haňovice	99	80	0
7102	552178	1	3	902	4	Šárka	Opichalová	F			34	účetní	Haňovice	99	80	0
7102	552178	1	3	902	5	Vladislav	Vodička	M			44	mechanik	Haňovice	99	80	0
7102	552178	1	3	902	6	Zdeňka	Hrabčíková	F			50	zdravotní sestra	Haňovice	99	80	0
7102	552178	1	3	902	7	Světlana	Bomberová	F			38	účetní	Haňovice	99	80	0
7102	552178	1	3	902	8	Jaroslav	Kubica	M			54	operátor	Haňovice	99	80	0
7102	552178	1	3	902	9	Jiří	Kryl	M			43	jednatel společnosti	Haňovice	99	80	0
7102	552178	1	4	7	1	David	Číhal	M	Ing.		38	podnikatel	Haňovice	99	7	0
7102	552178	1	4	7	2	Ludmila	Oháňková	F			48	podnikatel	Haňovice	99	7	0
7102	552178	1	4	7	3	Renáta	Cinková	F			36	vedoucí prodejny	Haňovice	99	7	0
7102	552178	1	4	7	4	Rudolf	Lang	M			55	automechanik	Haňovice	99	7	0
7102	552178	1	4	7	5	Libor	Šperlich	M			30	živnostník	Kluzov	99	7	0
7102	552178	1	4	7	6	Zdeněk	Linhart	M			48	autoelektrikář	Haňovice	99	7	0
7102	552178	1	4	7	7	Jana	Přidalová	F			45	bankovní úřednice	Haňovice	99	7	0
7102	552178	1	4	7	8	Lenka	Číhalová	F			36	úřednice	Haňovice	99	7	0
