OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5302	575712	1	1	811	1	Zdeněk	Zabilanský	Ing.		32	projektový manažer	Staré Jesenčany	99	80	0	M
5302	575712	1	2	806	1	Jiří	Koutský			37	soukr. podnikatel	Staré Jesenčany	99	80	0	M
5302	575712	1	3	802	1	Radomír	Čáp			48	manager promotion	Staré Jesenčany	99	80	0	M
5302	575712	1	4	807	1	Jaromír	Kučera			33	úředník	Staré Jesenčany	99	80	0	M
5302	575712	1	5	808	1	Zbyněk	Šejna			46	zemědělský technik	Staré Jesenčany	99	80	0	M
5302	575712	1	6	803	1	Miloš	Handlíř	Ing.		27	referent stavebního úřadu	Staré Jesenčany	99	80	0	M
5302	575712	1	7	804	1	Kamil	Kolář			38	OSVČ	Staré Jesenčany	99	80	0	M
5302	575712	1	8	810	1	Petr	Vavruška	Ing.		60	informatik	Staré Jesenčany	99	80	0	M
5302	575712	1	9	812	1	Pavel	Zdeněk			35	soukr. podnikatel	Staré Jesenčany	99	80	0	M
5302	575712	1	10	801	1	Radek	Borský			35	prodejce	Staré Jesenčany	99	80	0	M
5302	575712	1	11	805	1	Jitka	Komárková	Ing.		40	vysokoškolský učitel	Staré Jesenčany	99	80	0	F
5302	575712	1	12	809	1	Jiří	Urban			35	elektromontér	Staré Jesenčany	99	80	0	M
