OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5302	576051	1	1	901	1	Věra	Rálišová	F			58	starostka obce	Živanice	99	80	0
5302	576051	1	1	901	2	Kateřina	Voříšková	F	Ing.		29	asistentka	Živanice	99	80	0
5302	576051	1	1	901	3	Jiří	Petr	M			42	mistr výroby	Nerad	99	80	0
5302	576051	1	1	901	4	Věra	Puhlovská	F			36	vedoucí pošty	Živanice	99	80	0
5302	576051	1	1	901	5	Jan	Bártl	M			39	technik	Dědek	99	80	0
5302	576051	1	1	901	6	Milan	Kasal	M			39	technik	Nerad	99	80	0
5302	576051	1	1	901	7	Jiří	Pošva	M			35	obkladač	Dědek	99	80	0
5302	576051	1	1	901	8	Aleš	Hlaváček	M			27	zámečník svářeč	Dědek	99	80	0
5302	576051	1	1	901	9	Petr	Puhlovský	M			40	státní zaměstnanec	Živanice	99	80	0
5302	576051	1	2	53	1	Petr	Schletter	M			38	místostarosta obce Živanice	Živanice	99	53	0
5302	576051	1	2	53	2	Hana	Jirsová	F			54	ekonomka - účetní	Živanice	99	53	0
5302	576051	1	2	53	3	Marie	Vlasáková	F			63	důchodkyně	Živanice	99	53	0
5302	576051	1	2	53	4	Pavel	Uhlíř	M	Ing.		34	regionální manažer ODS Pard.kr	Živanice	53	53	0
5302	576051	1	2	53	5	Jaromíra	Krčálová	F			35	celní deklarantka	Dědek	99	53	0
5302	576051	1	2	53	6	Petr	Tichý	M			37	zahradník	Živanice	99	53	0
5302	576051	1	2	53	7	Radek	Kaderka	M	Ing.		28	konstruktér	Živanice	99	53	0
5302	576051	1	3	1	1	Bohuslav	Hrubý	M			54	chemik	Živanice	1	1	0
5302	576051	1	3	1	2	Jan	Czagan	M	Ing.		39	informatik	Dědek	99	1	0
5302	576051	1	3	1	3	Iveta	Vohralíková	F			23	stavební technička	Živanice	99	1	0
5302	576051	1	3	1	4	Bohuslav	Malík	M			48	nástrojař	Živanice	99	1	0
5302	576051	1	3	1	5	Jiří	Odvárka	M			34	vedoucí kontroly	Dědek	99	1	0
5302	576051	1	3	1	6	Eva	Rajmontová	F			47	OSVČ	Dědek	99	1	0
5302	576051	1	3	1	7	Iveta	Škodová	F			34	prodavačka	Živanice	99	1	0
