OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3104	549568	1	1	901	1	Blanka	Hlavínová	F			47	starostka	Lety	99	80	0
3104	549568	1	1	901	2	Miroslava	Kuchtová	F			43	účetní	Lety	99	80	0
3104	549568	1	1	901	3	Jan	Tlach	M	JUDr.		70	důchodce	Lety	99	80	0
3104	549568	1	1	901	4	František	Nykodym	M			67	důchodce	Šerkov	99	80	0
3104	549568	1	1	901	5	Dagmar	Žáková	F			42	OSVČ	Šerkov	99	80	0
3104	549568	1	1	901	6	Josef	Peterka	M			62	důchodce	Lety	99	80	0
3104	549568	1	1	901	7	Josef	Volf	M			55	dělník	Lety	99	80	0
3104	549568	1	2	1	1	Rostislav	Jandera	M	Ing.		71	profesor	Lety	99	1	0
3104	549568	1	2	1	2	Emil	Hájek	M			66	důchodce	Lety	99	1	0
3104	549568	1	2	1	3	Josef	Kálal	M			66	důchodce	Šerkov	99	1	0
3104	549568	1	2	1	4	Miroslav	Kučera	M			56	řidič	Lety	99	1	0
3104	549568	1	3	902	1	Zdeněk	Viták	M	Ing.		42	OSVČ	Lety	99	80	0
3104	549568	1	3	902	2	Jiří	Riedl	M			53	technik	Lety	99	80	0
3104	549568	1	3	902	3	Petr	Hybrant	M			35	prodavač	Lety	99	80	0
3104	549568	1	3	902	4	Jan	Pešek	M			46	OSVČ	Lety	99	80	0
3104	549568	1	3	902	5	Olga	Nykodymová	F			63	důchodce	Šerkov	99	80	0
3104	549568	1	3	902	6	Karel	Volf	M			33	OSVČ	Lety	99	80	0
3104	549568	1	3	902	7	Václav	Přibyl	M			63	důchodce	Šerkov	99	80	0
3104	549568	1	3	902	8	Naďa	Vymlátilová	F			34	mateřská dovolená	Lety	99	80	0
3104	549568	1	3	902	9	František	Švec	M			63	důchodce	Lety	99	80	0
3104	549568	1	4	721	1	Jindřich	Valkoun	M			36	OSVČ	Lety	721	721	0
3104	549568	1	4	721	2	David	Jandera	M			37	OSVČ	Lety	99	721	0
3104	549568	1	4	721	3	Václav	Přibyl	M			34	mechanik	Šerkov	99	721	0
3104	549568	1	4	721	4	Alena	Kučerová	F			51	adm.pracovnice	Lety	99	721	0
3104	549568	1	4	721	5	Petr	Kratochvíl	M			34	truhlář	Lety	99	721	0
3104	549568	1	4	721	6	Iveta	Ladmanová	F			37	dělnice	Lety	99	721	0
3104	549568	1	4	721	7	Karel	Hybrant	M			32	řidič	Lety	99	721	0
3104	549568	1	4	721	8	Luboš	Hájek	M			28	živnostník	Lety	99	721	0
3104	549568	1	4	721	9	Marie	Zárybnická	F			59	důchodce	Lety	99	721	0
