OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3105	550442	1	1	901	1	Vladimír	Pešek	M	Bc.		36	státní zaměstnanec	Netolice	99	80	0
3105	550442	1	1	901	2	Milan	Brom	M			39	vedoucí provozu	Netolice	53	80	0
3105	550442	1	1	901	3	Dana	Mužíková	F			45	provozní vedoucí	Netolice	99	80	0
3105	550442	1	1	901	4	Vladimír	Soukup	M	Ing.		41	agronom	Netolice	99	80	0
3105	550442	1	1	901	5	Martina	Martanová	F	Mgr.		29	pedagog	Netolice	99	80	0
3105	550442	1	1	901	6	Zdeněk	Mottl	M			37	elektromontér	Netolice	99	80	0
3105	550442	1	1	901	7	Hana	Šipanová	F	Mgr.		34	pedagog	Netolice	99	80	0
3105	550442	1	1	901	8	Jindřiška	Šandová	F			44	personalistka	Netolice	99	80	0
3105	550442	1	1	901	9	Ondřej	Hondlík	M	Ing.		26	absolvent ČVUT	Netolice	99	80	0
3105	550442	1	1	901	10	Karel	Samohejl	M			43	prodejce	Netolice	99	80	0
3105	550442	1	1	901	11	Monika	Bendová	F	Ing.		36	technolog	Netolice	99	80	0
3105	550442	1	1	901	12	Petr	Pecka	M			38	státní zaměstnanec	Netolice	99	80	0
3105	550442	1	1	901	13	Aleš	Borovanský	M			28	podnikatel	Netolice	99	80	0
3105	550442	1	1	901	14	Ladislav	Štohanzl	M			36	obchodní ředitel	Netolice	99	80	0
3105	550442	1	1	901	15	Stanislav	Šulc	M			26	manager prodeje	Netolice	99	80	0
3105	550442	1	2	7	1	František	Sklář	M			37	lesník	Netolice	7	7	0
3105	550442	1	2	7	2	Jitka	Maroušková	F	Ing.		43	farmaceutická asistentka	Netolice	99	7	0
3105	550442	1	2	7	3	Vladimír	Filip	M	Mgr.		51	středoškolský učitel	Netolice	99	7	0
3105	550442	1	2	7	4	Helena	Matějeková	F			52	personalistka	Netolice	99	7	0
3105	550442	1	2	7	5	Miloš	Kohout	M			40	soukromý podnikatel	Petrův Dvůr	7	7	0
3105	550442	1	2	7	6	Martin	Sklář	M			36	dřevozpracovatel	Netolice	7	7	0
3105	550442	1	2	7	7	Jan	Záhorka	M			64	automechanik v penzi	Netolice	7	7	0
3105	550442	1	2	7	8	Vlasta	Žurková	F			37	švadlena	Netolice	99	7	0
3105	550442	1	2	7	9	Josef	Jerhot	M			40	referent oddělení investic	Netolice	99	7	0
3105	550442	1	2	7	10	Václav	Vlášek	M			57	technik	Netolice	99	7	0
3105	550442	1	2	7	11	Zdeněk	Roučka	M			43	živnostník	Netolice	7	7	0
3105	550442	1	2	7	12	Hana	Mestlová	F			32	dámská krejčová	Netolice	99	7	0
3105	550442	1	2	7	13	Jaroslav	Max	M			47	vedoucí směny	Netolice	99	7	0
3105	550442	1	2	7	14	Antonín	Kořánek	M			74	strojní zámečník v penzi	Netolice	99	7	0
3105	550442	1	2	7	15	Jindřich	Boura	M	MUDr.		50	lékař	Netolice	99	7	0
3105	550442	1	3	53	1	Oldřich	Petrášek	M			52	starosta	Netolice	53	53	0
3105	550442	1	3	53	2	Karel	Pižl	M	Mgr.		62	ředitel školy	Netolice	53	53	0
3105	550442	1	3	53	3	Iveta	Uhlíková	F			39	manažerka ODS	Netolice	53	53	0
3105	550442	1	3	53	4	Lucie	Reidingerová	F	Bc.		25	projektová manažerka	Netolice	99	53	0
3105	550442	1	3	53	5	Petr	Staněk	M			25	technik	Netolice	99	53	0
3105	550442	1	3	53	6	Vladislav	Borovka	M			62	zootechnik	Netolice	99	53	0
3105	550442	1	3	53	7	Markéta	Bártová	F			34	obchodní koordinátorka	Netolice	99	53	0
3105	550442	1	3	53	8	Petr	Nekovář	M			41	umělecký kovář	Netolice	53	53	0
3105	550442	1	3	53	9	Jan	Kuliš	M	Ing.		54	technik	Netolice	99	53	0
3105	550442	1	3	53	10	Jiří	Vávra	M			60	hasič	Netolice	99	53	0
3105	550442	1	3	53	11	Václav	Filištein	M	Ing.		45	podnikatel	Netolice	53	53	0
3105	550442	1	3	53	12	Josef	Zíka	M			39	specialista IT	Netolice	99	53	0
3105	550442	1	3	53	13	Miroslav	Dvořák	M	Ing.		46	technik	Netolice	99	53	0
3105	550442	1	3	53	14	František	Kocar	M			54	podnikatel	Petrův Dvůr	53	53	0
3105	550442	1	3	53	15	Jiřina	Borovková	F	Mgr.		46	učitelka	Netolice	53	53	0
3105	550442	1	4	721	1	Jiří	Churáček	M	MgA.		50	hudební skladatel a pedagog	Netolice	721	721	0
3105	550442	1	4	721	2	Hana	Pužejová	F	PharmDr. MUDr.		45	lékárnice	Netolice	721	721	0
3105	550442	1	4	721	3	Petr	Kosař	M	Ing.		44	manažer	Netolice	99	721	0
3105	550442	1	4	721	4	Michal	Krbeček	M	Ing.		38	technik programátor	Netolice	99	721	0
3105	550442	1	4	721	5	Michal	Franz	M			23	tiskař	Netolice	99	721	0
3105	550442	1	4	721	6	Jiří	Hrubý	M			39	elektrikář	Netolice	99	721	0
3105	550442	1	4	721	7	Vítězslav	Pužej	M	MUDr.		44	lékař	Netolice	99	721	0
3105	550442	1	4	721	8	Jakub	Churáček	M	Bc.		25	student	Netolice	99	721	0
3105	550442	1	4	721	9	Jan	Sádlo	M			31	řidič	Netolice	99	721	0
3105	550442	1	4	721	10	Jana	Kosařová	F	Mgr.		41	státní úředník	Netolice	99	721	0
3105	550442	1	4	721	11	Yvetta	Pužejová	F	PhDr.		50	pedagog	Netolice	99	721	0
3105	550442	1	4	721	12	Mikoláš	Troup	M		DiS.	22	student	Petrův Dvůr	99	721	0
3105	550442	1	4	721	13	Jan	Tesárek	M			44	truhlář	Netolice	99	721	0
3105	550442	1	4	721	14	Jiří	Nožina	M			31	řidič autobusu	Netolice	99	721	0
3105	550442	1	4	721	15	Alžběta	Churáčková	F			19	studentka	Netolice	99	721	0
3105	550442	1	5	47	1	Jaroslav	Pešek	M	Mgr.		65	důchodce	Netolice	47	47	0
3105	550442	1	5	47	2	Václav	Hřebek	M			59	invalidní důchodce	Netolice	47	47	0
3105	550442	1	5	47	3	Erika	Novotná	F			37	vedoucí provozu	Netolice	99	47	0
3105	550442	1	5	47	4	Miloslav	Srbený	M			57	nezaměstnaný	Netolice	47	47	0
3105	550442	1	5	47	5	Marie	Zborníková	F			59	důchodce	Netolice	47	47	0
3105	550442	1	5	47	6	Václav	Řezanka	M			61	inseminační technik	Netolice	47	47	0
