OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3105	550582	1	1	902	1	Jan	Řezník			68	důchodce	Těšovice	99	80	0	M
3105	550582	1	2	901	1	Vlastimil	Váňa			61	kameník	Běleč	99	80	0	M
3105	550582	1	1	902	2	Vladimíra	Jiráňová Karlíková	Ing.		35	středoškolská učitelka	Těšovice	99	80	0	F
3105	550582	1	2	901	2	Jiří	Petrášek			37	řidič	Běleč	99	80	0	M
3105	550582	1	1	902	3	František	Kouba			59	řidič	Těšovice	99	80	0	M
3105	550582	1	2	901	3	Alice	Veselá			44	obchodní zástupce	Běleč	99	80	0	F
3105	550582	1	1	902	4	Božena	Fundová			64	důchodce	Těšovice	99	80	0	F
3105	550582	1	2	901	4	Radek	Štefankovič			36	řidič	Bělečská Lhota	99	80	0	M
3105	550582	1	1	902	5	Miloslav	Jiráň			48	technik	Těšovice	99	80	0	M
3105	550582	1	2	901	5	Pavlína	Petrášková			34	vedoucí jídelny	Běleč	99	80	0	F
3105	550582	1	1	902	6	Milan	Jurenka			57	dělník	Těšovice	99	80	0	M
3105	550582	1	2	901	6	Antonín	Hálek			66	důchodce	Běleč	99	80	0	M
3105	550582	1	1	902	7	Václav	Kott			54	kuchař	Těšovice	99	80	0	M
3105	550582	1	2	901	7	Petr	Jabůrek			35	servisní inspektor	Běleč	99	80	0	M
3105	550582	1	1	902	8	Zlatuše	Koubová			48	zdravotní sestra	Těšovice	99	80	0	F
3105	550582	1	2	901	8	Jiří	Hes			53	automechanik	Běleč	99	80	0	M
3105	550582	1	1	902	9	Jaroslav	Šandera			49	podnikatel	Těšovice	99	80	0	M
3105	550582	1	2	901	9	Antonín	John			49	řidič	Běleč	99	80	0	M
