OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2110	571261	1	1	53	1	Jakub	Hučín	M	Mgr.		39	starosta, psychoterapeut	Kytín	99	53	0
2110	571261	1	1	53	2	Vít	Šafář	M	Ing.		49	soukromý podnikatel	Kytín	99	53	0
2110	571261	1	1	53	3	Jan	Záruba	M	Ing.		66	IT specialista	Kytín	99	53	0
2110	571261	1	1	53	4	Filip	Hájek	M			34	konzultant	Kytín	99	53	0
2110	571261	1	1	53	5	Jan	Brosche	M			30	číšník	Kytín	99	53	0
2110	571261	1	1	53	6	Štěpánka	Čapková	F			38	pracovnice v sociální péči	Kytín	99	53	0
2110	571261	1	2	901	1	Jana	Vacířová	F			34	laborantka	Kytín	99	80	0
2110	571261	1	2	901	2	Milena	Fárová	F			37	obchodní referent	Kytín	99	80	0
2110	571261	1	2	901	3	Jaroslav	Čížkovský	M			37	řidič	Kytín	99	80	0
2110	571261	1	2	901	4	Hana	Jalovcová	F			42	referentka	Kytín	99	80	0
2110	571261	1	2	901	5	František	Starec	M			54	podnikatel	Kytín	99	80	0
2110	571261	1	2	901	6	Miloslav	Holý	M			44	vedoucí provozu/dispečer	Kytín	99	80	0
2110	571261	1	2	901	7	Irena	Nováková	F			29	mateřská dovolená	Kytín	99	80	0
2110	571261	1	2	901	8	Lenka	Matoušová	F			33	v domácnosti	Kytín	99	80	0
2110	571261	1	2	901	9	Iva	Pokorná	F			38	zdravotní sestra, podnikatelka	Kytín	99	80	0
2110	571261	1	3	166	1	Jan	Martínek	M	Mgr.		32	manažer psychosoc. služeb	Kytín	99	166	0
2110	571261	1	3	166	2	Ivan	Vodochodský	M	Mgr.	Ph.D.	36	sociolog	Kytín	99	166	0
2110	571261	1	3	166	3	Marie	Jirásková	F			86	důchodkyně	Kytín	99	166	0
2110	571261	1	3	166	4	Petr	Faus	M	Ing.		52	bankovní úředník	Kytín	99	166	0
2110	571261	1	3	166	5	Vlastimil	Hozman	M	Ing.		63	důchodce	Kytín	99	166	0
2110	571261	1	3	166	6	Jaroslav	Šlégr	M	Ing.		41	konstruktér	Kytín	99	166	0
2110	571261	1	3	166	7	Karel	Feřt	M			57	nástrojař	Kytín	99	166	0
2110	571261	1	3	166	8	Petr	Novák	M	Ing.		64	ekonom	Kytín	99	166	0
2110	571261	1	3	166	9	Emil	Járka	M			54	živnostník	Kytín	99	166	0
2110	571261	1	4	902	1	Josef	Paukner	M	Ing.		47	invalidní důchodce	Kytín	99	80	0
2110	571261	1	4	902	2	Jiří	Milička	M	JUDr.		48	právník	Kytín	99	80	0
2110	571261	1	4	902	3	Ondřej	Kolář	M			37	projektant	Kytín	99	80	0
2110	571261	1	4	902	4	Jindřich	Bára	M			60	soukromý zemědělec	Kytín	99	80	0
2110	571261	1	4	902	5	Marie	Cihelková	F			54	soukromý zemědělec	Kytín	99	80	0
2110	571261	1	4	902	6	Renáta	Kolářová	F	Mgr.		35	psychoterapeut	Kytín	99	80	0
2110	571261	1	4	902	7	Jaroslav	Cihelka	M	RNDr.	Ph.D.	30	vědecký pracovník	Kytín	99	80	0
2110	571261	1	4	902	8	Zdeněk	Titl	M	PhDr.	CSc.	79	důchodce	Kytín	99	80	0
2110	571261	1	4	902	9	Milena	Pumerová	F			29	na mateřské dovolené	Kytín	99	80	0
