OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2110	539775	1	1	903	1	Bronislava	Bőhmová	F	Mgr.		40	socioložka	Tursko	99	80	0
2110	539775	1	1	903	2	Pavlína	Vašičková	F	Ing.		43	státní zaměstnanec	Tursko	99	80	0
2110	539775	1	1	903	3	Zdeněk	Šolc	M	Ing.		35	školitel	Tursko	99	80	0
2110	539775	1	1	903	4	Erika	Mattiello	F			36	zdrav. sestra	Tursko	99	80	0
2110	539775	1	1	903	5	Eva	Šolcová	F			34	asistentka	Tursko	99	80	0
2110	539775	1	1	903	6	Vít	Jirsa	M			40	obchodní zástupce	Tursko	99	80	0
2110	539775	1	1	903	7	Daniel	Ryška	M			19	student	Tursko	99	80	0
2110	539775	1	1	903	8	Zuzana	Šimková	F			33	v domácnosti	Tursko	99	80	0
2110	539775	1	1	903	9	Hana	Koutná	F			65	důchodce	Tursko	99	80	0
2110	539775	1	2	901	1	Václav	Vlk	M			63	starosta	Tursko	99	80	0
2110	539775	1	2	901	2	Jana	Martínková	F			55	učitelka	Tursko	99	80	0
2110	539775	1	2	901	3	Stanislav	Hyka	M			43	řidič	Tursko	99	80	0
2110	539775	1	2	901	4	Martin	Fusek	M	Ing.	CSc.	51	chemik	Tursko	99	80	0
2110	539775	1	2	901	5	Stanislav	Dalecký	M			67	důchodce	Tursko	99	80	0
2110	539775	1	2	901	6	Rita	Čejková	F	Bc.		35	obch. referent	Tursko	99	80	0
2110	539775	1	2	901	7	Martin	Jung	M	Ing.		27	IT specialista	Tursko	99	80	0
2110	539775	1	2	901	8	Marie	Stibůrková	F			62	důchodkyně	Tursko	99	80	0
2110	539775	1	2	901	9	Václav	Bečvář	M			42	OSVČ	Tursko	99	80	0
2110	539775	1	3	902	1	Vladimír	Snop	M	Ing.		49	technik	Tursko	99	80	0
2110	539775	1	3	902	2	Zora	Niklová	F			62	důchodce	Tursko	99	80	0
2110	539775	1	3	902	3	Libuše	Tydlitátová	F			36	účetní	Tursko	99	80	0
2110	539775	1	3	902	4	Martin	Jung	M	PhDr.		60	psycholog	Tursko	99	80	0
2110	539775	1	3	902	5	Olga	Vápeníková	F			62	laboratorní technik	Tursko	99	80	0
2110	539775	1	3	902	6	Lenka	Pilařová	F			38	účetní	Tursko	99	80	0
