OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
1199	547310	1	1	901	1	Ivana	Heřmánková			56	ředitelka ZUŠ	Praha-Třeboradice	99	80	0	F
1199	547310	1	2	53	1	Alena	Samková			51	starostka MČ Praha - Čakovice	Praha-Čakovice	53	53	0	F
1199	547310	1	3	1	1	Daniel	Kajpr			41	živnostník	Praha-Čakovice	1	1	0	M
1199	547310	1	4	137	1	Josef	Štegl			61	strojní zámečník	Praha-Čakovice	99	137	0	M
1199	547310	1	5	7	1	Jaroslav	Jelínek	Ing.		57	učitel	Praha-Čakovice	7	7	0	M
1199	547310	1	6	47	1	Jaroslava	Špačková			63	důchodce	Praha-Čakovice	47	47	0	F
1199	547310	1	7	144	1	Alexander	Lochman	Ing.		36	předseda představenstva	Praha-Čakovice	144	144	0	M
1199	547310	1	8	902	1	Kateřina	Arnotová	Mgr.		36	právnička	Praha-Čakovice	99	80	0	F
1199	547310	1	9	721	1	Roman	Hnik	Ing.		37	plánování telekomunikace	Praha-Čakovice	721	721	0	M
1199	547310	1	1	901	2	Miroslav	Krištof	JUDr.		62	advokát	Praha-Miškovice	99	80	0	M
1199	547310	1	2	53	2	Jiří	Vintiška	Ing.		34	poradce v obl. rozvoje měst	Praha-Čakovice	53	53	0	M
1199	547310	1	3	1	2	Rudolf	Vecka			58	technik	Praha-Čakovice	1	1	0	M
1199	547310	1	4	137	2	Jaroslav	Svoboda	Bc.	DiS.	24	reklama-distribuce	Praha-Miškovice	137	137	0	M
1199	547310	1	5	7	2	Miroslav	Hrubý			65	důchodce	Praha-Třeboradice	99	7	0	M
1199	547310	1	6	47	2	Zdeňka	Malá			49	podnikatelka	Praha-Čakovice	99	47	0	F
1199	547310	1	7	144	2	Jaroslav	Pokorný			50	majitel společnosti IMPERA	Praha-Čakovice	144	144	0	M
1199	547310	1	8	902	2	Jiří	Slavík	Mgr.		36	advokát	Praha-Čakovice	99	80	0	M
1199	547310	1	9	721	2	Michal	Motyčka	Ing.	DiS.	32	živnostník	Praha-Miškovice	721	721	0	M
1199	547310	1	1	901	3	Michal	Seidl	Ing.	MBA	43	technický ředitel	Praha-Třeboradice	99	80	0	M
1199	547310	1	2	53	3	Jana	Kosová			47	vedoucí keramického ateliéru	Praha-Čakovice	99	53	0	F
1199	547310	1	3	1	3	Ivana	Přívratská	Ing.		35	ekonom	Praha-Třeboradice	99	1	0	F
1199	547310	1	4	137	3	Tereza	Čechurová			25	analytička	Praha-Čakovice	99	137	0	F
1199	547310	1	5	7	3	František	Kazda			76	důchodce	Praha-Třeboradice	7	7	0	M
1199	547310	1	6	47	3	Martin	Nikl			23	student	Praha-Miškovice	47	47	0	M
1199	547310	1	7	144	3	Roman	Šemík	Ing.		48	IT specialista	Praha-Čakovice	144	144	0	M
1199	547310	1	8	902	3	Karel	Černý	MUDr.		57	lékař	Praha-Čakovice	99	80	0	M
1199	547310	1	9	721	3	Josef	Záluský			59	ředitel vydavatelství	Praha-Čakovice	721	721	0	M
1199	547310	1	1	901	4	Vladimíra	Jakimeczková	Bc.		46	učitelka ZUŠ	Praha-Čakovice	99	80	0	F
1199	547310	1	2	53	4	Richard	Švarc	Ing.		32	stavební inženýr	Praha-Čakovice	53	53	0	M
1199	547310	1	3	1	4	Radek	Váša	Ing.		43	ředitel společnosti	Praha-Čakovice	99	1	0	M
1199	547310	1	4	137	4	Jiří	Štegl	Bc.		30	programátor	Praha-Čakovice	99	137	0	M
1199	547310	1	5	7	4	Blanka	Klimešová	Bc.		31	úřednice	Praha-Čakovice	7	7	0	F
1199	547310	1	6	47	4	Jaroslav	Špaček			53	stavební technik	Praha-Čakovice	47	47	0	M
1199	547310	1	7	144	4	Pavel	Kott			38	předseda klubu SK Třeboradice	Praha-Čakovice	144	144	0	M
1199	547310	1	8	902	4	David	Rezek	Ing.		36	projektový manažer	Praha-Čakovice	99	80	0	M
1199	547310	1	9	721	4	Jaroslav	Mašek			25	telekomunikační technik	Praha-Čakovice	99	721	0	M
1199	547310	1	1	901	5	Ivana	Pokorná			64	důchodce	Praha-Čakovice	99	80	0	F
1199	547310	1	2	53	5	Jana	Kopecká	Mgr.		42	hlavní účetní	Praha-Čakovice	53	53	0	F
1199	547310	1	3	1	5	Josef	Homola			19	technik	Praha-Čakovice	1	1	0	M
1199	547310	1	4	137	5	Petr	Vomáčka			45	podnikatel	Praha-Čakovice	99	137	0	M
1199	547310	1	5	7	5	Dalibor	Macko			29	strážník	Praha-Čakovice	99	7	0	M
